rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
177986,67.5,-53.5,2091-2100,ssp585,-30.87,-15.19,-15.74,3.14,11.05,Heard Island and McDonald Islands,NA
178702,68.5,-54.5,2091-2100,ssp585,-26.96,-14.72,-14.67,6.16,9.86,Heard Island and McDonald Islands,NA
178706,68.5,-53.5,2091-2100,ssp585,-32.04,-14.69,-15.5,3.4,11.14,Heard Island and McDonald Islands,NA
179418,69.5,-55.5,2091-2100,ssp585,-24.29,-13.25,-15.34,6.13,10.44,Heard Island and McDonald Islands,NA
179422,69.5,-54.5,2091-2100,ssp585,-27.95,-14.76,-14.83,9.31,10.7,Heard Island and McDonald Islands,NA
179426,69.5,-53.5,2091-2100,ssp585,-33.3,-13.82,-15.41,14.71,13.84,Heard Island and McDonald Islands,NA
179430,69.5,-52.5,2091-2100,ssp585,-38.29,-16.56,-16.29,-0.37,12.27,Heard Island and McDonald Islands,NA
180138,70.5,-55.5,2091-2100,ssp585,-23.95,-13.67,-15.53,3.92,9.49,Heard Island and McDonald Islands,NA
180142,70.5,-54.5,2091-2100,ssp585,-29.42,-15.64,-15.56,4.23,9.86,Heard Island and McDonald Islands,NA
180146,70.5,-53.5,2091-2100,ssp585,-34.94,-16.37,-16.62,-0.65,11.41,Heard Island and McDonald Islands,NA
180150,70.5,-52.5,2091-2100,ssp585,-39.08,-17.4,-17.05,0.52,12.35,Heard Island and McDonald Islands,NA
180858,71.5,-55.5,2091-2100,ssp585,-24.1,-13.32,-15.71,5.79,10.51,Heard Island and McDonald Islands,NA
180862,71.5,-54.5,2091-2100,ssp585,-32.25,-15.82,-15.69,-0.04,10.85,Heard Island and McDonald Islands,NA
180866,71.5,-53.5,2091-2100,ssp585,-38.2,-16.69,-16.3,3.76,13.41,Heard Island and McDonald Islands,NA
180870,71.5,-52.5,2091-2100,ssp585,-40.91,-18.86,-18.85,-0.54,12.16,Heard Island and McDonald Islands,NA
180874,71.5,-51.5,2091-2100,ssp585,-42.94,-16,-15.99,7.98,13.96,Heard Island and McDonald Islands,NA
181578,72.5,-55.5,2091-2100,ssp585,-24.51,-14.11,-15.86,4.09,9.65,Heard Island and McDonald Islands,NA
181582,72.5,-54.5,2091-2100,ssp585,-30.96,-15.19,-15.54,8.1,12.55,Heard Island and McDonald Islands,NA
181586,72.5,-53.5,2091-2100,ssp585,-35.9,-18.55,-18.93,3.24,12.06,Heard Island and McDonald Islands,NA
181590,72.5,-52.5,2091-2100,ssp585,-40.26,-16.77,-16.58,3.36,12.38,Heard Island and McDonald Islands,NA
181594,72.5,-51.5,2091-2100,ssp585,-42.08,-16.34,-16.51,3.03,12.8,Heard Island and McDonald Islands,NA
182294,73.5,-56.5,2091-2100,ssp585,-20.38,-12.45,-14.06,3.39,7.61,Heard Island and McDonald Islands,NA
182298,73.5,-55.5,2091-2100,ssp585,-25.07,-14.21,-16.08,1.72,9.25,Heard Island and McDonald Islands,NA
182302,73.5,-54.5,2091-2100,ssp585,-33.33,-15.68,-15.68,0.06,10.9,Heard Island and McDonald Islands,NA
182306,73.5,-53.5,2091-2100,ssp585,-30.95,-16.41,-16.92,1.66,10.02,Heard Island and McDonald Islands,NA
182310,73.5,-52.5,2091-2100,ssp585,-36.22,-13.12,-17.16,20.52,15.77,Heard Island and McDonald Islands,NA
182314,73.5,-51.5,2091-2100,ssp585,-39.73,-17.11,-17.41,-0.46,11.37,Heard Island and McDonald Islands,NA
183018,74.5,-55.5,2091-2100,ssp585,-25.07,-12.46,-15.96,16.38,12.56,Heard Island and McDonald Islands,NA
183022,74.5,-54.5,2091-2100,ssp585,-32.37,-14.98,-16.18,4.84,11.65,Heard Island and McDonald Islands,NA
183026,74.5,-53.5,2091-2100,ssp585,-30.13,-15.78,-16.77,-1.59,10.1,Heard Island and McDonald Islands,NA
183030,74.5,-52.5,2091-2100,ssp585,-33.9,-15.57,-17.91,3.2,11.4,Heard Island and McDonald Islands,NA
183034,74.5,-51.5,2091-2100,ssp585,-37.43,-16.04,-16.24,4.43,12.22,Heard Island and McDonald Islands,NA
183038,74.5,-50.5,2091-2100,ssp585,-43.72,-16.58,-17.82,11.81,15.64,Heard Island and McDonald Islands,NA
183738,75.5,-55.5,2091-2100,ssp585,-23.95,-12.88,-15.06,13.74,11.29,Heard Island and McDonald Islands,NA
183742,75.5,-54.5,2091-2100,ssp585,-30.05,-14.32,-14.91,3.65,10.94,Heard Island and McDonald Islands,NA
183746,75.5,-53.5,2091-2100,ssp585,-31.82,-15.3,-15.25,3.12,11.05,Heard Island and McDonald Islands,NA
183750,75.5,-52.5,2091-2100,ssp585,-33.05,-14.43,-14.79,4.16,10.97,Heard Island and McDonald Islands,NA
183754,75.5,-51.5,2091-2100,ssp585,-35.48,-15.12,-17.17,10.15,11.92,Heard Island and McDonald Islands,NA
183758,75.5,-50.5,2091-2100,ssp585,-42.74,-18.46,-18.87,-0.19,13.71,Heard Island and McDonald Islands,NA
184458,76.5,-55.5,2091-2100,ssp585,-23.75,-13.1,-14.77,7.95,9.41,Heard Island and McDonald Islands,NA
184462,76.5,-54.5,2091-2100,ssp585,-26.6,-12.44,-12.74,8.62,10.96,Heard Island and McDonald Islands,NA
184466,76.5,-53.5,2091-2100,ssp585,-30.37,-14.16,-14.99,-0.03,10.67,Heard Island and McDonald Islands,NA
184470,76.5,-52.5,2091-2100,ssp585,-31.7,-13.18,-12.54,5.9,11.5,Heard Island and McDonald Islands,NA
184474,76.5,-51.5,2091-2100,ssp585,-33.71,-15.88,-18.24,10.07,11.58,Heard Island and McDonald Islands,NA
184478,76.5,-50.5,2091-2100,ssp585,-42.18,-14.75,-16.39,18.25,16.76,Heard Island and McDonald Islands,NA
185178,77.5,-55.5,2091-2100,ssp585,-25.03,-11.88,-13.37,12.27,10.31,Heard Island and McDonald Islands,NA
185182,77.5,-54.5,2091-2100,ssp585,-24.4,-11.72,-11.76,4.56,9.95,Heard Island and McDonald Islands,NA
185186,77.5,-53.5,2091-2100,ssp585,-28.46,-12.61,-11.47,11.61,11.69,Heard Island and McDonald Islands,NA
