year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
1964,historical,Indian,-9.67,-5.52,-5.86,-1.21,2.76,"Year: 1964
Mean change: -5.5%
SD: ±2.8%"
1964,historical,Pacific,-8.15,-3.15,-2.85,0.66,2.58,"Year: 1964
Mean change: -3.1%
SD: ±2.6%"
1965,historical,Atlantic,-11.22,-1.33,-0.99,2.61,3.91,"Year: 1965
Mean change: -1.3%
SD: ±3.9%"
1965,historical,Indian,-10.21,-2.95,-2.44,1.12,3.13,"Year: 1965
Mean change: -3%
SD: ±3.1%"
1965,historical,Pacific,-5.88,-2.08,-2.77,1.49,2.38,"Year: 1965
Mean change: -2.1%
SD: ±2.4%"
1966,historical,Atlantic,-10.68,-5.01,-4.95,3.94,4.64,"Year: 1966
Mean change: -5%
SD: ±4.6%"
1966,historical,Indian,-10.64,-4.25,-4.78,0.96,3.86,"Year: 1966
Mean change: -4.2%
SD: ±3.9%"
1966,historical,Pacific,-6.3,1.29,1.62,9.82,4.74,"Year: 1966
Mean change: 1.3%
SD: ±4.7%"
1967,historical,Atlantic,-12.27,-3.66,-3.92,7.26,6.12,"Year: 1967
Mean change: -3.7%
SD: ±6.1%"
1967,historical,Indian,-10.85,-3.79,-3.12,0.46,3.59,"Year: 1967
Mean change: -3.8%
SD: ±3.6%"
1967,historical,Pacific,-7.02,-0.2,-0.3,6.11,4.81,"Year: 1967
Mean change: -0.2%
SD: ±4.8%"
1968,historical,Atlantic,-10.97,-2.54,-0.41,6.12,5.27,"Year: 1968
Mean change: -2.5%
SD: ±5.3%"
1968,historical,Indian,-10.85,-3.87,-3.24,0.66,3.59,"Year: 1968
Mean change: -3.9%
SD: ±3.6%"
1968,historical,Pacific,-7.95,-2.19,-1.68,3.82,3.65,"Year: 1968
Mean change: -2.2%
SD: ±3.6%"
1969,historical,Atlantic,-11.52,-3.82,-3.69,4.5,5.16,"Year: 1969
Mean change: -3.8%
SD: ±5.2%"
1969,historical,Indian,-10.64,-2.7,-1.56,1.77,3.86,"Year: 1969
Mean change: -2.7%
SD: ±3.9%"
1969,historical,Pacific,-4.98,-0.74,-1.94,8.67,4.54,"Year: 1969
Mean change: -0.7%
SD: ±4.5%"
1970,historical,Atlantic,-11.09,-2.67,-2.15,2.95,4.5,"Year: 1970
Mean change: -2.7%
SD: ±4.5%"
1970,historical,Indian,-10.36,-3.86,-3.99,1.13,3.38,"Year: 1970
Mean change: -3.9%
SD: ±3.4%"
1970,historical,Pacific,-4.93,-1.31,-2.56,4.59,3.13,"Year: 1970
Mean change: -1.3%
SD: ±3.1%"
1971,historical,Atlantic,-12.58,-3.25,-1.27,2.01,5.53,"Year: 1971
Mean change: -3.2%
SD: ±5.5%"
1971,historical,Indian,-10.04,-2.39,-1.79,1.83,4.19,"Year: 1971
Mean change: -2.4%
SD: ±4.2%"
1971,historical,Pacific,-5.3,-0.82,-0.14,5.58,3.6,"Year: 1971
Mean change: -0.8%
SD: ±3.6%"
1972,historical,Atlantic,-12.03,-1.74,-0.28,2.57,4.35,"Year: 1972
Mean change: -1.7%
SD: ±4.3%"
1972,historical,Indian,-9.8,-2.47,-0.75,3.01,4.25,"Year: 1972
Mean change: -2.5%
SD: ±4.2%"
1972,historical,Pacific,-5.67,0.11,-0.07,8.37,4.88,"Year: 1972
Mean change: 0.1%
SD: ±4.9%"
1973,historical,Atlantic,-16.89,-4.96,-2.96,0.91,5.6,"Year: 1973
Mean change: -5%
SD: ±5.6%"
1973,historical,Indian,-9.51,-3.6,-3.53,0.3,3.1,"Year: 1973
Mean change: -3.6%
SD: ±3.1%"
1973,historical,Pacific,-6.71,-2.08,-2.47,3.1,3.48,"Year: 1973
Mean change: -2.1%
SD: ±3.5%"
1974,historical,Atlantic,-11.66,-5.47,-3.92,0.03,4.37,"Year: 1974
Mean change: -5.5%
SD: ±4.4%"
1974,historical,Indian,-9.09,-4.72,-4.21,0.01,3.38,"Year: 1974
Mean change: -4.7%
SD: ±3.4%"
1974,historical,Pacific,-8.75,-4.23,-4.74,2.3,3.81,"Year: 1974
Mean change: -4.2%
SD: ±3.8%"
1975,historical,Atlantic,-13.9,-5.21,-4.06,-0.34,4.42,"Year: 1975
Mean change: -5.2%
SD: ±4.4%"
1975,historical,Indian,-8.19,-4,-3.43,-0.34,2.96,"Year: 1975
Mean change: -4%
SD: ±3%"
1975,historical,Pacific,-9.2,-3.9,-4.16,1.83,3.32,"Year: 1975
Mean change: -3.9%
SD: ±3.3%"
1976,historical,Atlantic,-12.31,-3.26,-2.63,3.05,4.38,"Year: 1976
Mean change: -3.3%
SD: ±4.4%"
1976,historical,Indian,-7.34,-3.76,-4.22,-0.58,2.44,"Year: 1976
Mean change: -3.8%
SD: ±2.4%"
1976,historical,Pacific,-7.68,-1.55,-1.26,3.44,3.64,"Year: 1976
Mean change: -1.6%
SD: ±3.6%"
1977,historical,Atlantic,-14.02,-4.5,-3,2.11,5.15,"Year: 1977
Mean change: -4.5%
SD: ±5.2%"
1977,historical,Indian,-6.61,-3.26,-4.16,0.58,2.31,"Year: 1977
Mean change: -3.3%
SD: ±2.3%"
1977,historical,Pacific,-6.94,-2.91,-2.61,1.78,3.25,"Year: 1977
Mean change: -2.9%
SD: ±3.2%"
1978,historical,Atlantic,-12.3,-5.17,-5.38,4.78,5.21,"Year: 1978
Mean change: -5.2%
SD: ±5.2%"
1978,historical,Indian,-7.78,-2.45,-3.01,5.25,3.56,"Year: 1978
Mean change: -2.5%
SD: ±3.6%"
1978,historical,Pacific,-6.66,-2.08,-1.36,1.69,2.88,"Year: 1978
Mean change: -2.1%
SD: ±2.9%"
1979,historical,Atlantic,-12.31,-3.19,-2.89,2.94,3.91,"Year: 1979
Mean change: -3.2%
SD: ±3.9%"
1979,historical,Indian,-6.52,-2.08,-1.67,1.37,2.61,"Year: 1979
Mean change: -2.1%
SD: ±2.6%"
1979,historical,Pacific,-6.56,-0.39,-0.88,8.56,3.96,"Year: 1979
Mean change: -0.4%
SD: ±4%"
1980,historical,Atlantic,-12.1,-1.89,-1.16,2.72,3.93,"Year: 1980
Mean change: -1.9%
SD: ±3.9%"
1980,historical,Indian,-5.44,-2.6,-3.55,2.4,2.48,"Year: 1980
Mean change: -2.6%
SD: ±2.5%"
1980,historical,Pacific,-6.65,-1.23,-1.24,3.26,2.51,"Year: 1980
Mean change: -1.2%
SD: ±2.5%"
1981,historical,Atlantic,-11.3,-1.96,-2.25,7.08,5.26,"Year: 1981
Mean change: -2%
SD: ±5.3%"
1981,historical,Indian,-6.16,-3.02,-3.49,0.26,2.16,"Year: 1981
Mean change: -3%
SD: ±2.2%"
1981,historical,Pacific,-10.3,-3.73,-3.56,1.69,3.51,"Year: 1981
Mean change: -3.7%
SD: ±3.5%"
1982,historical,Atlantic,-11.92,-6.21,-7,2.02,4.47,"Year: 1982
Mean change: -6.2%
SD: ±4.5%"
