year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
2017,ssp585,Atlantic,-4.56,0.07,0.34,4.18,2.6,"Year: 2017
Mean change: 0.1%
SD: ±2.6%"
2017,ssp585,Indian,-4.9,-1.78,-1.68,2.47,2.12,"Year: 2017
Mean change: -1.8%
SD: ±2.1%"
2017,ssp585,Pacific,-2.8,0.41,-0.63,5.69,2.77,"Year: 2017
Mean change: 0.4%
SD: ±2.8%"
2018,ssp126,Atlantic,-8.83,-3.09,-2.27,2.69,3.53,"Year: 2018
Mean change: -3.1%
SD: ±3.5%"
2018,ssp126,Indian,-8.8,-4.45,-4.66,0.3,2.8,"Year: 2018
Mean change: -4.4%
SD: ±2.8%"
2018,ssp126,Pacific,-6.81,-1.26,-1.5,5.14,3.62,"Year: 2018
Mean change: -1.3%
SD: ±3.6%"
2018,ssp585,Atlantic,-3.03,-0.36,-0.52,2.73,2.01,"Year: 2018
Mean change: -0.4%
SD: ±2%"
2018,ssp585,Indian,-6.82,-0.98,-0.81,3.02,3.03,"Year: 2018
Mean change: -1%
SD: ±3%"
2018,ssp585,Pacific,-2.65,1.69,1.14,7.34,3.48,"Year: 2018
Mean change: 1.7%
SD: ±3.5%"
2019,ssp126,Atlantic,-7.12,-1.32,-1.22,4.15,3.53,"Year: 2019
Mean change: -1.3%
SD: ±3.5%"
2019,ssp126,Indian,-5.75,-3.73,-4.03,-0.9,1.64,"Year: 2019
Mean change: -3.7%
SD: ±1.6%"
2019,ssp126,Pacific,-5.3,-1.13,-1.64,4.98,2.72,"Year: 2019
Mean change: -1.1%
SD: ±2.7%"
2019,ssp585,Atlantic,-4.98,-1.51,-1.78,3.36,2.83,"Year: 2019
Mean change: -1.5%
SD: ±2.8%"
2019,ssp585,Indian,-6.16,-0.02,0.46,4.09,3.03,"Year: 2019
Mean change: 0%
SD: ±3%"
2019,ssp585,Pacific,-2.55,2.14,0.81,11.8,4.49,"Year: 2019
Mean change: 2.1%
SD: ±4.5%"
2020,ssp126,Atlantic,-4.7,-0.76,-1.57,2.97,2.37,"Year: 2020
Mean change: -0.8%
SD: ±2.4%"
2020,ssp126,Indian,-6.63,-2.72,-2.18,0.16,1.87,"Year: 2020
Mean change: -2.7%
SD: ±1.9%"
2020,ssp126,Pacific,-4.27,0.01,0.14,4.97,2.67,"Year: 2020
Mean change: 0%
SD: ±2.7%"
2020,ssp585,Atlantic,-8.13,-2.87,-2.33,3.3,3.53,"Year: 2020
Mean change: -2.9%
SD: ±3.5%"
2020,ssp585,Indian,-7.4,-3.22,-3.16,2.11,2.72,"Year: 2020
Mean change: -3.2%
SD: ±2.7%"
2020,ssp585,Pacific,-2.87,1.99,-0.26,16.32,6.17,"Year: 2020
Mean change: 2%
SD: ±6.2%"
2021,ssp126,Atlantic,-9.25,-1.38,-1,3.31,3.52,"Year: 2021
Mean change: -1.4%
SD: ±3.5%"
2021,ssp126,Indian,-7.5,-2.52,-2.27,1.17,2.4,"Year: 2021
Mean change: -2.5%
SD: ±2.4%"
2021,ssp126,Pacific,-2.78,0.4,0.25,5.23,2.45,"Year: 2021
Mean change: 0.4%
SD: ±2.5%"
2021,ssp585,Atlantic,-8.05,-0.82,-1.87,6.9,5.07,"Year: 2021
Mean change: -0.8%
SD: ±5.1%"
2021,ssp585,Indian,-5.74,-1.19,-1.17,3.76,3.2,"Year: 2021
Mean change: -1.2%
SD: ±3.2%"
2021,ssp585,Pacific,-6.69,1.36,-1.42,16.06,7.09,"Year: 2021
Mean change: 1.4%
SD: ±7.1%"
2022,ssp126,Atlantic,-10.23,-1.98,-1.13,0.93,3.3,"Year: 2022
Mean change: -2%
SD: ±3.3%"
2022,ssp126,Indian,-6.42,-3.49,-3.5,-1.05,1.83,"Year: 2022
Mean change: -3.5%
SD: ±1.8%"
2022,ssp126,Pacific,-4.81,0.1,0.71,5.58,3.3,"Year: 2022
Mean change: 0.1%
SD: ±3.3%"
2022,ssp585,Atlantic,-4.23,0.68,0.71,7.08,3.01,"Year: 2022
Mean change: 0.7%
SD: ±3%"
2022,ssp585,Indian,-2.17,-0.89,-1.33,1.42,1.24,"Year: 2022
Mean change: -0.9%
SD: ±1.2%"
2022,ssp585,Pacific,-11,0.31,-1.44,11.07,6.61,"Year: 2022
Mean change: 0.3%
SD: ±6.6%"
2023,ssp126,Atlantic,-4.3,-0.7,-0.87,5.04,2.83,"Year: 2023
Mean change: -0.7%
SD: ±2.8%"
2023,ssp126,Indian,-10.13,-4.48,-3.88,-1.09,3.08,"Year: 2023
Mean change: -4.5%
SD: ±3.1%"
2023,ssp126,Pacific,-7.27,-2.73,-3.94,5.84,4.35,"Year: 2023
Mean change: -2.7%
SD: ±4.3%"
2023,ssp585,Atlantic,-8.68,-2.62,-1.56,2.58,3.2,"Year: 2023
Mean change: -2.6%
SD: ±3.2%"
2023,ssp585,Indian,-3.25,-0.19,-0.69,3.79,2.13,"Year: 2023
Mean change: -0.2%
SD: ±2.1%"
2023,ssp585,Pacific,-6.77,1.39,0.68,11.17,5.12,"Year: 2023
Mean change: 1.4%
SD: ±5.1%"
2024,ssp126,Atlantic,-7.62,-1.49,-2.18,6.45,3.96,"Year: 2024
Mean change: -1.5%
SD: ±4%"
2024,ssp126,Indian,-5.8,-2.79,-2.52,1.26,2.15,"Year: 2024
Mean change: -2.8%
SD: ±2.1%"
2024,ssp126,Pacific,-7.41,-2.61,-3.8,5.67,4.11,"Year: 2024
Mean change: -2.6%
SD: ±4.1%"
2024,ssp585,Atlantic,-3.35,-0.5,-0.91,3.33,1.95,"Year: 2024
Mean change: -0.5%
SD: ±2%"
2024,ssp585,Indian,-1.09,0.18,-0.37,2.99,1.34,"Year: 2024
Mean change: 0.2%
SD: ±1.3%"
2024,ssp585,Pacific,-11.69,-0.11,-0.79,11.57,6.32,"Year: 2024
Mean change: -0.1%
SD: ±6.3%"
2025,ssp126,Atlantic,-12.68,-2.89,-3.29,4.99,5.32,"Year: 2025
Mean change: -2.9%
SD: ±5.3%"
2025,ssp126,Indian,-5.4,-2.83,-2.65,1.16,2,"Year: 2025
Mean change: -2.8%
SD: ±2%"
2025,ssp126,Pacific,-12.18,-4.48,-4.8,5.08,4.63,"Year: 2025
Mean change: -4.5%
SD: ±4.6%"
2025,ssp585,Atlantic,-2.86,1.41,-0.02,8.47,3.78,"Year: 2025
Mean change: 1.4%
SD: ±3.8%"
2025,ssp585,Indian,-1.58,0.37,0.33,2.1,1.37,"Year: 2025
Mean change: 0.4%
SD: ±1.4%"
2025,ssp585,Pacific,-3.68,1.05,0.49,11.92,4.85,"Year: 2025
Mean change: 1%
SD: ±4.8%"
2026,ssp126,Atlantic,-5.05,-1.78,-2.31,1.36,2.18,"Year: 2026
Mean change: -1.8%
SD: ±2.2%"
2026,ssp126,Indian,-5.74,-1.96,-2.13,2.84,2.54,"Year: 2026
Mean change: -2%
SD: ±2.5%"
2026,ssp126,Pacific,-11.79,-3.91,-3.09,3.87,4.64,"Year: 2026
Mean change: -3.9%
SD: ±4.6%"
2026,ssp585,Atlantic,-6.47,-2.23,-1.62,0.54,2.02,"Year: 2026
Mean change: -2.2%
SD: ±2%"
2026,ssp585,Indian,-6.67,-2.06,-1.52,2.11,2.61,"Year: 2026
Mean change: -2.1%
SD: ±2.6%"
2026,ssp585,Pacific,-3.88,0.89,-0.96,12.06,4.65,"Year: 2026
Mean change: 0.9%
SD: ±4.7%"
2027,ssp126,Atlantic,-2.59,-0.55,-0.86,3.72,1.88,"Year: 2027
Mean change: -0.6%
SD: ±1.9%"
2027,ssp126,Indian,-6.08,-2.57,-2.31,1.29,2.54,"Year: 2027
Mean change: -2.6%
SD: ±2.5%"
2027,ssp126,Pacific,-8.16,-3.71,-4.33,2.71,3.16,"Year: 2027
Mean change: -3.7%
SD: ±3.2%"
2027,ssp585,Atlantic,-5.86,-2.38,-2.17,1.53,2.25,"Year: 2027
Mean change: -2.4%
SD: ±2.2%"
2027,ssp585,Indian,-4.72,-1.7,-1.98,1.58,1.9,"Year: 2027
Mean change: -1.7%
SD: ±1.9%"
2027,ssp585,Pacific,-4.26,0.56,-0.67,11.8,4.68,"Year: 2027
Mean change: 0.6%
SD: ±4.7%"
2028,ssp126,Atlantic,-4.98,-0.19,-0.69,8.19,4.13,"Year: 2028
Mean change: -0.2%
SD: ±4.1%"
2028,ssp126,Indian,-6.02,-1.65,-2.03,2.43,2.77,"Year: 2028
Mean change: -1.6%
SD: ±2.8%"
2028,ssp126,Pacific,-4.74,-1.72,-2.34,2.07,2.26,"Year: 2028
Mean change: -1.7%
SD: ±2.3%"
2028,ssp585,Atlantic,-1.63,0.39,-0.59,5.97,2.42,"Year: 2028
Mean change: 0.4%
SD: ±2.4%"
2028,ssp585,Indian,-1.37,0.4,0.07,3.37,1.5,"Year: 2028
Mean change: 0.4%
SD: ±1.5%"
2028,ssp585,Pacific,-3.85,1.19,0.26,11,4.3,"Year: 2028
Mean change: 1.2%
SD: ±4.3%"
2029,ssp126,Atlantic,-3.51,-0.31,-0.41,2.96,1.97,"Year: 2029
Mean change: -0.3%
SD: ±2%"
2029,ssp126,Indian,-5.23,-1.87,-2,0.6,2.21,"Year: 2029
Mean change: -1.9%
SD: ±2.2%"
2029,ssp126,Pacific,-4.75,-0.25,-0.01,4.4,2.7,"Year: 2029
Mean change: -0.2%
SD: ±2.7%"
2029,ssp585,Atlantic,-4.24,-0.77,-1.18,2.01,1.81,"Year: 2029
Mean change: -0.8%
SD: ±1.8%"
2029,ssp585,Indian,-3.83,-1.4,-1.78,3.12,2.04,"Year: 2029
Mean change: -1.4%
SD: ±2%"
2029,ssp585,Pacific,-6.54,0.22,-1.2,9.9,5.24,"Year: 2029
Mean change: 0.2%
SD: ±5.2%"
2030,ssp126,Atlantic,-7,-2.09,-2.35,3.74,2.98,"Year: 2030
Mean change: -2.1%
SD: ±3%"
2030,ssp126,Indian,-8.38,-3.15,-3.56,3.94,3.02,"Year: 2030
Mean change: -3.1%
SD: ±3%"
2030,ssp126,Pacific,-4.72,-0.51,-0.55,5.15,2.95,"Year: 2030
Mean change: -0.5%
SD: ±3%"
2030,ssp585,Atlantic,-6.3,-1.03,-0.45,0.96,2.07,"Year: 2030
Mean change: -1%
SD: ±2.1%"
2030,ssp585,Indian,-6.72,-2.05,-1.4,2.35,2.49,"Year: 2030
Mean change: -2%
SD: ±2.5%"
2030,ssp585,Pacific,-4.2,0.01,-1.38,8.53,4.18,"Year: 2030
Mean change: 0%
SD: ±4.2%"
2031,ssp126,Atlantic,-8.78,-0.13,0.26,9.02,5.16,"Year: 2031
Mean change: -0.1%
SD: ±5.2%"
2031,ssp126,Indian,-7.85,-3.02,-3.1,5.51,3.52,"Year: 2031
Mean change: -3%
SD: ±3.5%"
2031,ssp126,Pacific,-7.04,-2.21,-2.89,6.28,3.94,"Year: 2031
Mean change: -2.2%
SD: ±3.9%"
2031,ssp585,Atlantic,-7.04,-1.7,-1.49,2.79,2.93,"Year: 2031
Mean change: -1.7%
SD: ±2.9%"
2031,ssp585,Indian,-7.1,-2.4,-1.85,0.58,2.61,"Year: 2031
Mean change: -2.4%
SD: ±2.6%"
2031,ssp585,Pacific,-9.16,-2.78,-2.52,7.01,4.97,"Year: 2031
Mean change: -2.8%
SD: ±5%"
2032,ssp126,Atlantic,-4.11,-0.48,-0.69,3.2,2.22,"Year: 2032
Mean change: -0.5%
SD: ±2.2%"
2032,ssp126,Indian,-5.75,-1.63,-2.59,3.06,2.89,"Year: 2032
Mean change: -1.6%
SD: ±2.9%"
2032,ssp126,Pacific,-4.84,-1.35,-2.08,3.38,3.02,"Year: 2032
Mean change: -1.4%
SD: ±3%"
2032,ssp585,Atlantic,-8.57,-3.56,-3.97,0.76,2.96,"Year: 2032
Mean change: -3.6%
SD: ±3%"
2032,ssp585,Indian,-6.42,-3.24,-2.64,-1.73,1.75,"Year: 2032
Mean change: -3.2%
SD: ±1.8%"
2032,ssp585,Pacific,-4.38,-0.47,-2.41,8.98,4.4,"Year: 2032
Mean change: -0.5%
SD: ±4.4%"
2033,ssp126,Atlantic,-6.25,-2.11,-1.99,2.62,2.9,"Year: 2033
Mean change: -2.1%
SD: ±2.9%"
2033,ssp126,Indian,-4.69,-2.5,-2.68,2.42,1.96,"Year: 2033
Mean change: -2.5%
SD: ±2%"
2033,ssp126,Pacific,-4.81,-1.5,-0.88,1.56,2.1,"Year: 2033
Mean change: -1.5%
SD: ±2.1%"
2033,ssp585,Atlantic,-9.57,-2.35,-2.09,6.25,4.08,"Year: 2033
Mean change: -2.4%
SD: ±4.1%"
2033,ssp585,Indian,-5.27,-2.67,-2.6,-0.04,1.48,"Year: 2033
Mean change: -2.7%
SD: ±1.5%"
2033,ssp585,Pacific,-4.67,-1.05,-1.79,4.77,2.87,"Year: 2033
Mean change: -1%
SD: ±2.9%"
2034,ssp126,Atlantic,-6.23,-1.38,-1.34,2.24,2.24,"Year: 2034
Mean change: -1.4%
SD: ±2.2%"
2034,ssp126,Indian,-3.17,-1.16,-1.59,5.81,2.6,"Year: 2034
Mean change: -1.2%
SD: ±2.6%"
2034,ssp126,Pacific,-4.91,-1.45,-1.59,1.32,2.06,"Year: 2034
Mean change: -1.4%
SD: ±2.1%"
2034,ssp585,Atlantic,-5.48,-1.41,-1.8,3.12,2.59,"Year: 2034
Mean change: -1.4%
SD: ±2.6%"
2034,ssp585,Indian,-5.66,-2.01,-2.19,1.52,2.02,"Year: 2034
Mean change: -2%
SD: ±2%"
2034,ssp585,Pacific,-8.35,-3,-3.53,3.94,4.14,"Year: 2034
Mean change: -3%
SD: ±4.1%"
2035,ssp126,Atlantic,-8.41,-2.45,-2.43,1.74,2.9,"Year: 2035
Mean change: -2.5%
SD: ±2.9%"
2035,ssp126,Indian,-5.44,-2.1,-2.85,6.73,3.39,"Year: 2035
Mean change: -2.1%
SD: ±3.4%"
2035,ssp126,Pacific,-10.28,-3.11,-2.97,4.16,4.33,"Year: 2035
Mean change: -3.1%
SD: ±4.3%"
2035,ssp585,Atlantic,-2.57,-0.44,-1.29,5.66,2.45,"Year: 2035
Mean change: -0.4%
SD: ±2.5%"
2035,ssp585,Indian,-3.82,-1.45,-1.68,1.36,1.57,"Year: 2035
Mean change: -1.4%
SD: ±1.6%"
2035,ssp585,Pacific,-5.32,-1.94,-2.14,2.87,2.85,"Year: 2035
Mean change: -1.9%
SD: ±2.9%"
2036,ssp126,Atlantic,-2.79,1.15,-0.33,10.98,5.25,"Year: 2036
Mean change: 1.1%
SD: ±5.2%"
2036,ssp126,Indian,-4.56,-1.57,-2.7,3.05,2.37,"Year: 2036
Mean change: -1.6%
SD: ±2.4%"
2036,ssp126,Pacific,-5.4,-2.4,-2.45,2.4,2.48,"Year: 2036
Mean change: -2.4%
SD: ±2.5%"
2036,ssp585,Atlantic,-2.37,-0.21,-0.94,3.55,1.92,"Year: 2036
Mean change: -0.2%
SD: ±1.9%"
2036,ssp585,Indian,-4.2,-0.72,-1.14,2.53,2.12,"Year: 2036
Mean change: -0.7%
SD: ±2.1%"
2036,ssp585,Pacific,-7.48,-2.91,-2.93,1.68,2.84,"Year: 2036
Mean change: -2.9%
SD: ±2.8%"
2037,ssp126,Atlantic,-2.67,-0.73,-1.39,5.38,2.29,"Year: 2037
Mean change: -0.7%
SD: ±2.3%"
2037,ssp126,Indian,-3.47,-1.17,-1.84,2.57,2.05,"Year: 2037
Mean change: -1.2%
SD: ±2%"
2037,ssp126,Pacific,-5.24,-2.39,-2.6,2.26,2.44,"Year: 2037
Mean change: -2.4%
SD: ±2.4%"
2037,ssp585,Atlantic,-3.12,-0.34,-1.38,6.16,2.76,"Year: 2037
Mean change: -0.3%
SD: ±2.8%"
2037,ssp585,Indian,-4.5,-0.67,-1.62,3.19,2.39,"Year: 2037
Mean change: -0.7%
SD: ±2.4%"
2037,ssp585,Pacific,-5.27,-1.26,-1.72,2.26,2.53,"Year: 2037
Mean change: -1.3%
SD: ±2.5%"
2038,ssp126,Atlantic,-5.89,-0.45,-0.83,3.84,3.14,"Year: 2038
Mean change: -0.4%
SD: ±3.1%"
2038,ssp126,Indian,-6.03,-1.4,-1.12,3.71,2.64,"Year: 2038
Mean change: -1.4%
SD: ±2.6%"
2038,ssp126,Pacific,-5.63,-3.01,-4.58,2.28,3.13,"Year: 2038
Mean change: -3%
SD: ±3.1%"
2038,ssp585,Atlantic,-2.93,0.14,-0.91,6.75,2.87,"Year: 2038
Mean change: 0.1%
SD: ±2.9%"
2038,ssp585,Indian,-5.22,-1.91,-2.17,2.7,2.71,"Year: 2038
Mean change: -1.9%
SD: ±2.7%"
2038,ssp585,Pacific,-5.45,-2.57,-3.1,1.21,2.11,"Year: 2038
Mean change: -2.6%
SD: ±2.1%"
2039,ssp126,Atlantic,-2.57,1.83,0.57,8.32,3.93,"Year: 2039
Mean change: 1.8%
SD: ±3.9%"
2039,ssp126,Indian,-7.33,-2.03,-2.16,4.63,3.32,"Year: 2039
Mean change: -2%
SD: ±3.3%"
2039,ssp126,Pacific,-11.47,-4.08,-4.38,2.59,4.63,"Year: 2039
Mean change: -4.1%
SD: ±4.6%"
2039,ssp585,Atlantic,-3.73,-0.12,-0.45,4.58,2.76,"Year: 2039
Mean change: -0.1%
SD: ±2.8%"
2039,ssp585,Indian,-10.29,-2.72,-2.22,2.29,3.92,"Year: 2039
Mean change: -2.7%
SD: ±3.9%"
2039,ssp585,Pacific,-6.14,-3.74,-4.21,0.13,2.13,"Year: 2039
Mean change: -3.7%
SD: ±2.1%"
2040,ssp126,Atlantic,-6.67,0.42,-1.42,10.09,5.77,"Year: 2040
Mean change: 0.4%
SD: ±5.8%"
2040,ssp126,Indian,-6,-0.79,-1.08,4.37,3.7,"Year: 2040
Mean change: -0.8%
SD: ±3.7%"
2040,ssp126,Pacific,-8,-3.33,-3.62,0.94,3.12,"Year: 2040
Mean change: -3.3%
SD: ±3.1%"
2040,ssp585,Atlantic,-5.1,-1.11,-1.17,4.62,3.29,"Year: 2040
Mean change: -1.1%
SD: ±3.3%"
2040,ssp585,Indian,-8.98,-3.05,-2.51,1.99,3.63,"Year: 2040
Mean change: -3%
SD: ±3.6%"
2040,ssp585,Pacific,-9.68,-3.11,-3.97,10.01,5.39,"Year: 2040
Mean change: -3.1%
SD: ±5.4%"
2041,ssp126,Atlantic,-4.95,1.11,-0.31,10.5,5.59,"Year: 2041
Mean change: 1.1%
SD: ±5.6%"
2041,ssp126,Indian,-5.15,-1.83,-2.81,4.34,2.85,"Year: 2041
Mean change: -1.8%
SD: ±2.9%"
2041,ssp126,Pacific,-9.22,-2.46,-1.89,2.48,4.51,"Year: 2041
Mean change: -2.5%
SD: ±4.5%"
2041,ssp585,Atlantic,-4.91,-1.93,-2.61,3.08,2.76,"Year: 2041
Mean change: -1.9%
SD: ±2.8%"
2041,ssp585,Indian,-7.91,-2.58,-2.49,1.12,3.08,"Year: 2041
Mean change: -2.6%
SD: ±3.1%"
2041,ssp585,Pacific,-11.65,-1.33,-2.28,12.14,6.84,"Year: 2041
Mean change: -1.3%
SD: ±6.8%"
2042,ssp126,Atlantic,-4.83,-1.32,-1.53,6.05,3.2,"Year: 2042
Mean change: -1.3%
SD: ±3.2%"
2042,ssp126,Indian,-5.26,-2.71,-3.63,4.95,3.09,"Year: 2042
Mean change: -2.7%
SD: ±3.1%"
2042,ssp126,Pacific,-10.22,-3.87,-4.55,5.95,4.61,"Year: 2042
Mean change: -3.9%
SD: ±4.6%"
2042,ssp585,Atlantic,-4.6,0.3,0.34,5.17,2.98,"Year: 2042
Mean change: 0.3%
SD: ±3%"
2042,ssp585,Indian,-8.06,-2.16,-2.56,3.45,3.29,"Year: 2042
Mean change: -2.2%
SD: ±3.3%"
2042,ssp585,Pacific,-8.03,-3.66,-3.34,1.64,2.83,"Year: 2042
Mean change: -3.7%
SD: ±2.8%"
2043,ssp126,Atlantic,-6.71,-1.75,-1.95,6.76,4.1,"Year: 2043
Mean change: -1.8%
SD: ±4.1%"
2043,ssp126,Indian,-5.34,-1.74,-2.83,5.62,3.21,"Year: 2043
Mean change: -1.7%
SD: ±3.2%"
2043,ssp126,Pacific,-11.24,-5.75,-5.42,-1.53,2.68,"Year: 2043
Mean change: -5.8%
SD: ±2.7%"
2043,ssp585,Atlantic,-4.7,-1.68,-2.23,3.77,2.51,"Year: 2043
Mean change: -1.7%
SD: ±2.5%"
2043,ssp585,Indian,-7.9,-3.56,-4.6,2.96,3.13,"Year: 2043
Mean change: -3.6%
SD: ±3.1%"
2043,ssp585,Pacific,-7.22,-2.98,-3.25,1.92,2.7,"Year: 2043
Mean change: -3%
SD: ±2.7%"
2044,ssp126,Atlantic,-5.02,-0.26,-0.1,5.88,3.09,"Year: 2044
Mean change: -0.3%
SD: ±3.1%"
2044,ssp126,Indian,-7.78,-1.94,-3.03,7.12,4.53,"Year: 2044
Mean change: -1.9%
SD: ±4.5%"
2044,ssp126,Pacific,-12.06,-2.94,-3.19,3.3,4.5,"Year: 2044
Mean change: -2.9%
SD: ±4.5%"
2044,ssp585,Atlantic,-4.66,0.78,1.19,5.57,3.21,"Year: 2044
Mean change: 0.8%
SD: ±3.2%"
2044,ssp585,Indian,-7.86,-2.76,-3.35,4.87,3.49,"Year: 2044
Mean change: -2.8%
SD: ±3.5%"
2044,ssp585,Pacific,-7.77,-2.63,-2.87,3.89,3.44,"Year: 2044
Mean change: -2.6%
SD: ±3.4%"
2045,ssp126,Atlantic,-4.92,-0.84,-0.85,4.06,3.32,"Year: 2045
Mean change: -0.8%
SD: ±3.3%"
2045,ssp126,Indian,-8.68,-3.46,-3.68,6.51,4.19,"Year: 2045
Mean change: -3.5%
SD: ±4.2%"
2045,ssp126,Pacific,-12.74,-5.56,-4.57,-1.08,4.29,"Year: 2045
Mean change: -5.6%
SD: ±4.3%"
2045,ssp585,Atlantic,-5.76,-1.03,-1.26,7.38,3.78,"Year: 2045
Mean change: -1%
SD: ±3.8%"
2045,ssp585,Indian,-7.99,-3.69,-4.21,4.34,3.35,"Year: 2045
Mean change: -3.7%
SD: ±3.4%"
2045,ssp585,Pacific,-8.48,-3.07,-3.89,2.57,3.52,"Year: 2045
Mean change: -3.1%
SD: ±3.5%"
2046,ssp126,Atlantic,-8.1,-0.51,-0.77,5.58,4.28,"Year: 2046
Mean change: -0.5%
SD: ±4.3%"
2046,ssp126,Indian,-9.04,-3.06,-3.32,4.25,3.9,"Year: 2046
Mean change: -3.1%
SD: ±3.9%"
2046,ssp126,Pacific,-13.64,-5.54,-5.66,6.42,6.14,"Year: 2046
Mean change: -5.5%
SD: ±6.1%"
2046,ssp585,Atlantic,-4.3,1.69,-0.63,9.49,4.89,"Year: 2046
Mean change: 1.7%
SD: ±4.9%"
2046,ssp585,Indian,-8.35,-2.43,-3.35,6.75,4.78,"Year: 2046
Mean change: -2.4%
SD: ±4.8%"
2046,ssp585,Pacific,-9.41,-4.49,-4.21,-0.11,2.55,"Year: 2046
Mean change: -4.5%
SD: ±2.5%"
2047,ssp126,Atlantic,-6.35,-2.1,-2.3,5.83,3.68,"Year: 2047
Mean change: -2.1%
SD: ±3.7%"
2047,ssp126,Indian,-7.55,-2.35,-3.2,4.19,3.91,"Year: 2047
Mean change: -2.4%
SD: ±3.9%"
2047,ssp126,Pacific,-14.48,-4.44,-4.34,5.76,5.67,"Year: 2047
Mean change: -4.4%
SD: ±5.7%"
2047,ssp585,Atlantic,-4.27,2.3,2.36,9.66,4.36,"Year: 2047
Mean change: 2.3%
SD: ±4.4%"
2047,ssp585,Indian,-8.93,-1.11,-2.92,10.84,6.52,"Year: 2047
Mean change: -1.1%
SD: ±6.5%"
2047,ssp585,Pacific,-10.29,-3.28,-4.27,5.17,4.67,"Year: 2047
Mean change: -3.3%
SD: ±4.7%"
2048,ssp126,Atlantic,-5.7,1.05,0.1,7.4,4.23,"Year: 2048
Mean change: 1%
SD: ±4.2%"
2048,ssp126,Indian,-6.93,-1.35,-2.23,5.59,3.66,"Year: 2048
Mean change: -1.4%
SD: ±3.7%"
2048,ssp126,Pacific,-15.05,-2.61,-1.85,4.58,6.01,"Year: 2048
Mean change: -2.6%
SD: ±6%"
2048,ssp585,Atlantic,-4.34,0.53,-0.25,6.43,3.25,"Year: 2048
Mean change: 0.5%
SD: ±3.2%"
2048,ssp585,Indian,-9.26,-2.48,-2.69,3.98,4.25,"Year: 2048
Mean change: -2.5%
SD: ±4.2%"
2048,ssp585,Pacific,-11.02,-2.95,-3.31,5.06,5.27,"Year: 2048
Mean change: -3%
SD: ±5.3%"
2049,ssp126,Atlantic,-5.92,-0.54,-0.98,8.74,4.06,"Year: 2049
Mean change: -0.5%
SD: ±4.1%"
2049,ssp126,Indian,-7.76,-2.87,-3.72,5.88,4.17,"Year: 2049
Mean change: -2.9%
SD: ±4.2%"
2049,ssp126,Pacific,-15.38,-3.98,-2.95,3.67,4.76,"Year: 2049
Mean change: -4%
SD: ±4.8%"
2049,ssp585,Atlantic,-6.53,-2.27,-2.28,5.46,3.41,"Year: 2049
Mean change: -2.3%
SD: ±3.4%"
2049,ssp585,Indian,-9.03,-3.17,-3.61,6.17,4.55,"Year: 2049
Mean change: -3.2%
SD: ±4.6%"
2049,ssp585,Pacific,-11.52,-2.82,-3.64,4.15,5.75,"Year: 2049
Mean change: -2.8%
SD: ±5.8%"
2050,ssp126,Atlantic,-6.66,-0.81,-0.88,6.29,4.17,"Year: 2050
Mean change: -0.8%
SD: ±4.2%"
2050,ssp126,Indian,-9.21,-2.55,-3.48,5.57,5.05,"Year: 2050
Mean change: -2.5%
SD: ±5%"
2050,ssp126,Pacific,-15.77,-4.91,-4.29,2.95,5.76,"Year: 2050
Mean change: -4.9%
SD: ±5.8%"
2050,ssp585,Atlantic,-4.92,-0.27,-0.93,4.84,2.85,"Year: 2050
Mean change: -0.3%
SD: ±2.9%"
2050,ssp585,Indian,-10.04,-3.5,-3.89,6.94,4.99,"Year: 2050
Mean change: -3.5%
SD: ±5%"
2050,ssp585,Pacific,-11.8,-4.17,-4,1.33,4.16,"Year: 2050
Mean change: -4.2%
SD: ±4.2%"
2051,ssp126,Atlantic,-7.69,-0.41,0.16,7.72,3.97,"Year: 2051
Mean change: -0.4%
SD: ±4%"
2051,ssp126,Indian,-8.71,-3.81,-3.97,3.42,4.14,"Year: 2051
Mean change: -3.8%
SD: ±4.1%"
2051,ssp126,Pacific,-16.2,-5.61,-3.56,-1.89,4.38,"Year: 2051
Mean change: -5.6%
SD: ±4.4%"
2051,ssp585,Atlantic,-5.65,1.52,0.22,12.13,5.3,"Year: 2051
Mean change: 1.5%
SD: ±5.3%"
2051,ssp585,Indian,-10.19,-2.73,-3.81,6.07,5.64,"Year: 2051
Mean change: -2.7%
SD: ±5.6%"
2051,ssp585,Pacific,-12.11,-4.45,-4.66,2.05,4.21,"Year: 2051
Mean change: -4.4%
SD: ±4.2%"
2052,ssp126,Atlantic,-8.72,0.23,-1.32,9.79,6.23,"Year: 2052
Mean change: 0.2%
SD: ±6.2%"
2052,ssp126,Indian,-8.96,-1.73,-1.61,4.62,4.2,"Year: 2052
Mean change: -1.7%
SD: ±4.2%"
2052,ssp126,Pacific,-16.66,-3.39,-2.3,6.36,6.63,"Year: 2052
Mean change: -3.4%
SD: ±6.6%"
2052,ssp585,Atlantic,-6.11,0.96,-0.44,6.91,4.19,"Year: 2052
Mean change: 1%
SD: ±4.2%"
2052,ssp585,Indian,-8.29,-3.9,-4.81,5.75,4.66,"Year: 2052
Mean change: -3.9%
SD: ±4.7%"
2052,ssp585,Pacific,-12.55,-3.01,-4,5.15,5.31,"Year: 2052
Mean change: -3%
SD: ±5.3%"
2053,ssp126,Atlantic,-9.67,-0.64,-0.71,7.1,5.27,"Year: 2053
Mean change: -0.6%
SD: ±5.3%"
