year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2009,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.86,0.86,1.16,5.87,4.17
2010,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-4.39,0.11,0.58,3.37,2.41
2011,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-3.32,2.27,0.85,11.47,4.18
2012,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-2.04,0.4,0.54,3.7,1.77
2013,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-7.93,-0.99,-0.27,2.29,2.84
2014,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-4.42,-1.11,-0.64,1.24,1.95
2015,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-2.41,0.43,-0.21,6.7,2.58
2015,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-5.42,-0.14,0.36,5.1,2.75
2016,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.72,-2.3,-1.21,5.71,5.71
2016,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-6.44,-2.34,-1.94,0.62,2.5
2017,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.85,-3.1,-1.97,1.5,3.73
2017,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-5.49,-2.53,-1.94,-0.47,1.73
2018,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.33,-5.67,-6.33,0.41,3.4
2018,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-11.14,-1.52,-0.61,3.33,4.1
2019,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.03,-4.28,-3.94,0.46,4.26
2019,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-9.34,-3.11,-3.03,2.6,3.41
2020,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.11,-5.16,-5,0.3,3.23
2020,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-8.93,-3.59,-2.58,-0.17,3.22
2021,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.07,-4.14,-3.92,0.6,3.06
2021,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-6.68,-2.74,-2.33,2.11,2.74
2022,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.44,-4.68,-4.6,0.04,3.39
2022,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.07,-2.63,-2.47,1.55,2.69
2023,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.06,-4.3,-3.6,1.57,3.66
2023,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.62,-1.73,-1.45,2.05,3.01
2024,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.53,-2.52,-0.83,0.38,3.93
2024,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.38,-0.17,0.34,3.07,3.01
2025,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.37,-4.19,-3.61,0.63,3.49
2025,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-8.46,-2.77,-1.79,0.48,2.87
2026,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.23,-3.34,-2.75,0.5,3.4
2026,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-13.22,-4.34,-3.78,0.89,3.79
2027,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.48,-3.8,-2.85,1.14,3.63
2027,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-13.16,-4.55,-3.31,-0.26,4.33
2028,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.58,-4.31,-3.59,0.23,3.09
2028,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-8.12,-1.03,-0.28,6.4,4.43
2029,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.41,-5.84,-5.03,-1.22,4.45
2029,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.75,-1.43,-1.79,2.97,3.18
2030,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-11.07,-3.97,-3.28,1.21,3.96
2030,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-6.22,-1.88,-1.56,2.75,3.33
2031,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.7,-4.32,-2.4,0.33,4.46
2031,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.87,-3.9,-4.09,1,3.29
2032,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.68,-4.34,-4.69,2.78,4.18
2032,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.95,-4.55,-5.56,0.04,2.98
2033,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.52,-5.36,-5.59,-1.22,3.23
2033,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.24,-4.47,-4.62,0.54,2.61
2034,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-10.15,-3.73,-3.41,0.94,3.64
2034,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-7.76,-2.64,-3.02,4.63,3.7
2035,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-8.68,-3.13,-3.17,2.51,3.74
2035,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-9.87,-3.06,-1.67,1.79,4.19
