year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2083,ssp585,Southern Ocean,-14.1,-4.09,-4.34,4.23,5.69,"Year: 2083
Mean change: -4.1%
SD: ±5.7%"
2084,ssp126,Southern Ocean,-13.44,-3.59,-4.29,3.33,5.19,"Year: 2084
Mean change: -3.6%
SD: ±5.2%"
2084,ssp585,Southern Ocean,-14.6,-4.21,-4.71,7.26,6.82,"Year: 2084
Mean change: -4.2%
SD: ±6.8%"
2085,ssp126,Southern Ocean,-14.48,-4.01,-2.92,0.02,4.23,"Year: 2085
Mean change: -4%
SD: ±4.2%"
2085,ssp585,Southern Ocean,-15.58,-5.06,-5.24,3.51,6.2,"Year: 2085
Mean change: -5.1%
SD: ±6.2%"
2086,ssp126,Southern Ocean,-15.08,-4.04,-3.29,0.38,4.38,"Year: 2086
Mean change: -4%
SD: ±4.4%"
2086,ssp585,Southern Ocean,-16.67,-4.54,-4.88,5.28,6.39,"Year: 2086
Mean change: -4.5%
SD: ±6.4%"
2087,ssp126,Southern Ocean,-15.4,-3.71,-2.55,0.98,4.62,"Year: 2087
Mean change: -3.7%
SD: ±4.6%"
2087,ssp585,Southern Ocean,-17.49,-4.77,-5.35,5.55,6.55,"Year: 2087
Mean change: -4.8%
SD: ±6.6%"
2088,ssp126,Southern Ocean,-15.68,-4.58,-4.09,1.43,4.55,"Year: 2088
Mean change: -4.6%
SD: ±4.6%"
2088,ssp585,Southern Ocean,-17.98,-4.94,-4.84,4.8,7.08,"Year: 2088
Mean change: -4.9%
SD: ±7.1%"
2089,ssp126,Southern Ocean,-16.09,-5.51,-4.41,1.67,4.96,"Year: 2089
Mean change: -5.5%
SD: ±5%"
2089,ssp585,Southern Ocean,-18.34,-5.95,-6.05,3.1,6.14,"Year: 2089
Mean change: -6%
SD: ±6.1%"
2090,ssp126,Southern Ocean,-16.58,-5.33,-4.76,0.71,4.49,"Year: 2090
Mean change: -5.3%
SD: ±4.5%"
2090,ssp585,Southern Ocean,-18.61,-5.36,-5.98,4.32,7.08,"Year: 2090
Mean change: -5.4%
SD: ±7.1%"
2091,ssp126,Southern Ocean,-17.07,-4.16,-3.2,2.6,5.72,"Year: 2091
Mean change: -4.2%
SD: ±5.7%"
2091,ssp585,Southern Ocean,-18.86,-5.09,-4.61,5.23,7.6,"Year: 2091
Mean change: -5.1%
SD: ±7.6%"
2092,ssp126,Southern Ocean,-17.46,-5.05,-3.39,-1.08,4.81,"Year: 2092
Mean change: -5%
SD: ±4.8%"
2092,ssp585,Southern Ocean,-19.32,-5.43,-5.04,6.38,8.18,"Year: 2092
Mean change: -5.4%
SD: ±8.2%"
2093,ssp126,Southern Ocean,-17.59,-3.59,-3.08,1.07,5.4,"Year: 2093
Mean change: -3.6%
SD: ±5.4%"
2093,ssp585,Southern Ocean,-19.83,-4.47,-4.92,7.67,8.14,"Year: 2093
Mean change: -4.5%
SD: ±8.1%"
2094,ssp126,Southern Ocean,-17.52,-4.84,-3.63,1.82,5.2,"Year: 2094
Mean change: -4.8%
SD: ±5.2%"
2094,ssp585,Southern Ocean,-20.17,-4.79,-4.54,7.64,8.19,"Year: 2094
Mean change: -4.8%
SD: ±8.2%"
2095,ssp126,Southern Ocean,-17.52,-4.18,-3.52,2.76,5.69,"Year: 2095
Mean change: -4.2%
SD: ±5.7%"
2095,ssp585,Southern Ocean,-20.43,-5.73,-6.15,5.26,7.75,"Year: 2095
Mean change: -5.7%
SD: ±7.8%"
2096,ssp126,Southern Ocean,-17.55,-4.77,-3.46,0.68,5.5,"Year: 2096
Mean change: -4.8%
SD: ±5.5%"
2096,ssp585,Southern Ocean,-20.78,-6.54,-6.38,4.73,7.79,"Year: 2096
Mean change: -6.5%
SD: ±7.8%"
2097,ssp126,Southern Ocean,-17.69,-7.13,-5.6,-0.87,4.73,"Year: 2097
Mean change: -7.1%
SD: ±4.7%"
2097,ssp585,Southern Ocean,-21.18,-6.01,-5.2,7.44,8.55,"Year: 2097
Mean change: -6%
SD: ±8.6%"
2098,ssp126,Southern Ocean,-17.86,-6.35,-5.28,-0.24,4.87,"Year: 2098
Mean change: -6.3%
SD: ±4.9%"
2098,ssp585,Southern Ocean,-21.63,-6.4,-5.45,8.97,8.93,"Year: 2098
Mean change: -6.4%
SD: ±8.9%"
2099,ssp126,Southern Ocean,-17.88,-4.57,-3.29,1.63,5.4,"Year: 2099
Mean change: -4.6%
SD: ±5.4%"
2099,ssp585,Southern Ocean,-22.15,-7.46,-6.17,4.48,8.17,"Year: 2099
Mean change: -7.5%
SD: ±8.2%"
2100,ssp126,Southern Ocean,-17.75,-5.36,-4.68,1.8,5.06,"Year: 2100
Mean change: -5.4%
SD: ±5.1%"
2100,ssp585,Southern Ocean,-22.65,-6.93,-7.6,6.84,8.56,"Year: 2100
Mean change: -6.9%
SD: ±8.6%"
