rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
175119,63.5,-50.5,2041-2050,ssp126,-17.24,-5.56,-5.37,4.16,6.24,Kerguelen Islands,NA
175123,63.5,-49.5,2041-2050,ssp126,-14.8,-5,-5.28,2.11,5.84,Kerguelen Islands,NA
175835,64.5,-51.5,2041-2050,ssp126,-18.85,-4.65,-4.52,5.84,6.54,Kerguelen Islands,NA
175839,64.5,-50.5,2041-2050,ssp126,-13.89,-4.94,-5.3,3.45,5.7,Kerguelen Islands,NA
175843,64.5,-49.5,2041-2050,ssp126,-14.05,-4.93,-4.98,1.72,4.96,Kerguelen Islands,NA
175847,64.5,-48.5,2041-2050,ssp126,-13.12,-5.62,-5.7,2.97,5.17,Kerguelen Islands,NA
175851,64.5,-47.5,2041-2050,ssp126,-15.03,-5.03,-4.36,3.76,6.01,Kerguelen Islands,NA
176551,65.5,-52.5,2041-2050,ssp126,-20.38,-4.6,-3.35,6.13,6.58,Kerguelen Islands,NA
176555,65.5,-51.5,2041-2050,ssp126,-19.6,-4.32,-4.69,8.18,7.86,Kerguelen Islands,NA
176559,65.5,-50.5,2041-2050,ssp126,-14.99,-5.44,-5.56,2.75,5.8,Kerguelen Islands,NA
176563,65.5,-49.5,2041-2050,ssp126,-14.18,-5.62,-5.42,2.49,5.98,Kerguelen Islands,NA
176567,65.5,-48.5,2041-2050,ssp126,-15.75,-6.59,-6.09,0.13,5.51,Kerguelen Islands,NA
176571,65.5,-47.5,2041-2050,ssp126,-14.19,-5.42,-4.87,4.37,5.58,Kerguelen Islands,NA
176575,65.5,-46.5,2041-2050,ssp126,-15.58,-4.99,-3.59,1,5.19,Kerguelen Islands,NA
177271,66.5,-52.5,2041-2050,ssp126,-21.04,-4.96,-4.48,8.19,7.13,Kerguelen Islands,NA
177275,66.5,-51.5,2041-2050,ssp126,-19.77,-5.69,-4.98,5.93,7.04,Kerguelen Islands,NA
177279,66.5,-50.5,2041-2050,ssp126,-16.03,-5.99,-5.25,0.56,5.55,Kerguelen Islands,NA
177283,66.5,-49.5,2041-2050,ssp126,-18.98,-6.96,-4.69,0.1,6.46,Kerguelen Islands,NA
177287,66.5,-48.5,2041-2050,ssp126,-17.74,-7.05,-5.65,-0.3,5.59,Kerguelen Islands,NA
177291,66.5,-47.5,2041-2050,ssp126,-14.46,-4.88,-4.94,7.28,6.83,Kerguelen Islands,NA
177295,66.5,-46.5,2041-2050,ssp126,-14.71,-5.2,-4.27,1.77,4.91,Kerguelen Islands,NA
177991,67.5,-52.5,2041-2050,ssp126,-21.49,-6.43,-4.47,-2.5,5.54,Kerguelen Islands,NA
177995,67.5,-51.5,2041-2050,ssp126,-19.17,-5.24,-5.25,7.93,7.87,Kerguelen Islands,NA
177999,67.5,-50.5,2041-2050,ssp126,-15.78,-5.77,-4.76,0.01,5.5,Kerguelen Islands,NA
178003,67.5,-49.5,2041-2050,ssp126,-17.8,-4.16,-2.02,5.43,7.07,Kerguelen Islands,NA
178007,67.5,-48.5,2041-2050,ssp126,-16.73,-4.91,-3.04,1.91,6.07,Kerguelen Islands,NA
178011,67.5,-47.5,2041-2050,ssp126,-13.67,-4.6,-4.64,5.34,6.17,Kerguelen Islands,NA
