rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
50,-179.5,-77.5,2091-2100,ssp585,-26.04,13.14,-5.34,136.8,47.23,"Pacific, Antarctic"
54,-179.5,-76.5,2091-2100,ssp585,-10.81,18.69,4.14,102.67,34.98,"Pacific, Antarctic"
58,-179.5,-75.5,2091-2100,ssp585,-20.94,19.07,12.77,84.56,30.5,"Pacific, Antarctic"
62,-179.5,-74.5,2091-2100,ssp585,-27.27,13.44,10.24,51.33,28.13,"Pacific, Antarctic"
66,-179.5,-73.5,2091-2100,ssp585,-44.01,12.24,20.92,43.29,28.66,"Pacific, Antarctic"
70,-179.5,-72.5,2091-2100,ssp585,-23.85,12.02,16.76,38.88,19,"Pacific, Antarctic"
74,-179.5,-71.5,2091-2100,ssp585,-36.22,0.45,-0.14,32.66,21.1,"Pacific, Antarctic"
78,-179.5,-70.5,2091-2100,ssp585,-58.31,-8.15,-5.87,27.81,24.03,"Pacific, Antarctic"
82,-179.5,-69.5,2091-2100,ssp585,-65.19,-7.53,-6.26,38.96,27.69,"Pacific, Antarctic"
86,-179.5,-68.5,2091-2100,ssp585,-67.46,-11.97,-7.91,17.29,23.98,"Pacific, Antarctic"
90,-179.5,-67.5,2091-2100,ssp585,-61.86,-14.95,-9.25,10.09,22.74,"Pacific, Antarctic"
94,-179.5,-66.5,2091-2100,ssp585,-57.45,-11.26,-12.78,14.43,23.51,"Pacific, Antarctic"
98,-179.5,-65.5,2091-2100,ssp585,-28.95,-1.65,-5.48,35.98,22.59,"Pacific, Antarctic"
102,-179.5,-64.5,2091-2100,ssp585,-24.42,-1.57,-5.01,24.45,17.7,"Pacific, Antarctic"
106,-179.5,-63.5,2091-2100,ssp585,-26.08,-3.7,-1.89,22,15.33,"Pacific, Antarctic"
110,-179.5,-62.5,2091-2100,ssp585,-28.27,-5.43,-4.9,20.39,15.79,"Pacific, Antarctic"
114,-179.5,-61.5,2091-2100,ssp585,-30.46,-7.28,-8.2,16.55,16.34,"Pacific, Antarctic"
118,-179.5,-60.5,2091-2100,ssp585,-31.56,-8.62,-9.23,13.73,14.56,"Pacific, Antarctic"
