rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
79281,-69.5,-69.5,2091-2100,ssp126,-8.05,-5.55,-5.55,-3.05,3.54,"Atlantic, Antarctic"
79285,-69.5,-68.5,2091-2100,ssp126,-30.81,5.39,8.52,41.07,19.34,"Atlantic, Antarctic"
79289,-69.5,-67.5,2091-2100,ssp126,-16.52,3.96,2.92,21.49,13.02,"Atlantic, Antarctic"
79293,-69.5,-66.5,2091-2100,ssp126,-24.01,6.14,5.72,36.1,19.71,"Atlantic, Antarctic"
79297,-69.5,-65.5,2091-2100,ssp126,-26.72,-1,1.29,32.77,17.68,"Atlantic, Antarctic"
79301,-69.5,-64.5,2091-2100,ssp126,-34.95,-7.73,-3.34,18.12,17.94,"Atlantic, Antarctic"
79305,-69.5,-63.5,2091-2100,ssp126,-37.32,-6.09,-2.05,13.48,14.98,"Atlantic, Antarctic"
79309,-69.5,-62.5,2091-2100,ssp126,-30.86,-6.74,-3.16,8.99,11.12,"Atlantic, Antarctic"
79313,-69.5,-61.5,2091-2100,ssp126,-21.27,-7.68,-7.31,1.88,6.53,"Atlantic, Antarctic"
79317,-69.5,-60.5,2091-2100,ssp126,-11.76,-6.34,-8.42,2.83,5.12,"Atlantic, Antarctic"
79997,-68.5,-70.5,2091-2100,ssp126,-12.63,8.26,16.84,20.57,18.19,"Atlantic, Antarctic"
80001,-68.5,-69.5,2091-2100,ssp126,-13.39,1.63,1.64,16.64,15.01,"Atlantic, Antarctic"
80005,-68.5,-68.5,2091-2100,ssp126,-14.79,0.61,4.4,17.96,10.7,"Atlantic, Antarctic"
80009,-68.5,-67.5,2091-2100,ssp126,-4.81,7.63,7.96,19.74,12.28,"Atlantic, Antarctic"
80013,-68.5,-66.5,2091-2100,ssp126,-17.63,1.62,1.93,22.66,14.07,"Atlantic, Antarctic"
80017,-68.5,-65.5,2091-2100,ssp126,-23.64,-1.92,-3.88,30,15.34,"Atlantic, Antarctic"
80021,-68.5,-64.5,2091-2100,ssp126,-29.62,-5.69,-3.26,27.07,16.83,"Atlantic, Antarctic"
