rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
177988,67.5,-53.5,2041-2050,ssp585,-23.84,-7.23,-5.91,-1.6,6.21,Heard Island and McDonald Islands,NA
178704,68.5,-54.5,2041-2050,ssp585,-23.54,-6.2,-5.53,1.9,6.68,Heard Island and McDonald Islands,NA
178708,68.5,-53.5,2041-2050,ssp585,-23.55,-6.49,-5.5,-0.11,6.42,Heard Island and McDonald Islands,NA
179420,69.5,-55.5,2041-2050,ssp585,-20.83,-5.36,-5.27,3.92,6.69,Heard Island and McDonald Islands,NA
179424,69.5,-54.5,2041-2050,ssp585,-23.45,-6.76,-5.52,-0.52,6.23,Heard Island and McDonald Islands,NA
179428,69.5,-53.5,2041-2050,ssp585,-23.19,-5.05,-5.31,10.11,8.29,Heard Island and McDonald Islands,NA
179432,69.5,-52.5,2041-2050,ssp585,-21.31,-6.77,-5.81,2.41,6.27,Heard Island and McDonald Islands,NA
180140,70.5,-55.5,2041-2050,ssp585,-19.68,-5.01,-5.18,4.96,6.59,Heard Island and McDonald Islands,NA
180144,70.5,-54.5,2041-2050,ssp585,-23.23,-6.86,-5.46,-1.25,6.09,Heard Island and McDonald Islands,NA
180148,70.5,-53.5,2041-2050,ssp585,-21.9,-6.93,-6.26,-2.5,5.66,Heard Island and McDonald Islands,NA
180152,70.5,-52.5,2041-2050,ssp585,-19.2,-7.23,-6.68,0.55,5.57,Heard Island and McDonald Islands,NA
180860,71.5,-55.5,2041-2050,ssp585,-19.18,-4.92,-5.51,5.67,6.57,Heard Island and McDonald Islands,NA
180864,71.5,-54.5,2041-2050,ssp585,-20.72,-5.74,-5.98,2.41,6.08,Heard Island and McDonald Islands,NA
180868,71.5,-53.5,2041-2050,ssp585,-16.71,-6.12,-6.02,0.2,4.57,Heard Island and McDonald Islands,NA
180872,71.5,-52.5,2041-2050,ssp585,-12.86,-6.75,-7.03,-0.71,4,Heard Island and McDonald Islands,NA
180876,71.5,-51.5,2041-2050,ssp585,-15.56,-5.22,-5.45,5.68,5.93,Heard Island and McDonald Islands,NA
181580,72.5,-55.5,2041-2050,ssp585,-18.57,-5.17,-4.3,5.36,5.87,Heard Island and McDonald Islands,NA
181584,72.5,-54.5,2041-2050,ssp585,-11.92,-3.57,-4.15,10.9,5.9,Heard Island and McDonald Islands,NA
181588,72.5,-53.5,2041-2050,ssp585,-11.27,-5.07,-6.39,7.15,5.5,Heard Island and McDonald Islands,NA
181592,72.5,-52.5,2041-2050,ssp585,-8.72,-2.77,-4.91,7.86,5.3,Heard Island and McDonald Islands,NA
181596,72.5,-51.5,2041-2050,ssp585,-12.46,-4.31,-4.08,4.48,5.34,Heard Island and McDonald Islands,NA
182296,73.5,-56.5,2041-2050,ssp585,-4.65,-2.25,-2.02,2.01,1.97,Heard Island and McDonald Islands,NA
182300,73.5,-55.5,2041-2050,ssp585,-15.87,-4.93,-4.26,2.29,4.72,Heard Island and McDonald Islands,NA
182304,73.5,-54.5,2041-2050,ssp585,-6.46,-2.56,-2.6,4.56,3.61,Heard Island and McDonald Islands,NA
182308,73.5,-53.5,2041-2050,ssp585,-7.64,-1.43,-2.5,6.85,4.58,Heard Island and McDonald Islands,NA
182312,73.5,-52.5,2041-2050,ssp585,-11.09,-0.72,-2.55,10.58,6.91,Heard Island and McDonald Islands,NA
182316,73.5,-51.5,2041-2050,ssp585,-11.61,-5.53,-6.28,2.95,4.17,Heard Island and McDonald Islands,NA
183020,74.5,-55.5,2041-2050,ssp585,-12.63,-4.12,-4.73,6.74,4.99,Heard Island and McDonald Islands,NA
183024,74.5,-54.5,2041-2050,ssp585,-6.6,-2.38,-2.38,2.3,3.02,Heard Island and McDonald Islands,NA
183028,74.5,-53.5,2041-2050,ssp585,-6.31,-0.61,-2.41,10.67,5.41,Heard Island and McDonald Islands,NA
183032,74.5,-52.5,2041-2050,ssp585,-7.51,-1.33,-3.52,8.74,5.02,Heard Island and McDonald Islands,NA
183036,74.5,-51.5,2041-2050,ssp585,-13.92,-5.45,-5.01,1.66,4.27,Heard Island and McDonald Islands,NA
183040,74.5,-50.5,2041-2050,ssp585,-18.22,-4.75,-4.89,8.3,6.88,Heard Island and McDonald Islands,NA
183740,75.5,-55.5,2041-2050,ssp585,-8.85,-3.63,-4.16,7.65,4.42,Heard Island and McDonald Islands,NA
183744,75.5,-54.5,2041-2050,ssp585,-6.49,-2.94,-4.03,2.54,3.31,Heard Island and McDonald Islands,NA
183748,75.5,-53.5,2041-2050,ssp585,-5.91,-2.05,-2.03,1.66,2.64,Heard Island and McDonald Islands,NA
183752,75.5,-52.5,2041-2050,ssp585,-6.92,-1.32,-1.4,5.17,4.11,Heard Island and McDonald Islands,NA
183756,75.5,-51.5,2041-2050,ssp585,-8.65,-4.26,-4.45,4.1,3.78,Heard Island and McDonald Islands,NA
183760,75.5,-50.5,2041-2050,ssp585,-18.36,-6.74,-6.13,1.95,6.13,Heard Island and McDonald Islands,NA
184460,76.5,-55.5,2041-2050,ssp585,-6.87,-3,-2.88,3.5,2.66,Heard Island and McDonald Islands,NA
184464,76.5,-54.5,2041-2050,ssp585,-7.6,-3.38,-4.25,3.59,3.81,Heard Island and McDonald Islands,NA
184468,76.5,-53.5,2041-2050,ssp585,-6.25,-1.08,-3.16,8.77,5.2,Heard Island and McDonald Islands,NA
184472,76.5,-52.5,2041-2050,ssp585,-6.65,-2.75,-2.77,3.11,3.29,Heard Island and McDonald Islands,NA
