year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1986,historical,GPZii,-8.29,6.84,4.17,29.63,12.21,"Year: 1986
Mean change: 6.8%
SD: ±12.2%"
1986,historical,GPZiii,-43.36,4.31,7.09,44.75,22.96,"Year: 1986
Mean change: 4.3%
SD: ±23%"
1986,historical,KRZ,-33.27,-8.92,-7.66,11.98,16.21,"Year: 1986
Mean change: -8.9%
SD: ±16.2%"
1986,historical,SOSS,-25.06,2.8,1.11,43.07,19.26,"Year: 1986
Mean change: 2.8%
SD: ±19.3%"
1986,historical,SRZ,-18.41,-1.8,-3.44,14.07,11.56,"Year: 1986
Mean change: -1.8%
SD: ±11.6%"
1987,historical,GPZi,-12.05,7.48,8.94,24.76,11.6,"Year: 1987
Mean change: 7.5%
SD: ±11.6%"
1987,historical,GPZii,-10.37,1.25,1.87,15.12,7.79,"Year: 1987
Mean change: 1.2%
SD: ±7.8%"
1987,historical,GPZiii,-42.07,4.25,8.68,22.91,17.96,"Year: 1987
Mean change: 4.2%
SD: ±18%"
1987,historical,KRZ,-19.37,2.82,2.25,25.44,14.63,"Year: 1987
Mean change: 2.8%
SD: ±14.6%"
1987,historical,SOSS,-28.1,3.6,0.51,38.62,19.63,"Year: 1987
Mean change: 3.6%
SD: ±19.6%"
1987,historical,SRZ,-17.4,13.14,9.27,56.51,20.17,"Year: 1987
Mean change: 13.1%
SD: ±20.2%"
1988,historical,GPZi,-8.42,4.19,4.86,19.52,8.97,"Year: 1988
Mean change: 4.2%
SD: ±9%"
1988,historical,GPZii,-18.32,-1.47,-1.6,15.35,9.36,"Year: 1988
Mean change: -1.5%
SD: ±9.4%"
1988,historical,GPZiii,-40.1,5.28,8.52,25.77,17.14,"Year: 1988
Mean change: 5.3%
SD: ±17.1%"
1988,historical,KRZ,-17.02,8.46,13.26,32.94,14.02,"Year: 1988
Mean change: 8.5%
SD: ±14%"
1988,historical,SOSS,-31.29,-0.98,2.36,30.47,17.86,"Year: 1988
Mean change: -1%
SD: ±17.9%"
1988,historical,SRZ,-16.13,8.08,10.84,22.88,12.18,"Year: 1988
Mean change: 8.1%
SD: ±12.2%"
1989,historical,GPZi,-11.45,-0.09,0.11,14.49,8.56,"Year: 1989
Mean change: -0.1%
SD: ±8.6%"
1989,historical,GPZii,-13.97,-0.73,0.63,14.72,8.88,"Year: 1989
Mean change: -0.7%
SD: ±8.9%"
1989,historical,GPZiii,-37.56,-0.91,4.43,23.16,17.48,"Year: 1989
Mean change: -0.9%
SD: ±17.5%"
1989,historical,KRZ,-14.81,2.18,1.22,27.67,13.41,"Year: 1989
Mean change: 2.2%
SD: ±13.4%"
1989,historical,SOSS,-32.19,-1.85,-1.38,12.31,13.01,"Year: 1989
Mean change: -1.9%
SD: ±13%"
1989,historical,SRZ,-14.91,2.29,2.49,18.7,10.13,"Year: 1989
Mean change: 2.3%
SD: ±10.1%"
1990,historical,GPZi,-6.32,7.66,6.99,18.52,7.42,"Year: 1990
Mean change: 7.7%
SD: ±7.4%"
1990,historical,GPZii,-9.09,3.61,4.46,19.02,8.62,"Year: 1990
Mean change: 3.6%
SD: ±8.6%"
1990,historical,GPZiii,-34.88,3.94,7,30.71,17.68,"Year: 1990
Mean change: 3.9%
SD: ±17.7%"
1990,historical,KRZ,-12.3,7.91,7.92,24.66,11.04,"Year: 1990
Mean change: 7.9%
SD: ±11%"
1990,historical,SOSS,-26.29,-1.67,3.31,26.71,17.24,"Year: 1990
Mean change: -1.7%
SD: ±17.2%"
1990,historical,SRZ,-13.61,13.21,16.89,25.85,12.05,"Year: 1990
Mean change: 13.2%
SD: ±12.1%"
1991,historical,GPZi,-5.12,4.14,3.77,17.01,6.97,"Year: 1991
Mean change: 4.1%
SD: ±7%"
1991,historical,GPZii,-15.31,5.75,3.89,28.06,12.25,"Year: 1991
Mean change: 5.8%
SD: ±12.2%"
1991,historical,GPZiii,-32,2.92,5.63,14.56,13.57,"Year: 1991
Mean change: 2.9%
SD: ±13.6%"
1991,historical,KRZ,-10.42,6.38,3.85,21.59,10.78,"Year: 1991
Mean change: 6.4%
SD: ±10.8%"
1991,historical,SOSS,-26.87,-4.63,-8.08,16.91,14.5,"Year: 1991
Mean change: -4.6%
SD: ±14.5%"
1991,historical,SRZ,-16.14,3.55,2.16,28.29,14.06,"Year: 1991
Mean change: 3.5%
SD: ±14.1%"
1992,historical,GPZi,-24.51,-1.24,-4.28,18.9,13.41,"Year: 1992
Mean change: -1.2%
SD: ±13.4%"
1992,historical,GPZii,-14.06,1.26,2.72,15.01,9.07,"Year: 1992
Mean change: 1.3%
SD: ±9.1%"
1992,historical,GPZiii,-29.01,0.69,8.66,19.05,17.18,"Year: 1992
Mean change: 0.7%
SD: ±17.2%"
1992,historical,KRZ,-9.15,0.92,-0.59,19.7,9.85,"Year: 1992
Mean change: 0.9%
SD: ±9.8%"
1992,historical,SOSS,-29.39,-1.24,2.66,31.42,17.3,"Year: 1992
Mean change: -1.2%
SD: ±17.3%"
1992,historical,SRZ,-65.71,-13.79,-6.89,16.11,29.75,"Year: 1992
Mean change: -13.8%
SD: ±29.8%"
1993,historical,GPZi,-22.38,-3.02,-4.62,15.29,12.68,"Year: 1993
Mean change: -3%
SD: ±12.7%"
1993,historical,GPZii,-8.17,1.24,1,15.47,6.7,"Year: 1993
Mean change: 1.2%
SD: ±6.7%"
1993,historical,GPZiii,-26.31,1.98,2.36,16.66,12.4,"Year: 1993
Mean change: 2%
SD: ±12.4%"
1993,historical,KRZ,-7.69,1.85,1.46,17.35,8.37,"Year: 1993
Mean change: 1.9%
SD: ±8.4%"
1993,historical,SOSS,-26.52,-7.34,-8.45,8.52,11.88,"Year: 1993
Mean change: -7.3%
SD: ±11.9%"
1993,historical,SRZ,-49.2,-7.95,-3.73,24.48,24.09,"Year: 1993
Mean change: -8%
SD: ±24.1%"
1994,historical,GPZi,-17.99,-2.37,-1.62,12.32,9.01,"Year: 1994
Mean change: -2.4%
SD: ±9%"
1994,historical,GPZii,-13.29,0.51,0.36,14.78,7.22,"Year: 1994
Mean change: 0.5%
SD: ±7.2%"
1994,historical,GPZiii,-23.8,-1.03,0.01,12.86,11.1,"Year: 1994
Mean change: -1%
SD: ±11.1%"
1994,historical,KRZ,-20.67,-0.03,-2.99,14.81,11.79,"Year: 1994
Mean change: 0%
SD: ±11.8%"
1994,historical,SOSS,-18.84,2.94,-1.77,38.19,18.06,"Year: 1994
Mean change: 2.9%
SD: ±18.1%"
1994,historical,SRZ,-24.11,-2.77,-0.71,13.78,13.19,"Year: 1994
Mean change: -2.8%
SD: ±13.2%"
1995,historical,GPZi,-18.43,2.81,4.89,17.29,10.9,"Year: 1995
Mean change: 2.8%
SD: ±10.9%"
1995,historical,GPZii,-12.46,-0.63,0.39,13.61,7.05,"Year: 1995
Mean change: -0.6%
SD: ±7%"
1995,historical,GPZiii,-21.32,3.01,5.54,21.85,12.02,"Year: 1995
Mean change: 3%
SD: ±12%"
1995,historical,KRZ,-14.97,-0.93,-3.36,14.51,10.56,"Year: 1995
Mean change: -0.9%
SD: ±10.6%"
1995,historical,SOSS,-19,-0.98,2.07,11.36,10.57,"Year: 1995
Mean change: -1%
SD: ±10.6%"
1995,historical,SRZ,-24.51,5.13,8.52,21.18,13.26,"Year: 1995
Mean change: 5.1%
SD: ±13.3%"
1996,historical,GPZi,-12.69,-0.66,0.07,11.09,8.25,"Year: 1996
Mean change: -0.7%
SD: ±8.2%"
1996,historical,GPZii,-12.64,-2.72,-4.48,11.71,7.33,"Year: 1996
Mean change: -2.7%
SD: ±7.3%"
1996,historical,GPZiii,-18.8,-1.29,1.2,10.29,8.89,"Year: 1996
Mean change: -1.3%
SD: ±8.9%"
1996,historical,KRZ,-23.17,-4.63,-6.27,9.38,9.64,"Year: 1996
Mean change: -4.6%
SD: ±9.6%"
1996,historical,SOSS,-12.65,1.58,2.5,15.32,9.37,"Year: 1996
Mean change: 1.6%
SD: ±9.4%"
1996,historical,SRZ,-19.03,5.36,7.19,28.83,16.85,"Year: 1996
Mean change: 5.4%
SD: ±16.9%"
1997,historical,GPZi,-30.5,-6.72,-3.92,8.8,13.41,"Year: 1997
Mean change: -6.7%
SD: ±13.4%"
1997,historical,GPZii,-13.4,-1.72,-1.92,9.46,6.68,"Year: 1997
Mean change: -1.7%
SD: ±6.7%"
1997,historical,GPZiii,-18.91,-4.82,-3.73,8.54,9.75,"Year: 1997
Mean change: -4.8%
SD: ±9.8%"
1997,historical,KRZ,-13.32,-2.98,-2.89,7.74,6.67,"Year: 1997
Mean change: -3%
SD: ±6.7%"
1997,historical,SOSS,-26.92,-3.21,-1.08,5.76,10.23,"Year: 1997
Mean change: -3.2%
SD: ±10.2%"
1997,historical,SRZ,-54.27,-14.1,-8.34,10.06,21.02,"Year: 1997
Mean change: -14.1%
SD: ±21%"
1998,historical,GPZi,-29.36,-7.61,-5.2,4.02,11.4,"Year: 1998
Mean change: -7.6%
SD: ±11.4%"
1998,historical,GPZii,-12.82,0.01,-1.97,15.09,8.83,"Year: 1998
Mean change: 0%
SD: ±8.8%"
1998,historical,GPZiii,-16.04,-3.31,-2.12,9.05,8.36,"Year: 1998
Mean change: -3.3%
SD: ±8.4%"
1998,historical,KRZ,-24.73,-0.47,-2.95,15.29,11.71,"Year: 1998
Mean change: -0.5%
SD: ±11.7%"
1998,historical,SOSS,-24.51,-5.69,-7.51,28.54,15.29,"Year: 1998
Mean change: -5.7%
SD: ±15.3%"
1998,historical,SRZ,-47.61,-9.9,-5.16,21.15,23.77,"Year: 1998
Mean change: -9.9%
SD: ±23.8%"
1999,historical,GPZi,-10.01,-0.91,-1.44,5.95,4.73,"Year: 1999
Mean change: -0.9%
SD: ±4.7%"
1999,historical,GPZii,-9.32,-3.29,-4.73,5.7,5.22,"Year: 1999
Mean change: -3.3%
SD: ±5.2%"
1999,historical,GPZiii,-13.75,-0.73,-2.53,16.18,10.34,"Year: 1999
Mean change: -0.7%
SD: ±10.3%"
1999,historical,KRZ,-24.55,-4.95,-2.45,5.33,9.54,"Year: 1999
Mean change: -5%
SD: ±9.5%"
1999,historical,SOSS,-16.99,0.89,-3.66,29.92,16.12,"Year: 1999
Mean change: 0.9%
SD: ±16.1%"
1999,historical,SRZ,-11.39,4.24,6,13.97,8.1,"Year: 1999
Mean change: 4.2%
SD: ±8.1%"
2000,historical,GPZi,-8.81,-0.57,0.21,5.43,4.79,"Year: 2000
Mean change: -0.6%
SD: ±4.8%"
2000,historical,GPZii,-14.77,-1.81,0.77,4.86,6.51,"Year: 2000
Mean change: -1.8%
SD: ±6.5%"
2000,historical,GPZiii,-12.96,0.03,0.86,10.13,8.06,"Year: 2000
Mean change: 0%
SD: ±8.1%"
2000,historical,KRZ,-24.64,-4.78,-1.7,4.72,8.8,"Year: 2000
Mean change: -4.8%
SD: ±8.8%"
2000,historical,SOSS,-9.74,-0.96,-0.26,7.6,5.21,"Year: 2000
Mean change: -1%
SD: ±5.2%"
2000,historical,SRZ,-6.59,8,4.4,34.63,12.11,"Year: 2000
Mean change: 8%
SD: ±12.1%"
2001,historical,GPZi,-7.13,1.02,1.14,6.9,3.83,"Year: 2001
Mean change: 1%
SD: ±3.8%"
2001,historical,GPZii,-8.69,-0.06,0.59,14.19,6.6,"Year: 2001
Mean change: -0.1%
SD: ±6.6%"
2001,historical,GPZiii,-12.88,2.19,-0.81,16.9,11.34,"Year: 2001
Mean change: 2.2%
SD: ±11.3%"
2001,historical,KRZ,-7.69,7.22,2.47,37.05,15.02,"Year: 2001
Mean change: 7.2%
SD: ±15%"
2001,historical,SOSS,-34.55,-10.71,-9.78,3.65,12.3,"Year: 2001
Mean change: -10.7%
SD: ±12.3%"
2001,historical,SRZ,-4.32,9.38,5,26.83,11.65,"Year: 2001
Mean change: 9.4%
SD: ±11.7%"
2002,historical,GPZi,-33.45,-6.15,0.74,5.97,14.2,"Year: 2002
Mean change: -6.2%
SD: ±14.2%"
2002,historical,GPZii,-7.29,-0.29,1.32,5.24,4.34,"Year: 2002
Mean change: -0.3%
SD: ±4.3%"
2002,historical,GPZiii,-20.42,1.72,-1.69,36.22,16.43,"Year: 2002
Mean change: 1.7%
SD: ±16.4%"
2002,historical,KRZ,-16.15,-2.45,-1.29,6.84,7.07,"Year: 2002
Mean change: -2.5%
SD: ±7.1%"
2002,historical,SOSS,-15.75,8.53,1.66,45.85,19,"Year: 2002
Mean change: 8.5%
SD: ±19%"
2002,historical,SRZ,-60.72,-9.14,-1.94,30.78,30.18,"Year: 2002
Mean change: -9.1%
SD: ±30.2%"
2003,historical,GPZi,-16.44,-3.92,-1.13,9.71,8.48,"Year: 2003
Mean change: -3.9%
SD: ±8.5%"
2003,historical,GPZii,-4.78,-0.94,-1.73,5.88,3.51,"Year: 2003
Mean change: -0.9%
SD: ±3.5%"
2003,historical,GPZiii,-6.83,7.23,4.92,35.51,12.75,"Year: 2003
Mean change: 7.2%
SD: ±12.8%"
2003,historical,KRZ,-8.61,-0.37,-0,4.67,3.57,"Year: 2003
Mean change: -0.4%
SD: ±3.6%"
2003,historical,SOSS,-22.37,1.14,0.14,34.34,17.79,"Year: 2003
Mean change: 1.1%
SD: ±17.8%"
2003,historical,SRZ,-40.77,-12.84,-5.91,7.51,19.01,"Year: 2003
Mean change: -12.8%
SD: ±19%"
2004,historical,GPZi,-9.68,-0.95,-0.42,11.14,6.85,"Year: 2004
Mean change: -0.9%
SD: ±6.8%"
2004,historical,GPZii,-3.28,0.1,-0.47,4.98,2.58,"Year: 2004
Mean change: 0.1%
SD: ±2.6%"
2004,historical,GPZiii,-11.72,6.89,3.27,44.34,15.65,"Year: 2004
Mean change: 6.9%
SD: ±15.7%"
2004,historical,KRZ,-1.02,2.86,1.05,8.84,4.06,"Year: 2004
Mean change: 2.9%
SD: ±4.1%"
2004,historical,SOSS,-15.64,-2.72,-1.64,11.17,7.98,"Year: 2004
Mean change: -2.7%
SD: ±8%"
2004,historical,SRZ,-44.82,-12.69,-12.14,11.53,18.3,"Year: 2004
Mean change: -12.7%
SD: ±18.3%"
2005,historical,GPZi,-16.85,-2.14,0.14,14.01,8.96,"Year: 2005
Mean change: -2.1%
SD: ±9%"
2005,historical,GPZii,-5.2,-1.67,-1.4,1.11,2.2,"Year: 2005
Mean change: -1.7%
SD: ±2.2%"
2005,historical,GPZiii,-9.35,1.55,1.33,12.25,6.88,"Year: 2005
Mean change: 1.6%
SD: ±6.9%"
2005,historical,KRZ,-14.7,1.53,0.83,21.1,8.87,"Year: 2005
Mean change: 1.5%
SD: ±8.9%"
2005,historical,SOSS,-17.17,-1.64,-1.51,24.09,11.62,"Year: 2005
Mean change: -1.6%
SD: ±11.6%"
2005,historical,SRZ,-37.11,-4.98,-5.77,13.87,13.9,"Year: 2005
Mean change: -5%
SD: ±13.9%"
2006,historical,GPZi,-10.58,2.06,1.01,13.46,6.8,"Year: 2006
Mean change: 2.1%
SD: ±6.8%"
2006,historical,GPZii,-4.55,-0.58,-1.23,6.16,3.74,"Year: 2006
Mean change: -0.6%
SD: ±3.7%"
2006,historical,GPZiii,-3.96,9.98,5.58,32.08,14.14,"Year: 2006
Mean change: 10%
SD: ±14.1%"
2006,historical,KRZ,-26.23,-1.71,-0.34,22.22,14.09,"Year: 2006
Mean change: -1.7%
SD: ±14.1%"
2006,historical,SOSS,-23.52,-7.97,-2.8,0.96,9.28,"Year: 2006
Mean change: -8%
SD: ±9.3%"
2006,historical,SRZ,-33.92,1.66,5.44,17.07,14.44,"Year: 2006
Mean change: 1.7%
SD: ±14.4%"
2007,historical,GPZi,-8.15,-0.85,-0.14,3.6,3.99,"Year: 2007
Mean change: -0.8%
SD: ±4%"
2007,historical,GPZii,-3.34,3.32,1.77,21.83,7.41,"Year: 2007
Mean change: 3.3%
SD: ±7.4%"
2007,historical,GPZiii,-15.02,-3.13,-2.84,3.46,5.35,"Year: 2007
Mean change: -3.1%
SD: ±5.3%"
2007,historical,KRZ,-9.12,2.53,1.04,20.31,8.87,"Year: 2007
Mean change: 2.5%
SD: ±8.9%"
2007,historical,SOSS,-1.77,3.98,2.18,10.42,4.88,"Year: 2007
Mean change: 4%
SD: ±4.9%"
2007,historical,SRZ,-17.74,-2.84,0.93,6.77,9.63,"Year: 2007
Mean change: -2.8%
SD: ±9.6%"
2008,historical,GPZi,-11.23,-4.08,-3.97,2.06,4.11,"Year: 2008
Mean change: -4.1%
SD: ±4.1%"
2008,historical,GPZii,-6.18,2.3,2.14,13.58,5.47,"Year: 2008
Mean change: 2.3%
SD: ±5.5%"
2008,historical,GPZiii,-13.83,2.41,0.71,26.95,12.26,"Year: 2008
Mean change: 2.4%
SD: ±12.3%"
2008,historical,KRZ,-18.84,-0.83,-1.07,13.62,8.19,"Year: 2008
Mean change: -0.8%
SD: ±8.2%"
2008,historical,SOSS,-8.72,-0.41,0.09,6.65,4.87,"Year: 2008
Mean change: -0.4%
SD: ±4.9%"
2008,historical,SRZ,-31.74,-7.87,-4,2.75,10.63,"Year: 2008
Mean change: -7.9%
SD: ±10.6%"
2009,historical,GPZi,-11.63,-0.81,0.12,1.67,3.87,"Year: 2009
Mean change: -0.8%
SD: ±3.9%"
2009,historical,GPZii,-14.93,0.04,1.2,8.55,8.13,"Year: 2009
Mean change: 0%
SD: ±8.1%"
2009,historical,GPZiii,-17.46,-2.71,-0.08,5,7.92,"Year: 2009
Mean change: -2.7%
SD: ±7.9%"
2009,historical,KRZ,-20.7,-2.69,-0.08,4.95,7.66,"Year: 2009
Mean change: -2.7%
SD: ±7.7%"
2009,historical,SOSS,-23.72,-1.93,-1.51,21.29,11.45,"Year: 2009
Mean change: -1.9%
SD: ±11.4%"
2009,historical,SRZ,-33.49,-0.91,-1.29,21.77,16.24,"Year: 2009
Mean change: -0.9%
SD: ±16.2%"
2010,historical,GPZi,-7.39,4.78,2.74,18.93,8.7,"Year: 2010
Mean change: 4.8%
SD: ±8.7%"
2010,historical,GPZii,-21.86,-1.9,1.03,8.55,10.18,"Year: 2010
Mean change: -1.9%
SD: ±10.2%"
2010,historical,GPZiii,-6.11,2.04,1.44,11.23,4.7,"Year: 2010
Mean change: 2%
SD: ±4.7%"
2010,historical,KRZ,-19.99,-3.26,-1.14,13.83,10.06,"Year: 2010
Mean change: -3.3%
SD: ±10.1%"
2010,historical,SOSS,-0.09,11.97,10.27,39.46,12.05,"Year: 2010
Mean change: 12%
SD: ±12.1%"
2010,historical,SRZ,-7.85,10.19,2.99,51.02,18.68,"Year: 2010
Mean change: 10.2%
SD: ±18.7%"
2011,historical,GPZi,-11.42,2.27,0.55,13.21,7.27,"Year: 2011
Mean change: 2.3%
SD: ±7.3%"
2011,historical,GPZii,-5.91,-0.84,-0.18,2.65,2.53,"Year: 2011
Mean change: -0.8%
SD: ±2.5%"
2011,historical,GPZiii,-13.67,-1.69,-1.66,3.46,4.89,"Year: 2011
Mean change: -1.7%
SD: ±4.9%"
2011,historical,KRZ,-26.32,-0.52,0.73,12.86,11.63,"Year: 2011
Mean change: -0.5%
SD: ±11.6%"
2011,historical,SOSS,-5.16,6.62,3.72,33.16,10.37,"Year: 2011
Mean change: 6.6%
SD: ±10.4%"
2011,historical,SRZ,-13.52,4.27,5.55,14.86,9.44,"Year: 2011
Mean change: 4.3%
SD: ±9.4%"
2012,historical,GPZi,-4.21,1.49,0.92,8.81,4.44,"Year: 2012
Mean change: 1.5%
SD: ±4.4%"
2012,historical,GPZii,-5.04,0.97,-1.26,13.05,6.39,"Year: 2012
Mean change: 1%
SD: ±6.4%"
2012,historical,GPZiii,-9.58,-1.77,-1.99,13.51,6.93,"Year: 2012
Mean change: -1.8%
SD: ±6.9%"
2012,historical,KRZ,-3.59,0.39,-0.04,5.91,3.16,"Year: 2012
Mean change: 0.4%
SD: ±3.2%"
2012,historical,SOSS,-16.63,-3.72,-0.41,2.25,6.61,"Year: 2012
Mean change: -3.7%
SD: ±6.6%"
2012,historical,SRZ,-4.71,7.25,2.5,34.17,12.85,"Year: 2012
Mean change: 7.2%
SD: ±12.8%"
2013,historical,GPZi,-8.87,-0.97,-0.34,7.93,4.68,"Year: 2013
Mean change: -1%
SD: ±4.7%"
2013,historical,GPZii,-11.44,-0.74,-0.37,9.12,5.18,"Year: 2013
Mean change: -0.7%
SD: ±5.2%"
2013,historical,GPZiii,-16.44,-4.78,-4.74,3.67,6.42,"Year: 2013
Mean change: -4.8%
SD: ±6.4%"
2013,historical,KRZ,-7.64,1.84,0.95,13.14,6.47,"Year: 2013
Mean change: 1.8%
SD: ±6.5%"
2013,historical,SOSS,-17.12,-1.6,-0.41,11.29,9.75,"Year: 2013
Mean change: -1.6%
SD: ±9.8%"
2013,historical,SRZ,-21.57,0.36,0.09,36.66,16.49,"Year: 2013
Mean change: 0.4%
SD: ±16.5%"
2014,historical,GPZi,-12.39,-1.74,-1.78,7.43,6.29,"Year: 2014
Mean change: -1.7%
SD: ±6.3%"
2014,historical,GPZii,-9.09,-0.89,-0.62,3.23,3.93,"Year: 2014
Mean change: -0.9%
SD: ±3.9%"
2014,historical,GPZiii,-12.72,-1.9,-0.38,3.5,5.13,"Year: 2014
Mean change: -1.9%
SD: ±5.1%"
2014,historical,KRZ,-5.74,2.71,1.42,19.78,7.13,"Year: 2014
Mean change: 2.7%
SD: ±7.1%"
2014,historical,SOSS,-25.24,-5.3,-3.41,6.35,8.44,"Year: 2014
Mean change: -5.3%
SD: ±8.4%"
2014,historical,SRZ,-41.73,-7.13,-3.15,25.96,21.34,"Year: 2014
Mean change: -7.1%
SD: ±21.3%"
2015,ssp126,GPZi,-13.77,-4.28,-2.99,2.82,6.3,"Year: 2015
Mean change: -4.3%
SD: ±6.3%"
2015,ssp126,GPZii,-8.01,-0.21,-1.07,5.06,4.26,"Year: 2015
Mean change: -0.2%
SD: ±4.3%"
2015,ssp126,GPZiii,-18.91,-5.36,-5.07,2.96,6.56,"Year: 2015
Mean change: -5.4%
SD: ±6.6%"
2015,ssp126,KRZ,-3.66,5.24,0.68,24.37,10,"Year: 2015
Mean change: 5.2%
SD: ±10%"
2015,ssp126,SOSS,-17.07,0.3,-0.3,16.56,10.05,"Year: 2015
Mean change: 0.3%
SD: ±10.1%"
2015,ssp126,SRZ,-34.76,-10.01,-4.72,6.86,15.23,"Year: 2015
Mean change: -10%
SD: ±15.2%"
2015,ssp585,GPZi,-13.8,-3.94,-2.33,2.82,6.49,"Year: 2015
Mean change: -3.9%
SD: ±6.5%"
2015,ssp585,GPZii,-7,-0.73,-0.61,4.59,3.7,"Year: 2015
Mean change: -0.7%
SD: ±3.7%"
2015,ssp585,GPZiii,-23.12,-6.97,-6.44,2.97,8.34,"Year: 2015
Mean change: -7%
SD: ±8.3%"
2015,ssp585,KRZ,-6.15,0.19,0.55,4.81,3.16,"Year: 2015
Mean change: 0.2%
SD: ±3.2%"
2015,ssp585,SOSS,-5.11,6.9,3.13,31.27,13.1,"Year: 2015
Mean change: 6.9%
SD: ±13.1%"
2015,ssp585,SRZ,-21.26,-6.36,-3.95,6.66,10.07,"Year: 2015
Mean change: -6.4%
SD: ±10.1%"
2016,ssp126,GPZi,-4.38,3.63,0.75,27.19,9.11,"Year: 2016
Mean change: 3.6%
SD: ±9.1%"
2016,ssp126,GPZii,-13.28,-2.64,-2,6.15,5.21,"Year: 2016
Mean change: -2.6%
SD: ±5.2%"
2016,ssp126,GPZiii,-10.52,1.11,0.23,25.44,11.32,"Year: 2016
Mean change: 1.1%
SD: ±11.3%"
2016,ssp126,KRZ,-9.7,1.14,0.72,15.17,6.09,"Year: 2016
Mean change: 1.1%
SD: ±6.1%"
2016,ssp126,SOSS,-19.55,1.85,0.19,23.58,12.49,"Year: 2016
Mean change: 1.9%
SD: ±12.5%"
2016,ssp126,SRZ,-17.6,4.64,0.37,41.78,17.34,"Year: 2016
Mean change: 4.6%
SD: ±17.3%"
2016,ssp585,GPZi,-5.52,2.28,0.71,18.45,6.85,"Year: 2016
Mean change: 2.3%
SD: ±6.8%"
2016,ssp585,GPZii,-11.27,-4.08,-3.15,6.74,5.1,"Year: 2016
Mean change: -4.1%
SD: ±5.1%"
2016,ssp585,GPZiii,-6.34,1.72,-2.81,19.7,9.01,"Year: 2016
Mean change: 1.7%
SD: ±9%"
2016,ssp585,KRZ,-4.17,-0.68,-0.73,3.42,2.38,"Year: 2016
Mean change: -0.7%
SD: ±2.4%"
2016,ssp585,SOSS,-13.9,-3.41,-2.3,3.93,5.88,"Year: 2016
Mean change: -3.4%
SD: ±5.9%"
2016,ssp585,SRZ,-12.03,3.78,-1.5,35.03,14.04,"Year: 2016
Mean change: 3.8%
SD: ±14%"
2017,ssp126,GPZi,-7.04,5.04,4,31.86,10.62,"Year: 2017
Mean change: 5%
SD: ±10.6%"
2017,ssp126,GPZii,-26.29,-4.64,-3.23,9.46,10.68,"Year: 2017
Mean change: -4.6%
SD: ±10.7%"
2017,ssp126,GPZiii,-10.24,-3.78,-2.69,1.43,4.22,"Year: 2017
Mean change: -3.8%
SD: ±4.2%"
2017,ssp126,KRZ,-4.66,3.46,2.22,24.61,8.22,"Year: 2017
Mean change: 3.5%
SD: ±8.2%"
2017,ssp126,SOSS,-7.87,1.97,1.88,12.92,6.91,"Year: 2017
Mean change: 2%
SD: ±6.9%"
2017,ssp126,SRZ,-4.95,9.67,10.62,22.47,10.24,"Year: 2017
Mean change: 9.7%
SD: ±10.2%"
2017,ssp585,GPZi,-4.71,1.17,1.31,7.29,4.42,"Year: 2017
Mean change: 1.2%
SD: ±4.4%"
2017,ssp585,GPZii,-12.16,-2.02,-1.78,8.61,6.41,"Year: 2017
Mean change: -2%
SD: ±6.4%"
2017,ssp585,GPZiii,-32.28,-8.17,-4.19,1.45,11.86,"Year: 2017
Mean change: -8.2%
SD: ±11.9%"
2017,ssp585,KRZ,-32.38,-6.62,-1.58,5.31,13.7,"Year: 2017
Mean change: -6.6%
SD: ±13.7%"
2017,ssp585,SOSS,-10.14,4.37,3.06,29.37,11.89,"Year: 2017
Mean change: 4.4%
SD: ±11.9%"
2017,ssp585,SRZ,-12.41,8.11,-1.74,51.91,21.2,"Year: 2017
Mean change: 8.1%
SD: ±21.2%"
2018,ssp126,GPZi,-5.91,3.24,2.32,19.34,7.07,"Year: 2018
Mean change: 3.2%
SD: ±7.1%"
2018,ssp126,GPZii,-10.63,-2.91,-3.11,5.48,4.75,"Year: 2018
Mean change: -2.9%
SD: ±4.8%"
2018,ssp126,GPZiii,-16.64,-2.97,-3.39,16.46,8.99,"Year: 2018
Mean change: -3%
SD: ±9%"
2018,ssp126,KRZ,-18.42,0.74,0.76,21.8,10.18,"Year: 2018
Mean change: 0.7%
SD: ±10.2%"
2018,ssp126,SOSS,-17.49,-4.03,-4.54,11.92,8.89,"Year: 2018
Mean change: -4%
SD: ±8.9%"
2018,ssp126,SRZ,-5.46,7,5.76,20.96,9.18,"Year: 2018
Mean change: 7%
SD: ±9.2%"
2018,ssp585,GPZi,-6.35,2.62,1.77,12.56,6.68,"Year: 2018
Mean change: 2.6%
SD: ±6.7%"
2018,ssp585,GPZii,-5.99,-1.05,-2.66,10.05,4.85,"Year: 2018
Mean change: -1%
SD: ±4.8%"
2018,ssp585,GPZiii,-7.07,0.55,-0.95,14.88,7.49,"Year: 2018
Mean change: 0.6%
SD: ±7.5%"
2018,ssp585,KRZ,-6.89,0.01,-1,7.78,4.53,"Year: 2018
Mean change: 0%
SD: ±4.5%"
2018,ssp585,SOSS,-14.03,0.37,0.24,13.87,7.29,"Year: 2018
Mean change: 0.4%
SD: ±7.3%"
2018,ssp585,SRZ,-5.53,9.41,9.71,27.43,11.59,"Year: 2018
Mean change: 9.4%
SD: ±11.6%"
