year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1957,historical,GPZii,-11.62,-1.39,-0.74,10.05,5.42,"Year: 1957
Mean change: -1.4%
SD: ±5.4%"
1957,historical,GPZiii,-31.98,-2.24,-7.6,43.3,21.56,"Year: 1957
Mean change: -2.2%
SD: ±21.6%"
1957,historical,KRZ,-28.27,-3.57,-0.77,8.63,10.97,"Year: 1957
Mean change: -3.6%
SD: ±11%"
1957,historical,SOSS,-33.47,-9.68,-11.93,12.67,14.92,"Year: 1957
Mean change: -9.7%
SD: ±14.9%"
1957,historical,SRZ,-48.78,-17.45,-13.27,15.18,21.96,"Year: 1957
Mean change: -17.4%
SD: ±22%"
1958,historical,GPZi,-21.23,-6.44,-5.96,4.51,9.21,"Year: 1958
Mean change: -6.4%
SD: ±9.2%"
1958,historical,GPZii,-9.35,1.54,1.73,11.34,7.13,"Year: 1958
Mean change: 1.5%
SD: ±7.1%"
1958,historical,GPZiii,-33.24,-6.68,-7.69,20.6,15.42,"Year: 1958
Mean change: -6.7%
SD: ±15.4%"
1958,historical,KRZ,-28.99,-4.16,-0.62,9.27,10.58,"Year: 1958
Mean change: -4.2%
SD: ±10.6%"
1958,historical,SOSS,-19.35,-2.42,-2.82,29.74,14.46,"Year: 1958
Mean change: -2.4%
SD: ±14.5%"
1958,historical,SRZ,-60.59,-20.43,-13.75,10.46,24.78,"Year: 1958
Mean change: -20.4%
SD: ±24.8%"
1959,historical,GPZi,-21.33,-2.23,-1.08,10.29,9.84,"Year: 1959
Mean change: -2.2%
SD: ±9.8%"
1959,historical,GPZii,-18.01,-0.99,-0,8.8,8.24,"Year: 1959
Mean change: -1%
SD: ±8.2%"
1959,historical,GPZiii,-34.43,-6.59,-6.4,11.31,12.99,"Year: 1959
Mean change: -6.6%
SD: ±13%"
1959,historical,KRZ,-29.44,-6.86,-6.87,4.46,9.83,"Year: 1959
Mean change: -6.9%
SD: ±9.8%"
1959,historical,SOSS,-16.41,-0.02,0.74,28.51,14.03,"Year: 1959
Mean change: 0%
SD: ±14%"
1959,historical,SRZ,-32.11,-2.55,-1.86,19.86,15.59,"Year: 1959
Mean change: -2.5%
SD: ±15.6%"
1960,historical,GPZi,-21,-2.53,-0.93,13.76,10.81,"Year: 1960
Mean change: -2.5%
SD: ±10.8%"
1960,historical,GPZii,-19.41,-1.25,-0.06,9.75,8.35,"Year: 1960
Mean change: -1.2%
SD: ±8.3%"
1960,historical,GPZiii,-35.5,-3.95,-4.44,25.69,17.76,"Year: 1960
Mean change: -4%
SD: ±17.8%"
1960,historical,KRZ,-29.53,-3.4,0.86,7.53,11.68,"Year: 1960
Mean change: -3.4%
SD: ±11.7%"
1960,historical,SOSS,-13.6,5.93,4.16,27.91,14.19,"Year: 1960
Mean change: 5.9%
SD: ±14.2%"
1960,historical,SRZ,-32.05,2.44,4.1,22.98,15.13,"Year: 1960
Mean change: 2.4%
SD: ±15.1%"
