rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
151282,30.5,-69.5,2091-2100,ssp585,-6.39,28.8,26.16,66.62,36.57,"Indian Ocean, Antarctic"
151286,30.5,-68.5,2091-2100,ssp585,-3.75,30.57,34.95,87.76,27.44,"Indian Ocean, Antarctic"
151290,30.5,-67.5,2091-2100,ssp585,5.18,29.3,27.31,77.81,20.8,"Indian Ocean, Antarctic"
151294,30.5,-66.5,2091-2100,ssp585,0.32,35.28,29.54,108.19,31.07,"Indian Ocean, Antarctic"
151298,30.5,-65.5,2091-2100,ssp585,-2.45,30.58,22.27,90.63,30.07,"Indian Ocean, Antarctic"
151302,30.5,-64.5,2091-2100,ssp585,-4.76,21.99,19.53,58.76,21.34,"Indian Ocean, Antarctic"
151306,30.5,-63.5,2091-2100,ssp585,-7.75,19.53,15.58,62.94,20.74,"Indian Ocean, Antarctic"
151310,30.5,-62.5,2091-2100,ssp585,-8.05,18.78,9.04,92.02,29.29,"Indian Ocean, Antarctic"
151314,30.5,-61.5,2091-2100,ssp585,-15.45,11.63,4.47,106.01,34.51,"Indian Ocean, Antarctic"
151318,30.5,-60.5,2091-2100,ssp585,-25.7,2.83,-4.58,95.29,34.21,"Indian Ocean, Antarctic"
151322,30.5,-59.5,2091-2100,ssp585,-46.03,-4.46,-5.85,63.9,28.01,"Indian Ocean, Antarctic"
151326,30.5,-58.5,2091-2100,ssp585,-55.7,-11.86,-9.63,14.51,19.57,"Indian Ocean, Antarctic"
151330,30.5,-57.5,2091-2100,ssp585,-54.35,-15.17,-13.86,19.14,19.27,"Indian Ocean, Antarctic"
151334,30.5,-56.5,2091-2100,ssp585,-50.41,-16.87,-15.75,9.73,16.86,"Indian Ocean, Antarctic"
151338,30.5,-55.5,2091-2100,ssp585,-47.41,-17.2,-16.52,3.84,15.01,"Indian Ocean, Antarctic"
151342,30.5,-54.5,2091-2100,ssp585,-42.79,-16.19,-17.21,4.38,13.56,"Indian Ocean, Antarctic"
151346,30.5,-53.5,2091-2100,ssp585,-37.03,-14.66,-16.18,4.23,12.82,"Indian Ocean, Antarctic"
151350,30.5,-52.5,2091-2100,ssp585,-30.47,-13.68,-16.36,3.42,11.82,"Indian Ocean, Antarctic"
151354,30.5,-51.5,2091-2100,ssp585,-28.13,-11.65,-15.06,10.88,12.93,"Indian Ocean, Antarctic"
151358,30.5,-50.5,2091-2100,ssp585,-30.29,-12.58,-13.75,3.37,12.21,"Indian Ocean, Antarctic"
151362,30.5,-49.5,2091-2100,ssp585,-39.12,-14.65,-13.74,8.84,14.62,"Indian Ocean, Antarctic"
151366,30.5,-48.5,2091-2100,ssp585,-42.82,-15.35,-13.15,5.48,15.64,"Indian Ocean, Antarctic"
151370,30.5,-47.5,2091-2100,ssp585,-44.83,-15.22,-12.61,7.83,16.97,"Indian Ocean, Antarctic"
151374,30.5,-46.5,2091-2100,ssp585,-43.12,-15.16,-12.52,0.61,15.38,"Indian Ocean, Antarctic"
151378,30.5,-45.5,2091-2100,ssp585,-38.48,-13.96,-12.68,0.01,13.58,"Indian Ocean, Antarctic"
152002,31.5,-69.5,2091-2100,ssp585,-9.96,22.37,14.68,62.39,36.78,"Indian Ocean, Antarctic"
152006,31.5,-68.5,2091-2100,ssp585,-9.08,33.93,36.81,94.51,29.52,"Indian Ocean, Antarctic"
152010,31.5,-67.5,2091-2100,ssp585,3.36,32.07,28.16,92.23,25.12,"Indian Ocean, Antarctic"
152014,31.5,-66.5,2091-2100,ssp585,5.15,38.96,29.29,120.38,34.17,"Indian Ocean, Antarctic"
152018,31.5,-65.5,2091-2100,ssp585,3.38,36.01,25.35,104.55,32.33,"Indian Ocean, Antarctic"
152022,31.5,-64.5,2091-2100,ssp585,-3.18,26,21.39,70.35,23.04,"Indian Ocean, Antarctic"
152026,31.5,-63.5,2091-2100,ssp585,-7.31,20.39,16.99,63.79,21.25,"Indian Ocean, Antarctic"
152030,31.5,-62.5,2091-2100,ssp585,-8.16,18.8,8.64,93.81,30.07,"Indian Ocean, Antarctic"
152034,31.5,-61.5,2091-2100,ssp585,-11.68,12.43,5.22,106.72,34.42,"Indian Ocean, Antarctic"
152038,31.5,-60.5,2091-2100,ssp585,-25.63,3.17,-3.66,95.57,33.97,"Indian Ocean, Antarctic"
152042,31.5,-59.5,2091-2100,ssp585,-46.36,-5.3,-7.44,61.1,27.48,"Indian Ocean, Antarctic"
152046,31.5,-58.5,2091-2100,ssp585,-55.79,-12.8,-10.87,11.85,19.3,"Indian Ocean, Antarctic"
152050,31.5,-57.5,2091-2100,ssp585,-54.04,-14.97,-13.98,21.24,19.66,"Indian Ocean, Antarctic"
152054,31.5,-56.5,2091-2100,ssp585,-49.84,-15.69,-15.35,14.78,17.79,"Indian Ocean, Antarctic"
152058,31.5,-55.5,2091-2100,ssp585,-46.67,-16.89,-16.67,4.22,14.75,"Indian Ocean, Antarctic"
152062,31.5,-54.5,2091-2100,ssp585,-42,-16.87,-17.35,3.92,12.22,"Indian Ocean, Antarctic"
152066,31.5,-53.5,2091-2100,ssp585,-36.3,-15.19,-15.8,3.83,11.47,"Indian Ocean, Antarctic"
152070,31.5,-52.5,2091-2100,ssp585,-30.19,-14.19,-16.76,3.09,11.37,"Indian Ocean, Antarctic"
