rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
153526,33.5,-48.5,2091-2100,ssp585,-42.75,-16.15,-13.36,0.11,14.13,Prince Edward Island,NA
153530,33.5,-47.5,2091-2100,ssp585,-45.36,-14.7,-12.91,6.33,16.66,Prince Edward Island,NA
153534,33.5,-46.5,2091-2100,ssp585,-46.14,-14.4,-12.42,6.3,17.52,Prince Edward Island,NA
153538,33.5,-45.5,2091-2100,ssp585,-43.84,-14.7,-12.66,3.27,16.18,Prince Edward Island,NA
154242,34.5,-49.5,2091-2100,ssp585,-40.55,-14.87,-16.02,8.43,15.8,Prince Edward Island,NA
154246,34.5,-48.5,2091-2100,ssp585,-41.27,-15.56,-13.85,2.2,14.49,Prince Edward Island,NA
154250,34.5,-47.5,2091-2100,ssp585,-42.29,-14.32,-13.32,9.71,16.04,Prince Edward Island,NA
154254,34.5,-46.5,2091-2100,ssp585,-44.94,-14.24,-12.8,6.39,17.11,Prince Edward Island,NA
154258,34.5,-45.5,2091-2100,ssp585,-45.04,-14.7,-12.82,5.78,16.82,Prince Edward Island,NA
154262,34.5,-44.5,2091-2100,ssp585,-40.86,-13.92,-13.21,4.13,15.79,Prince Edward Island,NA
154962,35.5,-49.5,2091-2100,ssp585,-40.73,-15.47,-16.48,4.74,15.36,Prince Edward Island,NA
154966,35.5,-48.5,2091-2100,ssp585,-41.74,-16.47,-14.01,0.34,14.06,Prince Edward Island,NA
154970,35.5,-47.5,2091-2100,ssp585,-42.4,-14.12,-13.7,11.19,16.82,Prince Edward Island,NA
154974,35.5,-46.5,2091-2100,ssp585,-44.78,-13.73,-13.14,9.49,17.51,Prince Edward Island,NA
154978,35.5,-45.5,2091-2100,ssp585,-44.81,-14.39,-13.06,5.14,16.68,Prince Edward Island,NA
154982,35.5,-44.5,2091-2100,ssp585,-42.71,-14.29,-13.89,4.53,15.8,Prince Edward Island,NA
155682,36.5,-49.5,2091-2100,ssp585,-40.44,-15.06,-16.92,8.64,16.32,Prince Edward Island,NA
155686,36.5,-48.5,2091-2100,ssp585,-43.02,-16.52,-14.33,3.03,15.12,Prince Edward Island,NA
155690,36.5,-47.5,2091-2100,ssp585,-43.94,-15.53,-14.14,7.16,16.06,Prince Edward Island,NA
155694,36.5,-46.5,2091-2100,ssp585,-44.08,-13.77,-14.37,13.12,18.04,Prince Edward Island,NA
155698,36.5,-45.5,2091-2100,ssp585,-43.57,-13.81,-13.51,3.95,16.82,Prince Edward Island,NA
155702,36.5,-44.5,2091-2100,ssp585,-41.87,-13.96,-13.4,1.86,15.66,Prince Edward Island,NA
