rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
151284,30.5,-69.5,2041-2050,ssp585,-4.01,6.52,6.09,17.48,10.75,"Indian Ocean, Antarctic"
151288,30.5,-68.5,2041-2050,ssp585,-20.4,3.48,1.79,38.5,16.18,"Indian Ocean, Antarctic"
151292,30.5,-67.5,2041-2050,ssp585,-9.22,4.87,5.28,29.23,10.99,"Indian Ocean, Antarctic"
151296,30.5,-66.5,2041-2050,ssp585,-15.54,6,3.7,25.39,13.59,"Indian Ocean, Antarctic"
151300,30.5,-65.5,2041-2050,ssp585,-16.75,5.76,2.41,29.62,15.05,"Indian Ocean, Antarctic"
151304,30.5,-64.5,2041-2050,ssp585,-13.91,4.69,5.22,28.04,13.18,"Indian Ocean, Antarctic"
151308,30.5,-63.5,2041-2050,ssp585,-18.48,4.75,10.01,18.92,13.1,"Indian Ocean, Antarctic"
151312,30.5,-62.5,2041-2050,ssp585,-13.31,8.23,10.27,32.85,13.8,"Indian Ocean, Antarctic"
151316,30.5,-61.5,2041-2050,ssp585,-18.09,7.54,9.98,32.73,13.68,"Indian Ocean, Antarctic"
151320,30.5,-60.5,2041-2050,ssp585,-16.27,5.74,4.07,29.01,12.09,"Indian Ocean, Antarctic"
151324,30.5,-59.5,2041-2050,ssp585,-11.65,4.2,1.12,38.92,13.88,"Indian Ocean, Antarctic"
151328,30.5,-58.5,2041-2050,ssp585,-21.27,-1.66,-2.01,21.48,11.48,"Indian Ocean, Antarctic"
151332,30.5,-57.5,2041-2050,ssp585,-23.25,-4.96,-4.59,10.91,10.01,"Indian Ocean, Antarctic"
151336,30.5,-56.5,2041-2050,ssp585,-19.93,-6.33,-6.39,9.11,8.07,"Indian Ocean, Antarctic"
151340,30.5,-55.5,2041-2050,ssp585,-18.61,-4.81,-5.28,9.14,8.15,"Indian Ocean, Antarctic"
151344,30.5,-54.5,2041-2050,ssp585,-17.76,-4.48,-4.64,8.58,6.78,"Indian Ocean, Antarctic"
151348,30.5,-53.5,2041-2050,ssp585,-17.39,-4.27,-4.43,7.68,6.21,"Indian Ocean, Antarctic"
151352,30.5,-52.5,2041-2050,ssp585,-17.54,-3.93,-3.1,6.73,6.01,"Indian Ocean, Antarctic"
151356,30.5,-51.5,2041-2050,ssp585,-17.52,-4.07,-3.2,5.91,5.82,"Indian Ocean, Antarctic"
151360,30.5,-50.5,2041-2050,ssp585,-17.74,-5.37,-4.52,5.22,6.71,"Indian Ocean, Antarctic"
151364,30.5,-49.5,2041-2050,ssp585,-17.55,-6.42,-5.18,4.65,8.04,"Indian Ocean, Antarctic"
151368,30.5,-48.5,2041-2050,ssp585,-16.02,-6.91,-5.32,4.24,6.59,"Indian Ocean, Antarctic"
151372,30.5,-47.5,2041-2050,ssp585,-15.89,-5.48,-5.42,7.83,7.54,"Indian Ocean, Antarctic"
151376,30.5,-46.5,2041-2050,ssp585,-13.36,-6.05,-6.37,3.72,5.25,"Indian Ocean, Antarctic"
151380,30.5,-45.5,2041-2050,ssp585,-13.02,-4.94,-4.76,3.48,4.6,"Indian Ocean, Antarctic"
