rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
153525,33.5,-48.5,2091-2100,ssp126,-17.93,-6.62,-6.45,2.69,5.77,Prince Edward Island,NA
153529,33.5,-47.5,2091-2100,ssp126,-20.05,-7.23,-6.14,3.09,6.29,Prince Edward Island,NA
153533,33.5,-46.5,2091-2100,ssp126,-22.65,-7.46,-5.37,3.79,7.67,Prince Edward Island,NA
153537,33.5,-45.5,2091-2100,ssp126,-23.89,-8.19,-6.75,2.53,7.94,Prince Edward Island,NA
154241,34.5,-49.5,2091-2100,ssp126,-16.32,-5.86,-4.96,2.97,5.23,Prince Edward Island,NA
154245,34.5,-48.5,2091-2100,ssp126,-17.59,-6.8,-5.19,-0.33,4.99,Prince Edward Island,NA
154249,34.5,-47.5,2091-2100,ssp126,-17.87,-6.4,-5.66,2.01,5.83,Prince Edward Island,NA
154253,34.5,-46.5,2091-2100,ssp126,-21.45,-7.7,-7.88,2.98,7,Prince Edward Island,NA
154257,34.5,-45.5,2091-2100,ssp126,-24.34,-8.39,-7.03,2.63,7.88,Prince Edward Island,NA
154261,34.5,-44.5,2091-2100,ssp126,-22.57,-7.92,-5.78,1.34,7.64,Prince Edward Island,NA
154961,35.5,-49.5,2091-2100,ssp126,-15.44,-5.88,-4.99,2.25,4.8,Prince Edward Island,NA
154965,35.5,-48.5,2091-2100,ssp126,-18.08,-7.19,-5.82,-1.19,4.97,Prince Edward Island,NA
154969,35.5,-47.5,2091-2100,ssp126,-19.97,-6.76,-5.9,1.45,6.41,Prince Edward Island,NA
154973,35.5,-46.5,2091-2100,ssp126,-21.72,-7.84,-8.77,2.15,7.09,Prince Edward Island,NA
154977,35.5,-45.5,2091-2100,ssp126,-24.27,-8.24,-6.68,1.92,7.56,Prince Edward Island,NA
154981,35.5,-44.5,2091-2100,ssp126,-24.78,-8.23,-6.16,1.26,7.54,Prince Edward Island,NA
155681,36.5,-49.5,2091-2100,ssp126,-14.72,-5.32,-5.25,5.34,5.57,Prince Edward Island,NA
