rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
49,-179.5,-77.5,2091-2100,ssp126,-31.09,-7.11,-8.1,27.17,15.96,"Pacific, Antarctic"
53,-179.5,-76.5,2091-2100,ssp126,-20.65,0.31,0.64,26.34,12,"Pacific, Antarctic"
57,-179.5,-75.5,2091-2100,ssp126,-14.23,0.66,1.12,19.04,10.85,"Pacific, Antarctic"
61,-179.5,-74.5,2091-2100,ssp126,-24.29,2.56,-1.53,26.65,16.75,"Pacific, Antarctic"
65,-179.5,-73.5,2091-2100,ssp126,-43.51,-3.86,-3.04,31.03,20.4,"Pacific, Antarctic"
69,-179.5,-72.5,2091-2100,ssp126,-31.11,1.4,2.38,24.1,14.33,"Pacific, Antarctic"
73,-179.5,-71.5,2091-2100,ssp126,-34,-2.45,1.48,34.9,20.1,"Pacific, Antarctic"
77,-179.5,-70.5,2091-2100,ssp126,-52.91,-10.78,-7.69,10.54,20.02,"Pacific, Antarctic"
81,-179.5,-69.5,2091-2100,ssp126,-57.93,-10.77,-9.62,14.58,21.74,"Pacific, Antarctic"
85,-179.5,-68.5,2091-2100,ssp126,-61.74,-12.35,-5.19,7.45,20.63,"Pacific, Antarctic"
89,-179.5,-67.5,2091-2100,ssp126,-58.76,-15.85,-14.44,12.79,20.55,"Pacific, Antarctic"
93,-179.5,-66.5,2091-2100,ssp126,-56.66,-16.09,-15.23,1.51,18.11,"Pacific, Antarctic"
97,-179.5,-65.5,2091-2100,ssp126,-34.75,-11.49,-8.38,2.24,12.17,"Pacific, Antarctic"
101,-179.5,-64.5,2091-2100,ssp126,-33.5,-8.39,-6.4,2.21,11.33,"Pacific, Antarctic"
105,-179.5,-63.5,2091-2100,ssp126,-34.04,-6.6,-3.35,6.81,12.43,"Pacific, Antarctic"
109,-179.5,-62.5,2091-2100,ssp126,-29.1,-0.62,0.52,17.32,15.71,"Pacific, Antarctic"
113,-179.5,-61.5,2091-2100,ssp126,-22.99,-0.58,1.69,18.5,14.1,"Pacific, Antarctic"
