year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2091,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-30.98,-15.13,-16.43,0.8,9.67
2092,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.56,-5.89,-6.54,3.35,4.5
2092,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-31.53,-15.17,-16.97,4.55,10.48
2093,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.35,-6.4,-6.86,-1.15,3.21
2093,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-26.26,-13.14,-12.27,6.91,9.98
2094,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.46,-7.83,-8.74,-1.61,4.29
2094,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-32.73,-13.72,-15.4,7.07,11.96
2095,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.37,-4.6,-5.45,3.28,5.4
2095,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-27.72,-13.89,-14.22,0.91,10
2096,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.08,-5.78,-5.94,2.95,6.02
2096,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-34.14,-14.93,-16.64,3.17,11.39
2097,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.99,-8.6,-8.52,-4.11,3.18
2097,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-32.02,-14.9,-16.83,6.1,11.02
2098,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-16.25,-9.12,-9.84,1.72,4.79
2098,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-39.78,-16.35,-18.01,8.67,13.39
2099,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.89,-7.4,-8.81,5.61,5.81
2099,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-34.17,-16.27,-17.73,5.1,11.76
2100,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.12,-6.79,-6.13,1.62,4.68
2100,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-32.09,-17.01,-19.41,2.43,10.97
