year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2001,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-3.51,1.99,1.71,8.02,3.2
2002,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-1.88,1.41,1.89,4.02,1.81
2003,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.06,-0.84,0.3,3.86,4.27
2004,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.98,-2.81,-2.93,3.39,4.37
2005,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.98,-1.61,-1.15,1.16,2.16
2006,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.59,-0.62,-0.58,4.37,2.9
2007,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-3.02,-0.83,-0.73,1.45,1.85
2008,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-2.99,-0.87,-0.51,0.66,1.34
2009,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.77,1.48,0.61,8.48,4.47
2010,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-6.2,0.22,0.81,4.26,3.64
2011,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-3.05,1.2,0.94,6.6,2.54
2012,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-4.52,0.53,0.27,5.58,2.55
2013,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.21,0.94,1.2,5.63,3.16
2014,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.17,-0.44,-0.17,2.14,2.37
2015,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-1.1,1.06,0.43,6.86,2.27
2015,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-4,-0.18,-0.28,2.5,2
2016,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.24,-1.6,-0.86,2.65,3.16
2016,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-6.02,-1.43,-1.1,3.92,3.01
2017,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.42,-4.03,-4.76,0.21,2.9
2017,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.23,-1.61,-1.35,6.24,4.19
2018,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.59,-5.47,-4.63,0.86,4.85
2018,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.96,0.3,0.75,10.28,6.57
2019,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-20.05,-5.16,-4.75,5.21,7.53
2019,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.54,-0.78,0.71,5.11,6.29
2020,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.57,-3.9,-2.7,0.99,4.65
2020,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.06,-2.12,-0.86,4.48,5.62
2021,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.34,-4.46,-3.32,4.1,6.09
2021,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.03,-2.14,-1.85,2.75,4.2
2022,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.55,-4.73,-5,1.13,3.84
2022,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.32,-2.14,-0.69,5.83,6.13
