year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2013,historical,Africa,Prince Edward Island,Prince Edward Island,-4.78,-0.79,-0.53,2.38,2.14
2014,historical,Africa,Prince Edward Island,Prince Edward Island,-2.8,-0.09,-0.18,2.33,1.71
2015,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.46,-1.46,-0.91,1.89,3.06
2015,ssp585,Africa,Prince Edward Island,Prince Edward Island,-3.4,-1.08,-0.85,0.34,1.11
2016,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.81,-1.11,-1.44,5.35,4.49
2016,ssp585,Africa,Prince Edward Island,Prince Edward Island,-10.61,-3.36,-2.1,2.97,3.99
2017,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.98,-4.44,-3.73,-0.76,3.33
2017,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.62,-1.36,-1.7,8.73,4.06
2018,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.72,-5.55,-5.7,-1.55,3.29
2018,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.11,-1.51,-1.27,3.22,2.94
2019,ssp126,Africa,Prince Edward Island,Prince Edward Island,-5.76,-3.93,-4.26,-1.94,1.4
2019,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.72,-0.85,-1.08,6.15,3.36
2020,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.26,-4.59,-3.81,-2.12,2.87
2020,ssp585,Africa,Prince Edward Island,Prince Edward Island,-15.67,-4.45,-3.91,2.88,5.05
2021,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.8,-3.66,-2.61,-0.25,2.83
2021,ssp585,Africa,Prince Edward Island,Prince Edward Island,-8.83,1.23,0.22,9.62,5.84
2022,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.99,-3.96,-4.16,8.89,5.84
2022,ssp585,Africa,Prince Edward Island,Prince Edward Island,-9.03,0.36,-1.01,10.03,6.52
2023,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.35,-3.53,-2.45,-0.51,3.3
2023,ssp585,Africa,Prince Edward Island,Prince Edward Island,-7.56,-1.97,-1.83,7.41,4.33
2024,ssp126,Africa,Prince Edward Island,Prince Edward Island,-16.36,-3.23,-1.59,5.53,6.79
2024,ssp585,Africa,Prince Edward Island,Prince Edward Island,-7.57,-2.53,-1.61,2.91,3.18
2025,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.69,-3.04,-2.62,1.98,3.5
2025,ssp585,Africa,Prince Edward Island,Prince Edward Island,-9,-3.18,-2.62,0.23,2.74
2026,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.46,-3.85,-3.27,2.11,3.85
2026,ssp585,Africa,Prince Edward Island,Prince Edward Island,-13.66,-4.81,-3.71,1.7,4.52
2027,ssp126,Africa,Prince Edward Island,Prince Edward Island,-13.53,-5.03,-3.86,1.37,4.18
2027,ssp585,Africa,Prince Edward Island,Prince Edward Island,-9.01,-3.78,-3.75,2.93,3.18
2028,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.18,-4.71,-5.14,2.04,3.23
2028,ssp585,Africa,Prince Edward Island,Prince Edward Island,-7.18,-2.39,-2.4,0.37,2.21
2029,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.75,-3.74,-3.09,0.96,3.64
2029,ssp585,Africa,Prince Edward Island,Prince Edward Island,-10.34,-3.57,-3.41,3.03,4.24
2030,ssp126,Africa,Prince Edward Island,Prince Edward Island,-13.15,-4.22,-3.3,1.01,3.73
2030,ssp585,Africa,Prince Edward Island,Prince Edward Island,-8.66,-2.69,-2.65,1.22,3.06
2031,ssp126,Africa,Prince Edward Island,Prince Edward Island,-15.09,-4.65,-4.83,8.75,6.12
2031,ssp585,Africa,Prince Edward Island,Prince Edward Island,-14.14,-4.38,-3.38,0.66,4.15
2032,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.87,-3.22,-2.86,-0.02,2.82
2032,ssp585,Africa,Prince Edward Island,Prince Edward Island,-10.36,-3.59,-4.08,2.78,3.97
2033,ssp126,Africa,Prince Edward Island,Prince Edward Island,-12.7,-3.76,-3.99,3.01,4.81
2033,ssp585,Africa,Prince Edward Island,Prince Edward Island,-6.7,-3.46,-3.62,-0.53,2.39
2034,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.4,-1.2,-1.28,6.22,5.95
2034,ssp585,Africa,Prince Edward Island,Prince Edward Island,-7.96,-2.86,-3.81,4.53,4.07
2035,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.52,-2.58,-2.91,7.22,4.35
2035,ssp585,Africa,Prince Edward Island,Prince Edward Island,-12.87,-3.14,-2.4,3.19,4.47
2036,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.79,-5.05,-5.03,2.17,4.38
2036,ssp585,Africa,Prince Edward Island,Prince Edward Island,-14.91,-4.85,-4.25,4.11,6.22
2037,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.35,-1.77,-1.29,3.23,3.45
2037,ssp585,Africa,Prince Edward Island,Prince Edward Island,-14.59,-5.05,-4.99,1.85,4.66
2038,ssp126,Africa,Prince Edward Island,Prince Edward Island,-13.46,-2.85,-2.24,3.04,4.84
2038,ssp585,Africa,Prince Edward Island,Prince Edward Island,-16.37,-4.54,-4.44,2.86,5.53
2039,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.81,-2.58,-3.63,6.45,4.66
2039,ssp585,Africa,Prince Edward Island,Prince Edward Island,-13.76,-5.2,-4.92,2.52,5.65
2040,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.83,-2.26,-3.25,7.23,5.03
2040,ssp585,Africa,Prince Edward Island,Prince Edward Island,-18.75,-6.54,-6.01,3.84,5.54
2041,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.24,-1.23,-1.66,11.36,5.78
2041,ssp585,Africa,Prince Edward Island,Prince Edward Island,-13.11,-4.66,-4.86,3.53,4.59
2042,ssp126,Africa,Prince Edward Island,Prince Edward Island,-14.01,-4.92,-4.45,3.13,5.47
2042,ssp585,Africa,Prince Edward Island,Prince Edward Island,-14.74,-2.6,-2.92,10.9,6.81
2043,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.32,-3.82,-3.61,2.26,3.03
2043,ssp585,Africa,Prince Edward Island,Prince Edward Island,-27.06,-5.87,-3.58,5.49,8.94
