year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
2018,ssp585,"Indian Ocean, Antarctic",-6.82,-0.98,-0.81,3.02,3.03
2019,ssp126,"Indian Ocean, Antarctic",-5.75,-3.73,-4.03,-0.9,1.64
2019,ssp585,"Indian Ocean, Antarctic",-6.16,-0.02,0.46,4.09,3.03
2020,ssp126,"Indian Ocean, Antarctic",-6.63,-2.72,-2.18,0.16,1.87
2020,ssp585,"Indian Ocean, Antarctic",-7.4,-3.22,-3.16,2.11,2.72
2021,ssp126,"Indian Ocean, Antarctic",-7.5,-2.52,-2.27,1.17,2.4
2021,ssp585,"Indian Ocean, Antarctic",-5.74,-1.19,-1.17,3.76,3.2
2022,ssp126,"Indian Ocean, Antarctic",-6.42,-3.49,-3.5,-1.05,1.83
2022,ssp585,"Indian Ocean, Antarctic",-2.17,-0.89,-1.33,1.42,1.24
2023,ssp126,"Indian Ocean, Antarctic",-10.13,-4.48,-3.88,-1.09,3.08
2023,ssp585,"Indian Ocean, Antarctic",-3.25,-0.19,-0.69,3.79,2.13
2024,ssp126,"Indian Ocean, Antarctic",-5.8,-2.79,-2.52,1.26,2.15
2024,ssp585,"Indian Ocean, Antarctic",-1.09,0.18,-0.37,2.99,1.34
2025,ssp126,"Indian Ocean, Antarctic",-5.4,-2.83,-2.65,1.16,2
2025,ssp585,"Indian Ocean, Antarctic",-1.58,0.37,0.33,2.1,1.37
2026,ssp126,"Indian Ocean, Antarctic",-5.74,-1.96,-2.13,2.84,2.54
2026,ssp585,"Indian Ocean, Antarctic",-6.67,-2.06,-1.52,2.11,2.61
2027,ssp126,"Indian Ocean, Antarctic",-6.08,-2.57,-2.31,1.29,2.54
2027,ssp585,"Indian Ocean, Antarctic",-4.72,-1.7,-1.98,1.58,1.9
2028,ssp126,"Indian Ocean, Antarctic",-6.02,-1.65,-2.03,2.43,2.77
2028,ssp585,"Indian Ocean, Antarctic",-1.37,0.4,0.07,3.37,1.5
2029,ssp126,"Indian Ocean, Antarctic",-5.23,-1.87,-2,0.6,2.21
2029,ssp585,"Indian Ocean, Antarctic",-3.83,-1.4,-1.78,3.12,2.04
2030,ssp126,"Indian Ocean, Antarctic",-8.38,-3.15,-3.56,3.94,3.02
2030,ssp585,"Indian Ocean, Antarctic",-6.72,-2.05,-1.4,2.35,2.49
2031,ssp126,"Indian Ocean, Antarctic",-7.85,-3.02,-3.1,5.51,3.52
2031,ssp585,"Indian Ocean, Antarctic",-7.1,-2.4,-1.85,0.58,2.61
2032,ssp126,"Indian Ocean, Antarctic",-5.75,-1.63,-2.59,3.06,2.89
2032,ssp585,"Indian Ocean, Antarctic",-6.42,-3.24,-2.64,-1.73,1.75
2033,ssp126,"Indian Ocean, Antarctic",-4.69,-2.5,-2.68,2.42,1.96
2033,ssp585,"Indian Ocean, Antarctic",-5.27,-2.67,-2.6,-0.04,1.48
2034,ssp126,"Indian Ocean, Antarctic",-3.17,-1.16,-1.59,5.81,2.6
2034,ssp585,"Indian Ocean, Antarctic",-5.66,-2.01,-2.19,1.52,2.02
2035,ssp126,"Indian Ocean, Antarctic",-5.44,-2.1,-2.85,6.73,3.39
2035,ssp585,"Indian Ocean, Antarctic",-3.82,-1.45,-1.68,1.36,1.57
2036,ssp126,"Indian Ocean, Antarctic",-4.56,-1.57,-2.7,3.05,2.37
2036,ssp585,"Indian Ocean, Antarctic",-4.2,-0.72,-1.14,2.53,2.12
2037,ssp126,"Indian Ocean, Antarctic",-3.47,-1.17,-1.84,2.57,2.05
2037,ssp585,"Indian Ocean, Antarctic",-4.5,-0.67,-1.62,3.19,2.39
2038,ssp126,"Indian Ocean, Antarctic",-6.03,-1.4,-1.12,3.71,2.64
2038,ssp585,"Indian Ocean, Antarctic",-5.22,-1.91,-2.17,2.7,2.71
2039,ssp126,"Indian Ocean, Antarctic",-7.33,-2.03,-2.16,4.63,3.32
2039,ssp585,"Indian Ocean, Antarctic",-10.29,-2.72,-2.22,2.29,3.92
2040,ssp126,"Indian Ocean, Antarctic",-6,-0.79,-1.08,4.37,3.7
2040,ssp585,"Indian Ocean, Antarctic",-8.98,-3.05,-2.51,1.99,3.63
2041,ssp126,"Indian Ocean, Antarctic",-5.15,-1.83,-2.81,4.34,2.85
2041,ssp585,"Indian Ocean, Antarctic",-7.91,-2.58,-2.49,1.12,3.08
2042,ssp126,"Indian Ocean, Antarctic",-5.26,-2.71,-3.63,4.95,3.09
2042,ssp585,"Indian Ocean, Antarctic",-8.06,-2.16,-2.56,3.45,3.29
2043,ssp126,"Indian Ocean, Antarctic",-5.34,-1.74,-2.83,5.62,3.21
2043,ssp585,"Indian Ocean, Antarctic",-7.9,-3.56,-4.6,2.96,3.13
2044,ssp126,"Indian Ocean, Antarctic",-7.78,-1.94,-3.03,7.12,4.53
2044,ssp585,"Indian Ocean, Antarctic",-7.86,-2.76,-3.35,4.87,3.49
2045,ssp126,"Indian Ocean, Antarctic",-8.68,-3.46,-3.68,6.51,4.19
2045,ssp585,"Indian Ocean, Antarctic",-7.99,-3.69,-4.21,4.34,3.35
2046,ssp126,"Indian Ocean, Antarctic",-9.04,-3.06,-3.32,4.25,3.9
2046,ssp585,"Indian Ocean, Antarctic",-8.35,-2.43,-3.35,6.75,4.78
2047,ssp126,"Indian Ocean, Antarctic",-7.55,-2.35,-3.2,4.19,3.91
2047,ssp585,"Indian Ocean, Antarctic",-8.93,-1.11,-2.92,10.84,6.52
2048,ssp126,"Indian Ocean, Antarctic",-6.93,-1.35,-2.23,5.59,3.66
2048,ssp585,"Indian Ocean, Antarctic",-9.26,-2.48,-2.69,3.98,4.25
2049,ssp126,"Indian Ocean, Antarctic",-7.76,-2.87,-3.72,5.88,4.17
2049,ssp585,"Indian Ocean, Antarctic",-9.03,-3.17,-3.61,6.17,4.55
2050,ssp126,"Indian Ocean, Antarctic",-9.21,-2.55,-3.48,5.57,5.05
2050,ssp585,"Indian Ocean, Antarctic",-10.04,-3.5,-3.89,6.94,4.99
2051,ssp126,"Indian Ocean, Antarctic",-8.71,-3.81,-3.97,3.42,4.14
2051,ssp585,"Indian Ocean, Antarctic",-10.19,-2.73,-3.81,6.07,5.64
2052,ssp126,"Indian Ocean, Antarctic",-8.96,-1.73,-1.61,4.62,4.2
2052,ssp585,"Indian Ocean, Antarctic",-8.29,-3.9,-4.81,5.75,4.66
2053,ssp126,"Indian Ocean, Antarctic",-9,-1.16,-0.68,3.32,3.47
2053,ssp585,"Indian Ocean, Antarctic",-8.59,-3.25,-4.45,5.56,4.41
2054,ssp126,"Indian Ocean, Antarctic",-8.76,-2.97,-3.95,7.29,4.84
2054,ssp585,"Indian Ocean, Antarctic",-8.6,-3.08,-4.58,5.13,4.13
2055,ssp126,"Indian Ocean, Antarctic",-8.07,-0.77,-1.35,7.44,4.77
2055,ssp585,"Indian Ocean, Antarctic",-8.57,-4.37,-5.14,4.92,4.07
2056,ssp126,"Indian Ocean, Antarctic",-7.93,-1.9,-3.36,4.49,4.33
2056,ssp585,"Indian Ocean, Antarctic",-8.53,-2.75,-4.18,7.56,5.4
2057,ssp126,"Indian Ocean, Antarctic",-9.59,-3.99,-3.84,3.07,3.85
2057,ssp585,"Indian Ocean, Antarctic",-8.36,-3.25,-4.62,3.97,3.92
2058,ssp126,"Indian Ocean, Antarctic",-9.35,-2.64,-3.38,3.53,3.98
2058,ssp585,"Indian Ocean, Antarctic",-8.06,-2.28,-3.68,6.23,5.02
2059,ssp126,"Indian Ocean, Antarctic",-9.98,-1.09,-1.64,6.55,4.81
2059,ssp585,"Indian Ocean, Antarctic",-7.89,-2.82,-3.78,6.79,4.71
2060,ssp126,"Indian Ocean, Antarctic",-10.08,-2.87,-2.49,4,4.47
2060,ssp585,"Indian Ocean, Antarctic",-8.05,-2.55,-3.66,6.85,5.22
2061,ssp126,"Indian Ocean, Antarctic",-9.81,-3.54,-2.9,2.54,4.11
2061,ssp585,"Indian Ocean, Antarctic",-7.41,-3.09,-4.46,6.98,4.44
2062,ssp126,"Indian Ocean, Antarctic",-9.36,-1.3,-2.69,9.83,5.86
2062,ssp585,"Indian Ocean, Antarctic",-7.72,-3.1,-4.96,6.47,4.99
2063,ssp126,"Indian Ocean, Antarctic",-9.25,-3.83,-3.71,2.28,3.81
2063,ssp585,"Indian Ocean, Antarctic",-7.87,-3.08,-5.03,6.84,4.7
2064,ssp126,"Indian Ocean, Antarctic",-9.54,-2.64,-2.24,4.72,4.52
2064,ssp585,"Indian Ocean, Antarctic",-9.15,-4.09,-5.09,5.8,4.33
2065,ssp126,"Indian Ocean, Antarctic",-9.8,-2.31,-2,5.39,3.92
2065,ssp585,"Indian Ocean, Antarctic",-13.39,-3.91,-4.91,7.08,6.28
2066,ssp126,"Indian Ocean, Antarctic",-9.69,-2.19,-3.47,6.09,4.79
2066,ssp585,"Indian Ocean, Antarctic",-12.58,-3.23,-4.05,8.51,6.95
2067,ssp126,"Indian Ocean, Antarctic",-10.22,-3.63,-3.67,5.83,5.34
2067,ssp585,"Indian Ocean, Antarctic",-11.88,-4.4,-5.05,5.79,5.72
2068,ssp126,"Indian Ocean, Antarctic",-9.83,-4.04,-3.46,3.01,3.61
2068,ssp585,"Indian Ocean, Antarctic",-11.22,-3.62,-4.25,6.68,5.85
2069,ssp126,"Indian Ocean, Antarctic",-9.21,-3.42,-3.71,1.72,3.37
2069,ssp585,"Indian Ocean, Antarctic",-10.47,-3.51,-5.11,5.22,5.58
2070,ssp126,"Indian Ocean, Antarctic",-7.85,-2.25,-3.34,3.08,3.42
2070,ssp585,"Indian Ocean, Antarctic",-10.61,-4.31,-5.92,5.22,5.15
2071,ssp126,"Indian Ocean, Antarctic",-6.52,-1.4,-2.88,6.95,4.55
2071,ssp585,"Indian Ocean, Antarctic",-10.45,-4.69,-6.57,5.96,5.05
2072,ssp126,"Indian Ocean, Antarctic",-7.12,-2.87,-4.15,6.66,4
2072,ssp585,"Indian Ocean, Antarctic",-10.1,-3.82,-6.33,9.22,5.97
2073,ssp126,"Indian Ocean, Antarctic",-7.95,-2.81,-4.33,7.19,4.44
2073,ssp585,"Indian Ocean, Antarctic",-9.72,-2.96,-5.42,8.7,6.48
2074,ssp126,"Indian Ocean, Antarctic",-7.69,-2.14,-3.82,7.2,4.47
2074,ssp585,"Indian Ocean, Antarctic",-9.44,-2.97,-4.93,7.9,6.08
2075,ssp126,"Indian Ocean, Antarctic",-5.3,-2.38,-3.94,7.7,3.95
2075,ssp585,"Indian Ocean, Antarctic",-11.05,-4.5,-6.44,7.25,6.24
2076,ssp126,"Indian Ocean, Antarctic",-5.4,-1.75,-3.58,7.93,3.97
2076,ssp585,"Indian Ocean, Antarctic",-13.49,-3.72,-4.84,10.16,7.2
2077,ssp126,"Indian Ocean, Antarctic",-8.24,-3.65,-4.6,8.18,4.48
