rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
79283,-69.5,-69.5,2041-2050,ssp126,1.07,2.29,2.29,3.51,1.73,"Atlantic, Antarctic"
79287,-69.5,-68.5,2041-2050,ssp126,-22.8,3.1,5.13,21.02,13.7,"Atlantic, Antarctic"
79291,-69.5,-67.5,2041-2050,ssp126,-14.38,3.91,4.33,25.05,11.81,"Atlantic, Antarctic"
79295,-69.5,-66.5,2041-2050,ssp126,-27.75,9.44,12.73,35.79,20.04,"Atlantic, Antarctic"
79299,-69.5,-65.5,2041-2050,ssp126,-24.35,6.94,11.84,33.71,18.7,"Atlantic, Antarctic"
79303,-69.5,-64.5,2041-2050,ssp126,-24.22,3.29,5.39,22.96,18.14,"Atlantic, Antarctic"
79307,-69.5,-63.5,2041-2050,ssp126,-19.79,1.49,4.77,20.18,12.94,"Atlantic, Antarctic"
79311,-69.5,-62.5,2041-2050,ssp126,-11.17,-1.72,-2.13,13.88,7.28,"Atlantic, Antarctic"
79315,-69.5,-61.5,2041-2050,ssp126,-12.74,-4.73,-5.23,0.38,4.05,"Atlantic, Antarctic"
79319,-69.5,-60.5,2041-2050,ssp126,-11.75,-4.5,-4.61,5.7,4.86,"Atlantic, Antarctic"
79999,-68.5,-70.5,2041-2050,ssp126,-1.82,11.47,15.14,21.09,11.89,"Atlantic, Antarctic"
80003,-68.5,-69.5,2041-2050,ssp126,-8.83,3.91,7.26,13.31,11.44,"Atlantic, Antarctic"
80007,-68.5,-68.5,2041-2050,ssp126,-14.18,0.67,2.26,20.51,10.02,"Atlantic, Antarctic"
80011,-68.5,-67.5,2041-2050,ssp126,5.76,8.45,7.45,12.13,3.3,"Atlantic, Antarctic"
80015,-68.5,-66.5,2041-2050,ssp126,-18.59,5.79,9.14,21.92,13.76,"Atlantic, Antarctic"
80019,-68.5,-65.5,2041-2050,ssp126,-28.65,6.62,15.11,26.37,18.7,"Atlantic, Antarctic"
80023,-68.5,-64.5,2041-2050,ssp126,-25.52,4.82,6.04,26.45,20.53,"Atlantic, Antarctic"
