rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
79284,-69.5,-69.5,2041-2050,ssp585,-12.01,-5.72,-5.72,0.58,8.91,"Atlantic, Antarctic"
79288,-69.5,-68.5,2041-2050,ssp585,-22.07,3.85,4.01,18.97,11.98,"Atlantic, Antarctic"
79292,-69.5,-67.5,2041-2050,ssp585,-11.28,5.27,4.15,18.33,8.72,"Atlantic, Antarctic"
79296,-69.5,-66.5,2041-2050,ssp585,-12.01,10.39,10.45,28.26,14.04,"Atlantic, Antarctic"
79300,-69.5,-65.5,2041-2050,ssp585,-13.85,6.34,5.41,25.46,13.94,"Atlantic, Antarctic"
79304,-69.5,-64.5,2041-2050,ssp585,-14.01,2.57,2.27,17.5,12.47,"Atlantic, Antarctic"
79308,-69.5,-63.5,2041-2050,ssp585,-12.65,1.8,3.69,19.29,11.47,"Atlantic, Antarctic"
79312,-69.5,-62.5,2041-2050,ssp585,-12.33,-2.16,-1.96,13.68,7.29,"Atlantic, Antarctic"
79316,-69.5,-61.5,2041-2050,ssp585,-11.48,-4.02,-5.73,6.46,4.89,"Atlantic, Antarctic"
79320,-69.5,-60.5,2041-2050,ssp585,-11.07,-3.34,-3.42,10.84,5.96,"Atlantic, Antarctic"
80000,-68.5,-70.5,2041-2050,ssp585,2.12,5.09,3.9,9.25,3.71,"Atlantic, Antarctic"
80004,-68.5,-69.5,2041-2050,ssp585,-2.39,0.1,-1.58,4.28,3.64,"Atlantic, Antarctic"
80008,-68.5,-68.5,2041-2050,ssp585,-10.15,0.66,-0.07,15.44,7.45,"Atlantic, Antarctic"
80012,-68.5,-67.5,2041-2050,ssp585,3,6.65,5.94,11.02,4.05,"Atlantic, Antarctic"
80016,-68.5,-66.5,2041-2050,ssp585,-14.48,6.9,8.9,19.54,10.49,"Atlantic, Antarctic"
80020,-68.5,-65.5,2041-2050,ssp585,-18.08,5.7,8.81,22.32,13.7,"Atlantic, Antarctic"
80024,-68.5,-64.5,2041-2050,ssp585,-17.59,3.72,2.74,25.57,15.01,"Atlantic, Antarctic"
80028,-68.5,-63.5,2041-2050,ssp585,-15.76,1.91,3.31,22.02,12.95,"Atlantic, Antarctic"
80032,-68.5,-62.5,2041-2050,ssp585,-13.41,-1.81,-1.56,11.53,7.25,"Atlantic, Antarctic"
80036,-68.5,-61.5,2041-2050,ssp585,-11.9,-2.22,-0.33,5.08,4.84,"Atlantic, Antarctic"
80040,-68.5,-60.5,2041-2050,ssp585,-12.69,-3.74,-4.4,8.2,5.75,"Atlantic, Antarctic"
80724,-67.5,-69.5,2041-2050,ssp585,-8.6,10.46,4.58,35.39,22.58,"Atlantic, Antarctic"
80728,-67.5,-68.5,2041-2050,ssp585,-3.8,1.1,2.46,4.64,4.38,"Atlantic, Antarctic"
80732,-67.5,-67.5,2041-2050,ssp585,0.98,4.56,1.41,11.28,5.83,"Atlantic, Antarctic"
80736,-67.5,-66.5,2041-2050,ssp585,-18.24,3.69,5.22,23.77,12.25,"Atlantic, Antarctic"
80740,-67.5,-65.5,2041-2050,ssp585,-10.29,5.7,6.18,34.61,12.52,"Atlantic, Antarctic"
