rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
177987,67.5,-53.5,2041-2050,ssp126,-20.81,-6.5,-5.62,-2.68,5.27,Heard Island and McDonald Islands,NA
178703,68.5,-54.5,2041-2050,ssp126,-18.94,-5.7,-4.31,0.79,5.26,Heard Island and McDonald Islands,NA
178707,68.5,-53.5,2041-2050,ssp126,-21.08,-5.93,-3.97,-2.13,5.49,Heard Island and McDonald Islands,NA
179419,69.5,-55.5,2041-2050,ssp126,-14.36,-4.86,-5.06,2.5,4.54,Heard Island and McDonald Islands,NA
179423,69.5,-54.5,2041-2050,ssp126,-19.11,-5.34,-4.97,7.45,6.61,Heard Island and McDonald Islands,NA
179427,69.5,-53.5,2041-2050,ssp126,-21.4,-4.37,-4.14,14.48,8.6,Heard Island and McDonald Islands,NA
179431,69.5,-52.5,2041-2050,ssp126,-21.3,-7.1,-6,-3.09,5.48,Heard Island and McDonald Islands,NA
180139,70.5,-55.5,2041-2050,ssp126,-13.33,-5.12,-4.72,-1.39,3.66,Heard Island and McDonald Islands,NA
180143,70.5,-54.5,2041-2050,ssp126,-19.25,-6.07,-5.41,2.43,5.58,Heard Island and McDonald Islands,NA
180147,70.5,-53.5,2041-2050,ssp126,-21.06,-6.52,-5.94,-0.18,5.6,Heard Island and McDonald Islands,NA
180151,70.5,-52.5,2041-2050,ssp126,-20.18,-7.42,-6.74,-1.51,5.34,Heard Island and McDonald Islands,NA
180859,71.5,-55.5,2041-2050,ssp126,-12.8,-4.72,-4.08,-0.78,3.73,Heard Island and McDonald Islands,NA
180863,71.5,-54.5,2041-2050,ssp126,-17.84,-4.81,-4.16,4.47,5.59,Heard Island and McDonald Islands,NA
180867,71.5,-53.5,2041-2050,ssp126,-17.72,-4.47,-4.76,5.9,6.15,Heard Island and McDonald Islands,NA
180871,71.5,-52.5,2041-2050,ssp126,-15.02,-6.53,-6.88,-0,4.01,Heard Island and McDonald Islands,NA
180875,71.5,-51.5,2041-2050,ssp126,-14.7,-4.57,-4.21,4.29,5.6,Heard Island and McDonald Islands,NA
181579,72.5,-55.5,2041-2050,ssp126,-12.08,-4.22,-4.37,3.97,4.35,Heard Island and McDonald Islands,NA
181583,72.5,-54.5,2041-2050,ssp126,-12.08,-3.55,-4.26,8.09,5.56,Heard Island and McDonald Islands,NA
181587,72.5,-53.5,2041-2050,ssp126,-10.55,-4.52,-6.4,6.46,5.56,Heard Island and McDonald Islands,NA
181591,72.5,-52.5,2041-2050,ssp126,-9.64,-1.94,-3.56,11.6,5.62,Heard Island and McDonald Islands,NA
181595,72.5,-51.5,2041-2050,ssp126,-11.87,-4.16,-3.72,2.82,4.29,Heard Island and McDonald Islands,NA
182295,73.5,-56.5,2041-2050,ssp126,-7.09,-2.05,-2.11,0.88,2.37,Heard Island and McDonald Islands,NA
182299,73.5,-55.5,2041-2050,ssp126,-9.88,-4.15,-4.68,3.23,3.97,Heard Island and McDonald Islands,NA
182303,73.5,-54.5,2041-2050,ssp126,-8.48,-2.18,-4.48,5.39,4.73,Heard Island and McDonald Islands,NA
182307,73.5,-53.5,2041-2050,ssp126,-6.92,-0.12,-2.29,11.54,6.06,Heard Island and McDonald Islands,NA
182311,73.5,-52.5,2041-2050,ssp126,-7.48,-0.89,-0.78,5.53,4.81,Heard Island and McDonald Islands,NA
182315,73.5,-51.5,2041-2050,ssp126,-9.59,-4.59,-5.1,1.45,3.57,Heard Island and McDonald Islands,NA
183019,74.5,-55.5,2041-2050,ssp126,-8.02,-2.85,-4.61,7.21,4.74,Heard Island and McDonald Islands,NA
183023,74.5,-54.5,2041-2050,ssp126,-7.24,-0.83,-2.25,10.15,5.67,Heard Island and McDonald Islands,NA
183027,74.5,-53.5,2041-2050,ssp126,-7.44,0.89,-0.4,13.79,6.72,Heard Island and McDonald Islands,NA
183031,74.5,-52.5,2041-2050,ssp126,-7.13,-0.98,-2.05,8.58,4.86,Heard Island and McDonald Islands,NA
183035,74.5,-51.5,2041-2050,ssp126,-10.69,-5.76,-5.38,-2.76,2.39,Heard Island and McDonald Islands,NA
