rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
175118,63.5,-50.5,2091-2100,ssp585,-38.69,-17.56,-16.19,0.5,13.11,Kerguelen Islands,NA
175122,63.5,-49.5,2091-2100,ssp585,-39.85,-16.3,-16.29,3.23,14.49,Kerguelen Islands,NA
175834,64.5,-51.5,2091-2100,ssp585,-36.24,-15.75,-14.24,3.36,12.84,Kerguelen Islands,NA
175838,64.5,-50.5,2091-2100,ssp585,-39.74,-16.34,-15.14,1.77,13.4,Kerguelen Islands,NA
175842,64.5,-49.5,2091-2100,ssp585,-41.01,-15.42,-16.07,11.68,15.89,Kerguelen Islands,NA
175846,64.5,-48.5,2091-2100,ssp585,-40.4,-17.48,-16.79,2.73,14.45,Kerguelen Islands,NA
175850,64.5,-47.5,2091-2100,ssp585,-43.57,-17.74,-15.92,-2.01,14.82,Kerguelen Islands,NA
176550,65.5,-52.5,2091-2100,ssp585,-32.91,-14.77,-14.29,4.06,12.02,Kerguelen Islands,NA
176554,65.5,-51.5,2091-2100,ssp585,-37.68,-14.78,-14.71,10.87,15.02,Kerguelen Islands,NA
176558,65.5,-50.5,2091-2100,ssp585,-41.81,-16.6,-16.52,6.1,15.06,Kerguelen Islands,NA
176562,65.5,-49.5,2091-2100,ssp585,-42.94,-17.91,-18.18,6.97,16.63,Kerguelen Islands,NA
176566,65.5,-48.5,2091-2100,ssp585,-42.84,-18.84,-20.3,3.22,15.91,Kerguelen Islands,NA
176570,65.5,-47.5,2091-2100,ssp585,-40.83,-17.33,-18.06,6.58,15.92,Kerguelen Islands,NA
176574,65.5,-46.5,2091-2100,ssp585,-43.74,-16.73,-15.13,4.13,15.51,Kerguelen Islands,NA
177270,66.5,-52.5,2091-2100,ssp585,-34.26,-14.3,-14.98,11.78,13.74,Kerguelen Islands,NA
177274,66.5,-51.5,2091-2100,ssp585,-39.83,-16.12,-15.62,8.44,14.53,Kerguelen Islands,NA
177278,66.5,-50.5,2091-2100,ssp585,-44.07,-17.6,-18.22,4.49,15.68,Kerguelen Islands,NA
177282,66.5,-49.5,2091-2100,ssp585,-46.36,-21.04,-19.89,-0.27,16.06,Kerguelen Islands,NA
177286,66.5,-48.5,2091-2100,ssp585,-45.13,-20.73,-21,-1.83,15.14,Kerguelen Islands,NA
177290,66.5,-47.5,2091-2100,ssp585,-44.08,-18.69,-19.82,7.83,15.91,Kerguelen Islands,NA
177294,66.5,-46.5,2091-2100,ssp585,-39.99,-16.89,-16.58,1.98,14.65,Kerguelen Islands,NA
177990,67.5,-52.5,2091-2100,ssp585,-35.76,-16.23,-15.97,2.19,11.63,Kerguelen Islands,NA
177994,67.5,-51.5,2091-2100,ssp585,-41.82,-15.93,-16.65,10.68,16,Kerguelen Islands,NA
177998,67.5,-50.5,2091-2100,ssp585,-45.09,-18.76,-18.75,2.14,15.12,Kerguelen Islands,NA
178002,67.5,-49.5,2091-2100,ssp585,-42.39,-17.1,-16.23,5.22,16.24,Kerguelen Islands,NA
178006,67.5,-48.5,2091-2100,ssp585,-42.01,-18.21,-16.95,4.51,15.22,Kerguelen Islands,NA
178010,67.5,-47.5,2091-2100,ssp585,-45.26,-20.06,-20.3,3.05,15.18,Kerguelen Islands,NA
178014,67.5,-46.5,2091-2100,ssp585,-40.01,-17.76,-19.29,6.48,14.77,Kerguelen Islands,NA
178018,67.5,-45.5,2091-2100,ssp585,-38.85,-15.24,-13.41,3.23,13.58,Kerguelen Islands,NA
178710,68.5,-52.5,2091-2100,ssp585,-37.15,-15.14,-16.06,7.51,13.76,Kerguelen Islands,NA
178714,68.5,-51.5,2091-2100,ssp585,-42.99,-15.69,-17.33,11.3,16.5,Kerguelen Islands,NA
178718,68.5,-50.5,2091-2100,ssp585,-44.15,-17.06,-18.37,4.84,15.64,Kerguelen Islands,NA
178722,68.5,-49.5,2091-2100,ssp585,-38.58,-13.58,-9.17,1.79,16.69,Kerguelen Islands,NA
178726,68.5,-48.5,2091-2100,ssp585,-39.05,-17.23,-16.07,2.05,13.63,Kerguelen Islands,NA
178730,68.5,-47.5,2091-2100,ssp585,-42.59,-18.51,-17.08,1.9,14.14,Kerguelen Islands,NA
178734,68.5,-46.5,2091-2100,ssp585,-40.42,-17.9,-19.42,3.81,14.53,Kerguelen Islands,NA
178738,68.5,-45.5,2091-2100,ssp585,-37.64,-14.07,-13.39,6.77,14.16,Kerguelen Islands,NA
179434,69.5,-51.5,2091-2100,ssp585,-43.39,-16.73,-18.4,7.11,15,Kerguelen Islands,NA
179438,69.5,-50.5,2091-2100,ssp585,-42.54,-14.7,-16.18,15.59,17.93,Kerguelen Islands,NA
179442,69.5,-49.5,2091-2100,ssp585,-37.93,-14.89,-9.23,2.48,20.79,Kerguelen Islands,NA
179446,69.5,-48.5,2091-2100,ssp585,-38.48,-16.49,-14.4,1.1,14.07,Kerguelen Islands,NA
179450,69.5,-47.5,2091-2100,ssp585,-39.88,-17.48,-16.95,0.91,13.95,Kerguelen Islands,NA
179454,69.5,-46.5,2091-2100,ssp585,-40.14,-17.58,-17.16,-0.9,13.82,Kerguelen Islands,NA
179458,69.5,-45.5,2091-2100,ssp585,-33.31,-13.95,-13.61,1.18,12.13,Kerguelen Islands,NA
180154,70.5,-51.5,2091-2100,ssp585,-43.23,-16.47,-18.36,5.97,14.64,Kerguelen Islands,NA
180158,70.5,-50.5,2091-2100,ssp585,-42.63,-15.23,-17.05,10.55,15.98,Kerguelen Islands,NA
180162,70.5,-49.5,2091-2100,ssp585,-35.33,-14.45,-12.85,4.84,20.13,Kerguelen Islands,NA
180166,70.5,-48.5,2091-2100,ssp585,-40.43,-17.68,-15.45,0.65,13.25,Kerguelen Islands,NA
180170,70.5,-47.5,2091-2100,ssp585,-40.37,-17.77,-17.91,-1.02,13.05,Kerguelen Islands,NA
180174,70.5,-46.5,2091-2100,ssp585,-40.05,-17.68,-17.23,1.44,13.58,Kerguelen Islands,NA
180178,70.5,-45.5,2091-2100,ssp585,-30.58,-13.57,-12.74,-0.16,11.26,Kerguelen Islands,NA
180878,71.5,-50.5,2091-2100,ssp585,-43.81,-13.7,-13.11,19.24,16.68,Kerguelen Islands,NA
180882,71.5,-49.5,2091-2100,ssp585,-42.25,-15.8,-17.17,7.71,14.05,Kerguelen Islands,NA
180886,71.5,-48.5,2091-2100,ssp585,-40.53,-14.51,-14.22,5.42,14.63,Kerguelen Islands,NA
180890,71.5,-47.5,2091-2100,ssp585,-42.11,-15.96,-16.35,5,14.43,Kerguelen Islands,NA
180894,71.5,-46.5,2091-2100,ssp585,-39.59,-18.22,-17.46,-0.01,12.72,Kerguelen Islands,NA
181598,72.5,-50.5,2091-2100,ssp585,-43.99,-16.03,-15.41,9.18,14.3,Kerguelen Islands,NA
181602,72.5,-49.5,2091-2100,ssp585,-40.09,-16.21,-15.52,5.89,13.04,Kerguelen Islands,NA
181606,72.5,-48.5,2091-2100,ssp585,-40.23,-15.48,-18.15,15.77,16.02,Kerguelen Islands,NA
