rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
153528,33.5,-48.5,2041-2050,ssp585,-17.45,-6.45,-4.64,4.22,6.85,Prince Edward Island,NA
153532,33.5,-47.5,2041-2050,ssp585,-14.86,-6.07,-4.19,4,6.09,Prince Edward Island,NA
153536,33.5,-46.5,2041-2050,ssp585,-14.38,-5.18,-4.35,3.75,5.85,Prince Edward Island,NA
153540,33.5,-45.5,2041-2050,ssp585,-13.27,-5.37,-5.66,3.5,5.3,Prince Edward Island,NA
154244,34.5,-49.5,2041-2050,ssp585,-17.85,-5.55,-4.66,4.3,7.31,Prince Edward Island,NA
154248,34.5,-48.5,2041-2050,ssp585,-17.04,-6.47,-4.52,4.07,6.84,Prince Edward Island,NA
154252,34.5,-47.5,2041-2050,ssp585,-15.21,-5.15,-4.06,6.25,7.39,Prince Edward Island,NA
154256,34.5,-46.5,2041-2050,ssp585,-14.8,-5.05,-4.31,4.15,6.25,Prince Edward Island,NA
154260,34.5,-45.5,2041-2050,ssp585,-12.75,-4.82,-5.25,3.44,5.27,Prince Edward Island,NA
154264,34.5,-44.5,2041-2050,ssp585,-12.04,-5.67,-5.83,3.33,4.45,Prince Edward Island,NA
154964,35.5,-49.5,2041-2050,ssp585,-17.95,-5.76,-4.65,4.11,6.89,Prince Edward Island,NA
154968,35.5,-48.5,2041-2050,ssp585,-16.96,-6.2,-4.63,3.9,6.87,Prince Edward Island,NA
154972,35.5,-47.5,2041-2050,ssp585,-14.89,-5.47,-5.3,8.6,7.6,Prince Edward Island,NA
154976,35.5,-46.5,2041-2050,ssp585,-14.42,-5.26,-4.49,3.54,5.81,Prince Edward Island,NA
154980,35.5,-45.5,2041-2050,ssp585,-13.08,-4.4,-4.87,4.77,5.77,Prince Edward Island,NA
154984,35.5,-44.5,2041-2050,ssp585,-12.9,-4.76,-4.91,3.25,4.93,Prince Edward Island,NA
155684,36.5,-49.5,2041-2050,ssp585,-17.98,-5.13,-4.8,4.65,7.56,Prince Edward Island,NA
155688,36.5,-48.5,2041-2050,ssp585,-16.56,-6.18,-4.84,3.74,6.68,Prince Edward Island,NA
155692,36.5,-47.5,2041-2050,ssp585,-14.65,-5.63,-4.87,4.45,6.76,Prince Edward Island,NA
155696,36.5,-46.5,2041-2050,ssp585,-14.12,-5.02,-5.01,3.85,6.11,Prince Edward Island,NA
155700,36.5,-45.5,2041-2050,ssp585,-13.67,-4.7,-4.98,3.29,5.43,Prince Edward Island,NA
155704,36.5,-44.5,2041-2050,ssp585,-13.33,-3.82,-4.39,5.61,5.93,Prince Edward Island,NA
155708,36.5,-43.5,2041-2050,ssp585,-13.11,-4.37,-4.81,3.45,5.39,Prince Edward Island,NA
156404,37.5,-49.5,2041-2050,ssp585,-17.89,-5.5,-4.82,3.76,7.44,Prince Edward Island,NA
156408,37.5,-48.5,2041-2050,ssp585,-16.11,-6.08,-4.76,3.57,6.68,Prince Edward Island,NA
156412,37.5,-47.5,2041-2050,ssp585,-14.41,-5.95,-5.07,3.43,6.15,Prince Edward Island,NA
156416,37.5,-46.5,2041-2050,ssp585,-14.06,-4.89,-4.66,4.06,6.24,Prince Edward Island,NA
156420,37.5,-45.5,2041-2050,ssp585,-12.86,-5.44,-5.21,3.2,4.7,Prince Edward Island,NA
156424,37.5,-44.5,2041-2050,ssp585,-12.43,-4.02,-4.07,3.15,5,Prince Edward Island,NA
156428,37.5,-43.5,2041-2050,ssp585,-12.5,-4.72,-4.92,3.14,4.8,Prince Edward Island,NA
157124,38.5,-49.5,2041-2050,ssp585,-17.96,-5.79,-4.63,3.97,7.36,Prince Edward Island,NA
157128,38.5,-48.5,2041-2050,ssp585,-15.53,-5.8,-4.62,3.4,6.75,Prince Edward Island,NA
157132,38.5,-47.5,2041-2050,ssp585,-14.71,-5.71,-4.83,3.23,6.28,Prince Edward Island,NA
157136,38.5,-46.5,2041-2050,ssp585,-13.82,-4.58,-4.84,4.16,6.21,Prince Edward Island,NA
157140,38.5,-45.5,2041-2050,ssp585,-13.12,-4.95,-4.91,3.11,5.08,Prince Edward Island,NA
157144,38.5,-44.5,2041-2050,ssp585,-11.04,-3.88,-4.2,3.06,4.82,Prince Edward Island,NA
157148,38.5,-43.5,2041-2050,ssp585,-12.92,-3.9,-5.02,7.24,6.02,Prince Edward Island,NA
157844,39.5,-49.5,2041-2050,ssp585,-17.89,-5.58,-4.35,3.38,7.14,Prince Edward Island,NA
157848,39.5,-48.5,2041-2050,ssp585,-15.02,-6.24,-4.62,3.25,6.25,Prince Edward Island,NA
157852,39.5,-47.5,2041-2050,ssp585,-14.97,-5.32,-4.81,3.02,6.54,Prince Edward Island,NA
157856,39.5,-46.5,2041-2050,ssp585,-13.84,-4.03,-3.48,3.85,6.1,Prince Edward Island,NA
157860,39.5,-45.5,2041-2050,ssp585,-12.72,-4.17,-4.67,6.89,6.03,Prince Edward Island,NA
157864,39.5,-44.5,2041-2050,ssp585,-9.92,-3.34,-4.48,5.55,5.46,Prince Edward Island,NA
157868,39.5,-43.5,2041-2050,ssp585,-13.08,-3.89,-4.95,6.16,6.04,Prince Edward Island,NA
158564,40.5,-49.5,2041-2050,ssp585,-17.48,-5.46,-4.41,3.18,6.98,Prince Edward Island,NA
158568,40.5,-48.5,2041-2050,ssp585,-14.45,-5.98,-4.87,3.1,6.54,Prince Edward Island,NA
158572,40.5,-47.5,2041-2050,ssp585,-14.88,-5.13,-5,3.49,6.55,Prince Edward Island,NA
