year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip,fao,mpa,so,subregion
1974,historical,Crozet Islands,-16.74,-4.21,-4.64,4.66,5.95,"Year: 1974
Mean change: -4.2%
SD: ±6%",NA,NA,NA,NA
1974,historical,Heard Island and McDonald Islands,-11.6,-3.01,-1.02,1.77,5,"Year: 1974
Mean change: -3%
SD: ±5%",NA,NA,NA,NA
1974,historical,Kerguelen Islands,-8.44,-1.62,-1.91,8.44,4.74,"Year: 1974
Mean change: -1.6%
SD: ±4.7%",NA,NA,NA,NA
1974,historical,Macquarie Island,-25.26,-7.82,-5.95,0.84,7.82,"Year: 1974
Mean change: -7.8%
SD: ±7.8%",NA,NA,NA,NA
1974,historical,Prince Edward Islands,-10.4,-3.83,-4.34,2.9,4.22,"Year: 1974
Mean change: -3.8%
SD: ±4.2%",NA,NA,NA,NA
1975,historical,Crozet Islands,-16.48,-3.18,-3.7,6.43,6.01,"Year: 1975
Mean change: -3.2%
SD: ±6%",NA,NA,NA,NA
1975,historical,Heard Island and McDonald Islands,-8.84,-1.77,-0.23,3.58,4.36,"Year: 1975
Mean change: -1.8%
SD: ±4.4%",NA,NA,NA,NA
1975,historical,Kerguelen Islands,-5.83,-1,-1.12,4.12,3.51,"Year: 1975
Mean change: -1%
SD: ±3.5%",NA,NA,NA,NA
1975,historical,Macquarie Island,-24.68,-8.5,-5.97,-0.33,7.21,"Year: 1975
Mean change: -8.5%
SD: ±7.2%",NA,NA,NA,NA
1975,historical,Prince Edward Islands,-7.65,-1.68,-1.48,8.25,4.76,"Year: 1975
Mean change: -1.7%
SD: ±4.8%",NA,NA,NA,NA
1976,historical,Crozet Islands,-16.63,-3.04,-2.39,3.47,5.79,"Year: 1976
Mean change: -3%
SD: ±5.8%",NA,NA,NA,NA
1976,historical,Heard Island and McDonald Islands,-11.57,-2.48,-2.38,3.98,5.11,"Year: 1976
Mean change: -2.5%
SD: ±5.1%",NA,NA,NA,NA
1976,historical,Kerguelen Islands,-6.87,-2.61,-2.78,1.39,3.11,"Year: 1976
Mean change: -2.6%
SD: ±3.1%",NA,NA,NA,NA
1976,historical,Macquarie Island,-24.16,-8.87,-7.18,0.55,7.35,"Year: 1976
Mean change: -8.9%
SD: ±7.3%",NA,NA,NA,NA
1976,historical,Prince Edward Islands,-7.49,-0.35,-1.01,13.06,6.68,"Year: 1976
Mean change: -0.3%
SD: ±6.7%",NA,NA,NA,NA
1977,historical,Crozet Islands,-16.46,-0.65,-0.59,19.82,9.77,"Year: 1977
Mean change: -0.7%
SD: ±9.8%",NA,NA,NA,NA
1977,historical,Heard Island and McDonald Islands,-8.83,-1,1.44,3.91,4.77,"Year: 1977
Mean change: -1%
SD: ±4.8%",NA,NA,NA,NA
1977,historical,Kerguelen Islands,-10.05,-1.18,-0.55,9.14,5.2,"Year: 1977
Mean change: -1.2%
SD: ±5.2%",NA,NA,NA,NA
1977,historical,Macquarie Island,-24.43,-6.99,-3.14,0.63,8.01,"Year: 1977
Mean change: -7%
SD: ±8%",NA,NA,NA,NA
1977,historical,Prince Edward Islands,-11.96,1.04,1.37,19.09,8.17,"Year: 1977
Mean change: 1%
SD: ±8.2%",NA,NA,NA,NA
1978,historical,Crozet Islands,-15.32,0.18,0.24,23.83,10.72,"Year: 1978
Mean change: 0.2%
SD: ±10.7%",NA,NA,NA,NA
1978,historical,Heard Island and McDonald Islands,-11.05,-1.83,-1.24,5.84,5.57,"Year: 1978
Mean change: -1.8%
SD: ±5.6%",NA,NA,NA,NA
1978,historical,Kerguelen Islands,-10.03,-0.64,-0.05,12.46,6.1,"Year: 1978
Mean change: -0.6%
SD: ±6.1%",NA,NA,NA,NA
1978,historical,Macquarie Island,-24.75,-7.6,-4.9,-0.66,7.66,"Year: 1978
Mean change: -7.6%
SD: ±7.7%",NA,NA,NA,NA
