year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip,fao,mpa,so,subregion
2036,ssp585,Kerguelen Islands,-14.92,-4.57,-4.64,3.44,4.82,"Year: 2036
Mean change: -4.6%
SD: ±4.8%",NA,NA,NA,NA
2036,ssp585,Macquarie Island,-5.91,-1.67,-1.3,2.07,3.26,"Year: 2036
Mean change: -1.7%
SD: ±3.3%",NA,NA,NA,NA
2036,ssp585,Prince Edward Islands,-14.91,-4.85,-4.25,4.11,6.22,"Year: 2036
Mean change: -4.8%
SD: ±6.2%",NA,NA,NA,NA
2037,ssp126,Crozet Islands,-13.63,-4.01,-3.7,1.82,4.45,"Year: 2037
Mean change: -4%
SD: ±4.4%",NA,NA,NA,NA
2037,ssp126,Heard Island and McDonald Islands,-8.7,-4.17,-4.12,0.12,2.95,"Year: 2037
Mean change: -4.2%
SD: ±3%",NA,NA,NA,NA
2037,ssp126,Kerguelen Islands,-7.26,-4.37,-5.36,-0.91,2.41,"Year: 2037
Mean change: -4.4%
SD: ±2.4%",NA,NA,NA,NA
2037,ssp126,Macquarie Island,-14.78,-4.07,-3.04,2.14,4.84,"Year: 2037
Mean change: -4.1%
SD: ±4.8%",NA,NA,NA,NA
2037,ssp126,Prince Edward Islands,-7.35,-1.77,-1.29,3.23,3.45,"Year: 2037
Mean change: -1.8%
SD: ±3.5%",NA,NA,NA,NA
2037,ssp585,Crozet Islands,-14.53,-5.88,-4.95,3.34,5.92,"Year: 2037
Mean change: -5.9%
SD: ±5.9%",NA,NA,NA,NA
2037,ssp585,Heard Island and McDonald Islands,-10,-2.35,-2.76,3.78,4.26,"Year: 2037
Mean change: -2.4%
SD: ±4.3%",NA,NA,NA,NA
2037,ssp585,Kerguelen Islands,-8.57,-3.32,-3.37,4.04,3.67,"Year: 2037
Mean change: -3.3%
SD: ±3.7%",NA,NA,NA,NA
2037,ssp585,Macquarie Island,-11.92,-3.24,-3.35,1.93,4.23,"Year: 2037
Mean change: -3.2%
SD: ±4.2%",NA,NA,NA,NA
2037,ssp585,Prince Edward Islands,-14.59,-5.05,-4.99,1.85,4.66,"Year: 2037
Mean change: -5%
SD: ±4.7%",NA,NA,NA,NA
2038,ssp126,Crozet Islands,-16.78,-4.88,-4.6,2.41,6.23,"Year: 2038
Mean change: -4.9%
SD: ±6.2%",NA,NA,NA,NA
2038,ssp126,Heard Island and McDonald Islands,-8.02,-2.73,-1.98,1.23,3.12,"Year: 2038
Mean change: -2.7%
SD: ±3.1%",NA,NA,NA,NA
2038,ssp126,Kerguelen Islands,-17.58,-4.77,-3.78,3.6,5.74,"Year: 2038
Mean change: -4.8%
SD: ±5.7%",NA,NA,NA,NA
2038,ssp126,Macquarie Island,-12.98,-4.83,-3.57,0.47,4.75,"Year: 2038
Mean change: -4.8%
SD: ±4.8%",NA,NA,NA,NA
2038,ssp126,Prince Edward Islands,-13.46,-2.85,-2.24,3.04,4.84,"Year: 2038
Mean change: -2.9%
SD: ±4.8%",NA,NA,NA,NA
2038,ssp585,Crozet Islands,-15.16,-6.59,-5.1,1.17,5.14,"Year: 2038
Mean change: -6.6%
SD: ±5.1%",NA,NA,NA,NA
2038,ssp585,Heard Island and McDonald Islands,-9.5,-3.35,-3.9,3.27,3.58,"Year: 2038
Mean change: -3.4%
SD: ±3.6%",NA,NA,NA,NA
2038,ssp585,Kerguelen Islands,-10.91,-4.82,-5.15,-0.67,3.41,"Year: 2038
Mean change: -4.8%
SD: ±3.4%",NA,NA,NA,NA
2038,ssp585,Macquarie Island,-9.19,-4.78,-5.22,-0.12,3.43,"Year: 2038
Mean change: -4.8%
SD: ±3.4%",NA,NA,NA,NA
2038,ssp585,Prince Edward Islands,-16.37,-4.54,-4.44,2.86,5.53,"Year: 2038
Mean change: -4.5%
SD: ±5.5%",NA,NA,NA,NA
2039,ssp126,Crozet Islands,-12.29,-4.07,-4.03,2.13,4.49,"Year: 2039
Mean change: -4.1%
SD: ±4.5%",NA,NA,NA,NA
2039,ssp126,Heard Island and McDonald Islands,-7.07,-4.2,-4.38,0.24,2.29,"Year: 2039
Mean change: -4.2%
SD: ±2.3%",NA,NA,NA,NA
2039,ssp126,Kerguelen Islands,-15.22,-6.18,-6.03,-0.05,4.64,"Year: 2039
Mean change: -6.2%
SD: ±4.6%",NA,NA,NA,NA
2039,ssp126,Macquarie Island,-12.79,-4.55,-4.62,1.21,3.66,"Year: 2039
Mean change: -4.6%
SD: ±3.7%",NA,NA,NA,NA
2039,ssp126,Prince Edward Islands,-8.81,-2.58,-3.63,6.45,4.66,"Year: 2039
Mean change: -2.6%
SD: ±4.7%",NA,NA,NA,NA
2039,ssp585,Crozet Islands,-16.77,-6.83,-6.72,2.03,6.34,"Year: 2039
Mean change: -6.8%
SD: ±6.3%",NA,NA,NA,NA
2039,ssp585,Heard Island and McDonald Islands,-10.89,-4,-2.62,1.03,4.35,"Year: 2039
Mean change: -4%
SD: ±4.3%",NA,NA,NA,NA
2039,ssp585,Kerguelen Islands,-13.96,-5.2,-5.59,2.33,4.65,"Year: 2039
Mean change: -5.2%
SD: ±4.7%",NA,NA,NA,NA
2039,ssp585,Macquarie Island,-22.72,-6.93,-5.19,-0.19,6.45,"Year: 2039
Mean change: -6.9%
SD: ±6.4%",NA,NA,NA,NA
2039,ssp585,Prince Edward Islands,-13.76,-5.2,-4.92,2.52,5.65,"Year: 2039
Mean change: -5.2%
SD: ±5.7%",NA,NA,NA,NA
2040,ssp126,Crozet Islands,-14.94,-5.47,-4.66,4.69,5.78,"Year: 2040
Mean change: -5.5%
SD: ±5.8%",NA,NA,NA,NA
2040,ssp126,Heard Island and McDonald Islands,-8.26,-3.11,-3.08,4.75,3.71,"Year: 2040
Mean change: -3.1%
SD: ±3.7%",NA,NA,NA,NA
2040,ssp126,Kerguelen Islands,-16.29,-4.81,-3.89,3.99,5.13,"Year: 2040
Mean change: -4.8%
SD: ±5.1%",NA,NA,NA,NA
2040,ssp126,Macquarie Island,-19.88,-6.56,-6.2,0.1,5.75,"Year: 2040
Mean change: -6.6%
SD: ±5.8%",NA,NA,NA,NA
2040,ssp126,Prince Edward Islands,-9.83,-2.26,-3.25,7.23,5.03,"Year: 2040
Mean change: -2.3%
SD: ±5%",NA,NA,NA,NA
2040,ssp585,Crozet Islands,-18.18,-7.04,-6.13,3.44,5.91,"Year: 2040
Mean change: -7%
SD: ±5.9%",NA,NA,NA,NA
2040,ssp585,Heard Island and McDonald Islands,-16.17,-4.85,-3.29,6.4,6.93,"Year: 2040
Mean change: -4.8%
SD: ±6.9%",NA,NA,NA,NA
2040,ssp585,Kerguelen Islands,-10.86,-5.22,-6.13,2.21,4.6,"Year: 2040
Mean change: -5.2%
SD: ±4.6%",NA,NA,NA,NA
2040,ssp585,Macquarie Island,-22.14,-8.21,-6.77,4.33,7.56,"Year: 2040
Mean change: -8.2%
SD: ±7.6%",NA,NA,NA,NA
2040,ssp585,Prince Edward Islands,-18.75,-6.54,-6.01,3.84,5.54,"Year: 2040
Mean change: -6.5%
SD: ±5.5%",NA,NA,NA,NA
2041,ssp126,Crozet Islands,-12.08,-3.45,-3.59,6.78,6.15,"Year: 2041
Mean change: -3.5%
SD: ±6.2%",NA,NA,NA,NA
2041,ssp126,Heard Island and McDonald Islands,-10.82,-5.18,-6.28,3.84,4.67,"Year: 2041
Mean change: -5.2%
SD: ±4.7%",NA,NA,NA,NA
2041,ssp126,Kerguelen Islands,-17.17,-6.25,-5.42,5.13,6.41,"Year: 2041
Mean change: -6.2%
SD: ±6.4%",NA,NA,NA,NA
2041,ssp126,Macquarie Island,-17.03,-7.92,-7.66,-2.25,4.99,"Year: 2041
Mean change: -7.9%
SD: ±5%",NA,NA,NA,NA
2041,ssp126,Prince Edward Islands,-8.24,-1.23,-1.66,11.36,5.78,"Year: 2041
Mean change: -1.2%
SD: ±5.8%",NA,NA,NA,NA
2041,ssp585,Crozet Islands,-15.61,-6.51,-4.4,-0.67,4.96,"Year: 2041
Mean change: -6.5%
SD: ±5%",NA,NA,NA,NA
2041,ssp585,Heard Island and McDonald Islands,-19.08,-4.31,-4.29,7.48,7.56,"Year: 2041
Mean change: -4.3%
SD: ±7.6%",NA,NA,NA,NA
2041,ssp585,Kerguelen Islands,-11.66,-4.8,-5.01,0.39,3.68,"Year: 2041
Mean change: -4.8%
SD: ±3.7%",NA,NA,NA,NA
2041,ssp585,Macquarie Island,-13.72,-6.45,-7.27,3.21,6.32,"Year: 2041
Mean change: -6.4%
SD: ±6.3%",NA,NA,NA,NA
2041,ssp585,Prince Edward Islands,-13.11,-4.66,-4.86,3.53,4.59,"Year: 2041
Mean change: -4.7%
SD: ±4.6%",NA,NA,NA,NA
2042,ssp126,Crozet Islands,-16.35,-4.28,-3.35,4.31,6.4,"Year: 2042
Mean change: -4.3%
SD: ±6.4%",NA,NA,NA,NA
2042,ssp126,Heard Island and McDonald Islands,-9.5,-4.38,-5.88,8.8,5.06,"Year: 2042
Mean change: -4.4%
SD: ±5.1%",NA,NA,NA,NA
2042,ssp126,Kerguelen Islands,-16.48,-5.37,-6.26,2.88,5.6,"Year: 2042
Mean change: -5.4%
SD: ±5.6%",NA,NA,NA,NA
2042,ssp126,Macquarie Island,-22.53,-8.19,-7.05,-0.02,6.4,"Year: 2042
Mean change: -8.2%
SD: ±6.4%",NA,NA,NA,NA
2042,ssp126,Prince Edward Islands,-14.01,-4.92,-4.45,3.13,5.47,"Year: 2042
Mean change: -4.9%
SD: ±5.5%",NA,NA,NA,NA
2042,ssp585,Crozet Islands,-17.82,-5.18,-4.23,4.44,6.88,"Year: 2042
Mean change: -5.2%
SD: ±6.9%",NA,NA,NA,NA
2042,ssp585,Heard Island and McDonald Islands,-10.89,-3.43,-3.03,8.54,5.51,"Year: 2042
Mean change: -3.4%
SD: ±5.5%",NA,NA,NA,NA
2042,ssp585,Kerguelen Islands,-18.15,-5.44,-4.83,2.56,6.16,"Year: 2042
Mean change: -5.4%
SD: ±6.2%",NA,NA,NA,NA
2042,ssp585,Macquarie Island,-20.13,-7.92,-7.03,-0.26,6.13,"Year: 2042
Mean change: -7.9%
SD: ±6.1%",NA,NA,NA,NA
2042,ssp585,Prince Edward Islands,-14.74,-2.6,-2.92,10.9,6.81,"Year: 2042
Mean change: -2.6%
SD: ±6.8%",NA,NA,NA,NA
2043,ssp126,Crozet Islands,-11.97,-4.6,-4.08,2.18,4.18,"Year: 2043
Mean change: -4.6%
SD: ±4.2%",NA,NA,NA,NA
2043,ssp126,Heard Island and McDonald Islands,-9.07,-2.92,-2.04,1.47,3.41,"Year: 2043
Mean change: -2.9%
SD: ±3.4%",NA,NA,NA,NA
2043,ssp126,Kerguelen Islands,-9.42,-4.33,-3.39,1.71,3.76,"Year: 2043
Mean change: -4.3%
SD: ±3.8%",NA,NA,NA,NA
2043,ssp126,Macquarie Island,-14.79,-8.05,-6.85,-0.48,5.01,"Year: 2043
Mean change: -8.1%
SD: ±5%",NA,NA,NA,NA
2043,ssp126,Prince Edward Islands,-7.32,-3.82,-3.61,2.26,3.03,"Year: 2043
Mean change: -3.8%
SD: ±3%",NA,NA,NA,NA
2043,ssp585,Crozet Islands,-21.27,-6.01,-3.97,4.55,7.27,"Year: 2043
Mean change: -6%
SD: ±7.3%",NA,NA,NA,NA
2043,ssp585,Heard Island and McDonald Islands,-10.65,-4.48,-4.19,2.79,4.34,"Year: 2043
Mean change: -4.5%
SD: ±4.3%",NA,NA,NA,NA
2043,ssp585,Kerguelen Islands,-14.26,-5.61,-5.04,0.97,4.67,"Year: 2043
Mean change: -5.6%
SD: ±4.7%",NA,NA,NA,NA
2043,ssp585,Macquarie Island,-16.79,-7.1,-6.55,3.13,6.53,"Year: 2043
Mean change: -7.1%
SD: ±6.5%",NA,NA,NA,NA
2043,ssp585,Prince Edward Islands,-27.06,-5.87,-3.58,5.49,8.94,"Year: 2043
Mean change: -5.9%
SD: ±8.9%",NA,NA,NA,NA
2044,ssp126,Crozet Islands,-10.81,-2.91,-2.9,3.38,4.5,"Year: 2044
Mean change: -2.9%
SD: ±4.5%",NA,NA,NA,NA
2044,ssp126,Heard Island and McDonald Islands,-8.94,-3.44,-3.3,3.6,4.26,"Year: 2044
Mean change: -3.4%
SD: ±4.3%",NA,NA,NA,NA
2044,ssp126,Kerguelen Islands,-10.55,-3.06,-2.75,3.96,4.76,"Year: 2044
Mean change: -3.1%
SD: ±4.8%",NA,NA,NA,NA
2044,ssp126,Macquarie Island,-21.74,-8.4,-6.1,2.86,7.62,"Year: 2044
Mean change: -8.4%
SD: ±7.6%",NA,NA,NA,NA
2044,ssp126,Prince Edward Islands,-7.9,-0.5,-0.52,7.13,4.36,"Year: 2044
Mean change: -0.5%
SD: ±4.4%",NA,NA,NA,NA
2044,ssp585,Crozet Islands,-20.98,-7.33,-6.03,0.3,6.51,"Year: 2044
Mean change: -7.3%
SD: ±6.5%",NA,NA,NA,NA
2044,ssp585,Heard Island and McDonald Islands,-10.17,-3.52,-2.97,1.23,3.45,"Year: 2044
Mean change: -3.5%
SD: ±3.5%",NA,NA,NA,NA
2044,ssp585,Kerguelen Islands,-18.46,-6.37,-6.03,0.43,5.32,"Year: 2044
Mean change: -6.4%
SD: ±5.3%",NA,NA,NA,NA
2044,ssp585,Macquarie Island,-18.25,-5.27,-5.04,1.22,5.72,"Year: 2044
Mean change: -5.3%
SD: ±5.7%",NA,NA,NA,NA
2044,ssp585,Prince Edward Islands,-12.91,-5.67,-5.62,0.43,4.6,"Year: 2044
Mean change: -5.7%
SD: ±4.6%",NA,NA,NA,NA
2045,ssp126,Crozet Islands,-15.38,-3.99,-4.84,5.36,6.24,"Year: 2045
Mean change: -4%
SD: ±6.2%",NA,NA,NA,NA
2045,ssp126,Heard Island and McDonald Islands,-12.8,-5.64,-5.52,1.22,4.82,"Year: 2045
Mean change: -5.6%
SD: ±4.8%",NA,NA,NA,NA
2045,ssp126,Kerguelen Islands,-16.45,-5.03,-3.9,0.87,4.93,"Year: 2045
Mean change: -5%
SD: ±4.9%",NA,NA,NA,NA
2045,ssp126,Macquarie Island,-17.75,-8.96,-8.82,3.01,6.7,"Year: 2045
Mean change: -9%
SD: ±6.7%",NA,NA,NA,NA
2045,ssp126,Prince Edward Islands,-18.82,-5.35,-5.27,4.16,6.1,"Year: 2045
Mean change: -5.3%
SD: ±6.1%",NA,NA,NA,NA
2045,ssp585,Crozet Islands,-16.3,-6.34,-4.59,-1.79,4.65,"Year: 2045
Mean change: -6.3%
SD: ±4.7%",NA,NA,NA,NA
2045,ssp585,Heard Island and McDonald Islands,-7.23,-4.42,-5.16,2.05,2.81,"Year: 2045
Mean change: -4.4%
SD: ±2.8%",NA,NA,NA,NA
2045,ssp585,Kerguelen Islands,-16.77,-6.53,-6.56,0.76,5.18,"Year: 2045
Mean change: -6.5%
SD: ±5.2%",NA,NA,NA,NA
2045,ssp585,Macquarie Island,-19.37,-6.79,-6.34,2.98,6.7,"Year: 2045
Mean change: -6.8%
SD: ±6.7%",NA,NA,NA,NA
2045,ssp585,Prince Edward Islands,-8.53,-4.96,-5.4,1.06,2.88,"Year: 2045
Mean change: -5%
SD: ±2.9%",NA,NA,NA,NA
2046,ssp126,Crozet Islands,-12.46,-4.03,-5.27,5.09,5,"Year: 2046
Mean change: -4%
SD: ±5%",NA,NA,NA,NA
2046,ssp126,Heard Island and McDonald Islands,-10.58,-3.77,-4,6.8,5.21,"Year: 2046
Mean change: -3.8%
SD: ±5.2%",NA,NA,NA,NA
2046,ssp126,Kerguelen Islands,-12.6,-4.98,-6.64,4.35,5.38,"Year: 2046
Mean change: -5%
SD: ±5.4%",NA,NA,NA,NA
2046,ssp126,Macquarie Island,-20.01,-8.96,-7.51,-2.94,5.76,"Year: 2046
Mean change: -9%
SD: ±5.8%",NA,NA,NA,NA
2046,ssp126,Prince Edward Islands,-12.86,-4.44,-3.79,1.17,3.77,"Year: 2046
Mean change: -4.4%
SD: ±3.8%",NA,NA,NA,NA
2046,ssp585,Crozet Islands,-17.53,-5.07,-4.7,4.57,7.44,"Year: 2046
Mean change: -5.1%
SD: ±7.4%",NA,NA,NA,NA
2046,ssp585,Heard Island and McDonald Islands,-7.49,-4.07,-4.14,0.23,2.44,"Year: 2046
Mean change: -4.1%
SD: ±2.4%",NA,NA,NA,NA
2046,ssp585,Kerguelen Islands,-16.4,-5.8,-5.59,5.88,6.1,"Year: 2046
Mean change: -5.8%
SD: ±6.1%",NA,NA,NA,NA
2046,ssp585,Macquarie Island,-19.78,-8.04,-6.39,-1.29,5.71,"Year: 2046
Mean change: -8%
SD: ±5.7%",NA,NA,NA,NA
2046,ssp585,Prince Edward Islands,-20.06,-4.71,-4.39,9.14,8.13,"Year: 2046
Mean change: -4.7%
SD: ±8.1%",NA,NA,NA,NA
2047,ssp126,Crozet Islands,-6.35,-2.56,-3.37,4.87,4.04,"Year: 2047
Mean change: -2.6%
SD: ±4%",NA,NA,NA,NA
2047,ssp126,Heard Island and McDonald Islands,-10.24,-3.09,-2.95,1.75,3.79,"Year: 2047
Mean change: -3.1%
SD: ±3.8%",NA,NA,NA,NA
2047,ssp126,Kerguelen Islands,-8.91,-3.31,-3.31,4.14,4.38,"Year: 2047
Mean change: -3.3%
SD: ±4.4%",NA,NA,NA,NA
2047,ssp126,Macquarie Island,-22.18,-9.88,-8.33,0.88,7.35,"Year: 2047
Mean change: -9.9%
SD: ±7.3%",NA,NA,NA,NA
2047,ssp126,Prince Edward Islands,-6.87,-0.56,0.05,4.1,3.67,"Year: 2047
Mean change: -0.6%
SD: ±3.7%",NA,NA,NA,NA
2047,ssp585,Crozet Islands,-18.7,-4.8,-6.01,5.97,7.8,"Year: 2047
Mean change: -4.8%
SD: ±7.8%",NA,NA,NA,NA
2047,ssp585,Heard Island and McDonald Islands,-9.51,-2.83,-5.04,9.34,5.73,"Year: 2047
Mean change: -2.8%
SD: ±5.7%",NA,NA,NA,NA
2047,ssp585,Kerguelen Islands,-22.03,-5.18,-5.85,6.55,8.38,"Year: 2047
Mean change: -5.2%
SD: ±8.4%",NA,NA,NA,NA
2047,ssp585,Macquarie Island,-20.39,-8.22,-7.26,1.1,6.38,"Year: 2047
Mean change: -8.2%
SD: ±6.4%",NA,NA,NA,NA
2047,ssp585,Prince Edward Islands,-15.64,-3.98,-4.48,4,5.7,"Year: 2047
Mean change: -4%
SD: ±5.7%",NA,NA,NA,NA
2048,ssp126,Crozet Islands,-10.19,-2.71,-3.7,4.29,4.92,"Year: 2048
Mean change: -2.7%
SD: ±4.9%",NA,NA,NA,NA
2048,ssp126,Heard Island and McDonald Islands,-9.19,-2.5,-2.25,3.58,4.1,"Year: 2048
Mean change: -2.5%
SD: ±4.1%",NA,NA,NA,NA
2048,ssp126,Kerguelen Islands,-14.48,-4.56,-4.15,2.53,5.26,"Year: 2048
Mean change: -4.6%
SD: ±5.3%",NA,NA,NA,NA
2048,ssp126,Macquarie Island,-23.09,-9.27,-7.22,-0.9,7.41,"Year: 2048
Mean change: -9.3%
SD: ±7.4%",NA,NA,NA,NA
2048,ssp126,Prince Edward Islands,-8.4,-1.86,-1.6,4.12,3.97,"Year: 2048
Mean change: -1.9%
SD: ±4%",NA,NA,NA,NA
2048,ssp585,Crozet Islands,-17.78,-5.96,-5.49,4.84,7.06,"Year: 2048
Mean change: -6%
SD: ±7.1%",NA,NA,NA,NA
2048,ssp585,Heard Island and McDonald Islands,-9.82,-3.56,-2.8,0.39,3.51,"Year: 2048
Mean change: -3.6%
SD: ±3.5%",NA,NA,NA,NA
2048,ssp585,Kerguelen Islands,-21.41,-6.28,-6.73,3.4,7.41,"Year: 2048
Mean change: -6.3%
SD: ±7.4%",NA,NA,NA,NA
2048,ssp585,Macquarie Island,-22.09,-7.94,-6.08,5.78,8.07,"Year: 2048
Mean change: -7.9%
SD: ±8.1%",NA,NA,NA,NA
2048,ssp585,Prince Edward Islands,-22.12,-6.1,-5.36,5.38,8.45,"Year: 2048
Mean change: -6.1%
SD: ±8.4%",NA,NA,NA,NA
2049,ssp126,Crozet Islands,-11.61,-4.49,-4.23,0.55,4,"Year: 2049
Mean change: -4.5%
SD: ±4%",NA,NA,NA,NA
2049,ssp126,Heard Island and McDonald Islands,-9.57,-3.26,-3.7,4.79,4.17,"Year: 2049
Mean change: -3.3%
SD: ±4.2%",NA,NA,NA,NA
2049,ssp126,Kerguelen Islands,-15.79,-4.9,-4.57,4.5,6.01,"Year: 2049
Mean change: -4.9%
SD: ±6%",NA,NA,NA,NA
2049,ssp126,Macquarie Island,-21.56,-8.47,-8.11,1.21,7.35,"Year: 2049
Mean change: -8.5%
SD: ±7.3%",NA,NA,NA,NA
2049,ssp126,Prince Edward Islands,-10.37,-3.41,-4.21,7.27,4.57,"Year: 2049
Mean change: -3.4%
SD: ±4.6%",NA,NA,NA,NA
2049,ssp585,Crozet Islands,-17.28,-5.88,-5.71,6.49,6.68,"Year: 2049
Mean change: -5.9%
SD: ±6.7%",NA,NA,NA,NA
2049,ssp585,Heard Island and McDonald Islands,-13.65,-4.51,-4.38,2.45,4.68,"Year: 2049
Mean change: -4.5%
SD: ±4.7%",NA,NA,NA,NA
2049,ssp585,Kerguelen Islands,-20.4,-6.59,-6.42,1.84,6.76,"Year: 2049
Mean change: -6.6%
SD: ±6.8%",NA,NA,NA,NA
2049,ssp585,Macquarie Island,-24.03,-8.73,-8.45,3.21,7.81,"Year: 2049
Mean change: -8.7%
SD: ±7.8%",NA,NA,NA,NA
2049,ssp585,Prince Edward Islands,-11.42,-3.15,-5.06,10.75,7.06,"Year: 2049
Mean change: -3.1%
SD: ±7.1%",NA,NA,NA,NA
2050,ssp126,Crozet Islands,-9.57,-3.4,-3.34,4.21,4.37,"Year: 2050
Mean change: -3.4%
SD: ±4.4%",NA,NA,NA,NA
2050,ssp126,Heard Island and McDonald Islands,-8.76,-2.86,-2.8,2.33,2.91,"Year: 2050
Mean change: -2.9%
SD: ±2.9%",NA,NA,NA,NA
2050,ssp126,Kerguelen Islands,-13.28,-4.62,-4.08,4.55,5.18,"Year: 2050
Mean change: -4.6%
SD: ±5.2%",NA,NA,NA,NA
2050,ssp126,Macquarie Island,-21.39,-7.87,-7.36,3.54,8.26,"Year: 2050
Mean change: -7.9%
SD: ±8.3%",NA,NA,NA,NA
2050,ssp126,Prince Edward Islands,-6.45,-1.77,-2.66,5.41,4.27,"Year: 2050
Mean change: -1.8%
SD: ±4.3%",NA,NA,NA,NA
2050,ssp585,Crozet Islands,-20.63,-5.96,-6.87,7.44,8.42,"Year: 2050
Mean change: -6%
SD: ±8.4%",NA,NA,NA,NA
2050,ssp585,Heard Island and McDonald Islands,-16.93,-4.57,-4.31,6.07,6.5,"Year: 2050
Mean change: -4.6%
SD: ±6.5%",NA,NA,NA,NA
2050,ssp585,Kerguelen Islands,-26.19,-7.22,-7.15,5.27,8.7,"Year: 2050
Mean change: -7.2%
SD: ±8.7%",NA,NA,NA,NA
2050,ssp585,Macquarie Island,-27.11,-12.78,-11,-1.11,8.89,"Year: 2050
Mean change: -12.8%
SD: ±8.9%",NA,NA,NA,NA
2050,ssp585,Prince Edward Islands,-19.78,-5.82,-4.31,5.21,7.74,"Year: 2050
Mean change: -5.8%
SD: ±7.7%",NA,NA,NA,NA
2051,ssp126,Crozet Islands,-14.01,-3.66,-3.93,6.59,5.74,"Year: 2051
Mean change: -3.7%
SD: ±5.7%",NA,NA,NA,NA
2051,ssp126,Heard Island and McDonald Islands,-9.52,-5.7,-5.97,-2,2.49,"Year: 2051
Mean change: -5.7%
SD: ±2.5%",NA,NA,NA,NA
2051,ssp126,Kerguelen Islands,-14.45,-5.52,-4.5,0.26,4.93,"Year: 2051
Mean change: -5.5%
SD: ±4.9%",NA,NA,NA,NA
2051,ssp126,Macquarie Island,-20.99,-9.44,-7.85,-3.93,5.89,"Year: 2051
Mean change: -9.4%
SD: ±5.9%",NA,NA,NA,NA
2051,ssp126,Prince Edward Islands,-11.32,-1.9,-2.85,7.38,5.27,"Year: 2051
Mean change: -1.9%
SD: ±5.3%",NA,NA,NA,NA
2051,ssp585,Crozet Islands,-21.84,-7.7,-7.21,5.82,7.92,"Year: 2051
Mean change: -7.7%
SD: ±7.9%",NA,NA,NA,NA
2051,ssp585,Heard Island and McDonald Islands,-8.36,-3.37,-3.76,2.67,3.5,"Year: 2051
Mean change: -3.4%
SD: ±3.5%",NA,NA,NA,NA
2051,ssp585,Kerguelen Islands,-22.15,-6.75,-6.38,6.11,8.71,"Year: 2051
Mean change: -6.8%
SD: ±8.7%",NA,NA,NA,NA
2051,ssp585,Macquarie Island,-27.26,-12.81,-11.88,1.25,9.33,"Year: 2051
Mean change: -12.8%
SD: ±9.3%",NA,NA,NA,NA
2051,ssp585,Prince Edward Islands,-21.89,-7.16,-6.64,6.18,8.52,"Year: 2051
Mean change: -7.2%
SD: ±8.5%",NA,NA,NA,NA
2052,ssp126,Crozet Islands,-14.63,-3.45,-3.97,6.05,6.03,"Year: 2052
Mean change: -3.5%
SD: ±6%",NA,NA,NA,NA
2052,ssp126,Heard Island and McDonald Islands,-10.6,-4.53,-4.41,5.74,4.29,"Year: 2052
Mean change: -4.5%
SD: ±4.3%",NA,NA,NA,NA
2052,ssp126,Kerguelen Islands,-13.16,-4.95,-4.6,3.92,4.9,"Year: 2052
Mean change: -5%
SD: ±4.9%",NA,NA,NA,NA
2052,ssp126,Macquarie Island,-16.96,-7.55,-7.2,1.44,6.16,"Year: 2052
Mean change: -7.6%
SD: ±6.2%",NA,NA,NA,NA
2052,ssp126,Prince Edward Islands,-14.86,-1.36,-1.25,6.42,6.46,"Year: 2052
Mean change: -1.4%
SD: ±6.5%",NA,NA,NA,NA
2052,ssp585,Crozet Islands,-19.4,-7.82,-7.5,-1.04,5.85,"Year: 2052
Mean change: -7.8%
SD: ±5.8%",NA,NA,NA,NA
2052,ssp585,Heard Island and McDonald Islands,-8.74,-3.95,-5.62,3.92,4.54,"Year: 2052
Mean change: -4%
SD: ±4.5%",NA,NA,NA,NA
2052,ssp585,Kerguelen Islands,-24.17,-8,-7.24,2.05,7.64,"Year: 2052
Mean change: -8%
SD: ±7.6%",NA,NA,NA,NA
2052,ssp585,Macquarie Island,-29.17,-11.78,-11,0.54,9.19,"Year: 2052
Mean change: -11.8%
SD: ±9.2%",NA,NA,NA,NA
2052,ssp585,Prince Edward Islands,-21,-6.83,-5.7,-0.19,6.14,"Year: 2052
Mean change: -6.8%
SD: ±6.1%",NA,NA,NA,NA
2053,ssp126,Crozet Islands,-16.46,-3.57,-3.11,3.74,6.63,"Year: 2053
Mean change: -3.6%
SD: ±6.6%",NA,NA,NA,NA
2053,ssp126,Heard Island and McDonald Islands,-11.44,-3.86,-3.1,3.11,4.04,"Year: 2053
Mean change: -3.9%
SD: ±4%",NA,NA,NA,NA
2053,ssp126,Kerguelen Islands,-12.47,-3.88,-2.99,3.76,5.8,"Year: 2053
Mean change: -3.9%
SD: ±5.8%",NA,NA,NA,NA
2053,ssp126,Macquarie Island,-14.72,-6.36,-7.06,4.56,5.72,"Year: 2053
Mean change: -6.4%
SD: ±5.7%",NA,NA,NA,NA
2053,ssp126,Prince Edward Islands,-7.66,-0.25,-0.68,7.7,5.08,"Year: 2053
Mean change: -0.2%
SD: ±5.1%",NA,NA,NA,NA
2053,ssp585,Crozet Islands,-17.79,-6.92,-6.85,4.26,6.87,"Year: 2053
Mean change: -6.9%
SD: ±6.9%",NA,NA,NA,NA
2053,ssp585,Heard Island and McDonald Islands,-11.92,-4.86,-3.87,-1.43,3.17,"Year: 2053
Mean change: -4.9%
SD: ±3.2%",NA,NA,NA,NA
