year,scenario,subregion,min_change,mean_change,median_change,max_change,sd_change,tooltip
1952,historical,5842,-17.51,-3.95,-6.13,17.52,9.26,"Year: 1952
Mean change: -4%
SD: ±9.3%"
1952,historical,5843a,-27.52,-10.29,-10.31,1.7,8.15,"Year: 1952
Mean change: -10.3%
SD: ±8.2%"
1952,historical,5843b,-10.99,-1.12,-1.89,15.57,7.09,"Year: 1952
Mean change: -1.1%
SD: ±7.1%"
1952,historical,5844a,-30.93,-6.57,-3.99,-0.48,8.75,"Year: 1952
Mean change: -6.6%
SD: ±8.8%"
1952,historical,5844b,-33.34,-9.79,-8.09,-1.13,9.16,"Year: 1952
Mean change: -9.8%
SD: ±9.2%"
1952,historical,5851,-16.98,-3.26,-2.03,3.39,6.07,"Year: 1952
Mean change: -3.3%
SD: ±6.1%"
1952,historical,5852,-21.38,-5.61,-2.07,1.59,8.12,"Year: 1952
Mean change: -5.6%
SD: ±8.1%"
1952,historical,586,-29.46,-3.38,-0.78,11.95,10.55,"Year: 1952
Mean change: -3.4%
SD: ±10.6%"
1952,historical,587,-9.98,0.71,-0.02,17.8,8.37,"Year: 1952
Mean change: 0.7%
SD: ±8.4%"
1952,historical,881,-17.37,-6.41,-6.55,2.6,5.79,"Year: 1952
Mean change: -6.4%
SD: ±5.8%"
1952,historical,882,-9.26,-1.6,-3.58,13.96,7.35,"Year: 1952
Mean change: -1.6%
SD: ±7.3%"
1952,historical,883,-11.95,-0.36,-2.32,24.98,10.01,"Year: 1952
Mean change: -0.4%
SD: ±10%"
1953,historical,481,-44.74,-12.19,-4.93,3.22,16.28,"Year: 1953
Mean change: -12.2%
SD: ±16.3%"
1953,historical,482,-18.05,-9.46,-10.41,1.19,7.51,"Year: 1953
Mean change: -9.5%
SD: ±7.5%"
1953,historical,483,-7.8,-1.1,-0.8,4.51,3.85,"Year: 1953
Mean change: -1.1%
SD: ±3.9%"
1953,historical,484,-15.89,-4.47,-4.55,2.02,5.51,"Year: 1953
Mean change: -4.5%
SD: ±5.5%"
1953,historical,485,-60.3,-14.72,-4.66,3.82,23.76,"Year: 1953
Mean change: -14.7%
SD: ±23.8%"
1953,historical,486,-13.78,-4.48,-4.2,4.62,5.2,"Year: 1953
Mean change: -4.5%
SD: ±5.2%"
1953,historical,5841,-10.09,-3.77,-4.41,6.19,4.93,"Year: 1953
Mean change: -3.8%
SD: ±4.9%"
1953,historical,5842,-17.11,-3.91,-4.99,16.52,9.05,"Year: 1953
Mean change: -3.9%
SD: ±9.1%"
1953,historical,5843a,-22.92,-6.78,-5.65,2.73,8.57,"Year: 1953
Mean change: -6.8%
SD: ±8.6%"
1953,historical,5843b,-14.57,-2.81,-3.04,13.24,7.62,"Year: 1953
Mean change: -2.8%
SD: ±7.6%"
1953,historical,5844a,-30.25,-6.03,-2.07,0.18,9.22,"Year: 1953
Mean change: -6%
SD: ±9.2%"
1953,historical,5844b,-33.57,-6.82,-2.18,-0.32,10.26,"Year: 1953
Mean change: -6.8%
SD: ±10.3%"
1953,historical,5851,-16.41,-2.84,-1.97,5.33,5.84,"Year: 1953
Mean change: -2.8%
SD: ±5.8%"
1953,historical,5852,-19.1,-3.71,0.47,3.85,8.23,"Year: 1953
Mean change: -3.7%
SD: ±8.2%"
1953,historical,586,-28.62,-3.6,-1.92,6.32,9.97,"Year: 1953
Mean change: -3.6%
SD: ±10%"
1953,historical,587,-11.47,-0.33,-1.11,14.77,7.08,"Year: 1953
Mean change: -0.3%
SD: ±7.1%"
1953,historical,881,-14.05,-7.38,-8.19,2.46,5.83,"Year: 1953
Mean change: -7.4%
SD: ±5.8%"
1953,historical,882,-16.08,-3.1,-3.48,12.56,8.08,"Year: 1953
Mean change: -3.1%
SD: ±8.1%"
1953,historical,883,-9.77,2.57,1.09,25.71,9.58,"Year: 1953
Mean change: 2.6%
SD: ±9.6%"
1954,historical,481,-17.99,-5.3,-4.59,4.44,7.46,"Year: 1954
Mean change: -5.3%
SD: ±7.5%"
1954,historical,482,-17.48,-5.06,-6.56,14.35,10.35,"Year: 1954
Mean change: -5.1%
SD: ±10.3%"
1954,historical,483,-8.96,-0.82,-0.73,4.95,4.49,"Year: 1954
Mean change: -0.8%
SD: ±4.5%"
1954,historical,484,-15.81,2.57,-2.4,35.77,16.05,"Year: 1954
Mean change: 2.6%
SD: ±16%"
1954,historical,485,-43.7,-12.62,-6.97,2.48,13.79,"Year: 1954
Mean change: -12.6%
SD: ±13.8%"
1954,historical,486,-13.95,-1.62,-1.76,11.55,6.23,"Year: 1954
Mean change: -1.6%
SD: ±6.2%"
1954,historical,5841,-8.48,-2.99,-3.97,5.88,4.13,"Year: 1954
Mean change: -3%
SD: ±4.1%"
1954,historical,5842,-11.06,-2.45,-5.07,15.39,7.84,"Year: 1954
Mean change: -2.5%
SD: ±7.8%"
1954,historical,5843a,-21.43,-6.11,-4.36,2.57,7.66,"Year: 1954
Mean change: -6.1%
SD: ±7.7%"
1954,historical,5843b,-10.45,3.68,2.5,22.51,10.75,"Year: 1954
Mean change: 3.7%
SD: ±10.8%"
1954,historical,5844a,-29.22,-6.29,-2.89,-0.23,8.89,"Year: 1954
Mean change: -6.3%
SD: ±8.9%"
1954,historical,5844b,-33.41,-6.83,-3.53,0.61,10.31,"Year: 1954
Mean change: -6.8%
SD: ±10.3%"
1954,historical,5851,-15.74,-1.62,0.08,9.99,7.67,"Year: 1954
Mean change: -1.6%
SD: ±7.7%"
1954,historical,5852,-17.23,-3.47,-0.99,6.31,7.82,"Year: 1954
Mean change: -3.5%
SD: ±7.8%"
1954,historical,586,-27.77,-4.07,-1.87,7.49,10.01,"Year: 1954
Mean change: -4.1%
SD: ±10%"
1954,historical,587,-13.36,-0.6,0.74,5.32,5.08,"Year: 1954
Mean change: -0.6%
SD: ±5.1%"
1954,historical,881,-13.65,-7.1,-7.9,1.79,5.59,"Year: 1954
Mean change: -7.1%
SD: ±5.6%"
1954,historical,882,-9.61,-0.99,-2.57,11.32,6.02,"Year: 1954
Mean change: -1%
SD: ±6%"
1954,historical,883,-5.04,1.69,-1.11,26.2,9.29,"Year: 1954
Mean change: 1.7%
SD: ±9.3%"
1955,historical,481,-17.81,-3.75,-3.21,6.16,7.7,"Year: 1955
Mean change: -3.8%
SD: ±7.7%"
1955,historical,482,-18.63,-4.24,-0.84,6.75,9.52,"Year: 1955
Mean change: -4.2%
SD: ±9.5%"
1955,historical,483,-6.58,1.02,1.9,9.5,5.83,"Year: 1955
Mean change: 1%
SD: ±5.8%"
1955,historical,484,-17.84,-3.94,-0.81,2.96,7.56,"Year: 1955
Mean change: -3.9%
SD: ±7.6%"
1955,historical,485,-33.9,-9.48,-10.15,13.68,15.43,"Year: 1955
Mean change: -9.5%
SD: ±15.4%"
1955,historical,486,-14.06,-4.34,-1.34,-0.33,5.48,"Year: 1955
Mean change: -4.3%
SD: ±5.5%"
1955,historical,5841,-7.12,-1.97,-3.27,6.33,4.31,"Year: 1955
Mean change: -2%
SD: ±4.3%"
1955,historical,5842,-14.53,-3.17,-6.08,14.46,9.29,"Year: 1955
Mean change: -3.2%
SD: ±9.3%"
1955,historical,5843a,-18.5,-6.24,-5.89,5.58,7.08,"Year: 1955
Mean change: -6.2%
SD: ±7.1%"
1955,historical,5843b,-12.08,-3.11,-3.69,10.67,6.59,"Year: 1955
Mean change: -3.1%
SD: ±6.6%"
1955,historical,5844a,-27.89,-6.66,-3.13,0.62,8.45,"Year: 1955
Mean change: -6.7%
SD: ±8.4%"
1955,historical,5844b,-32.81,-6.71,-2.9,1.12,9.87,"Year: 1955
Mean change: -6.7%
SD: ±9.9%"
1955,historical,5851,-15.13,-3.77,-4.31,1.43,5.13,"Year: 1955
Mean change: -3.8%
SD: ±5.1%"
1955,historical,5852,-15.47,-3.69,-0.37,4.43,7.54,"Year: 1955
Mean change: -3.7%
SD: ±7.5%"
1955,historical,586,-27.17,-5.86,-5.12,6.4,9.08,"Year: 1955
Mean change: -5.9%
SD: ±9.1%"
1955,historical,587,-14.37,-2.43,-1.27,5.77,5.6,"Year: 1955
Mean change: -2.4%
SD: ±5.6%"
1955,historical,881,-13.4,-2.43,-1.97,7.7,6.31,"Year: 1955
Mean change: -2.4%
SD: ±6.3%"
1955,historical,882,-11.35,-1.55,-2.14,10.5,7.65,"Year: 1955
Mean change: -1.6%
SD: ±7.7%"
1955,historical,883,-15.64,1.42,-0.7,26.81,10.66,"Year: 1955
Mean change: 1.4%
SD: ±10.7%"
1956,historical,481,-19.39,-4.55,-3.78,10.56,9.77,"Year: 1956
Mean change: -4.6%
SD: ±9.8%"
1956,historical,482,-30.49,-6.75,-5.45,17.74,12.98,"Year: 1956
Mean change: -6.8%
SD: ±13%"
1956,historical,483,-10.22,-0.35,-1.36,9.89,6.73,"Year: 1956
Mean change: -0.3%
SD: ±6.7%"
1956,historical,484,-15.86,-0.05,-0.45,20.64,9.74,"Year: 1956
Mean change: 0%
SD: ±9.7%"
1956,historical,485,-13.75,-6.48,-8.62,2.92,5.78,"Year: 1956
Mean change: -6.5%
SD: ±5.8%"
1956,historical,486,-14.53,-3.67,-3.43,2.42,4.88,"Year: 1956
Mean change: -3.7%
SD: ±4.9%"
1956,historical,5841,-9.34,-1.27,-0.34,7.4,4.7,"Year: 1956
Mean change: -1.3%
SD: ±4.7%"
1956,historical,5842,-12.52,-0.55,-1.94,13.93,9.22,"Year: 1956
Mean change: -0.6%
SD: ±9.2%"
1956,historical,5843a,-16.53,-6.94,-5.05,-0.17,5.54,"Year: 1956
Mean change: -6.9%
SD: ±5.5%"
1956,historical,5843b,-13.77,-2.52,-1.9,9.49,6.34,"Year: 1956
Mean change: -2.5%
SD: ±6.3%"
1956,historical,5844a,-26.24,-4.98,-3.54,3.43,8.01,"Year: 1956
Mean change: -5%
SD: ±8%"
1956,historical,5844b,-31.8,-7.42,-4.69,-0.95,9.05,"Year: 1956
Mean change: -7.4%
SD: ±9.1%"
1956,historical,5851,-14.72,-2.79,-1.57,3.81,5.73,"Year: 1956
Mean change: -2.8%
SD: ±5.7%"
1956,historical,5852,-16.68,-3.12,0.1,5.31,7.7,"Year: 1956
Mean change: -3.1%
SD: ±7.7%"
1956,historical,586,-26.82,-4.81,-3,5.84,9.04,"Year: 1956
Mean change: -4.8%
SD: ±9%"
