rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
151281,30.5,-69.5,2091-2100,ssp126,-10.16,5.01,5.43,19.76,14.97,"Indian Ocean, Antarctic"
151285,30.5,-68.5,2091-2100,ssp126,-15.51,5.58,5.14,34.42,16.03,"Indian Ocean, Antarctic"
151289,30.5,-67.5,2091-2100,ssp126,-15.69,4.7,1.86,24.72,13.69,"Indian Ocean, Antarctic"
151293,30.5,-66.5,2091-2100,ssp126,-6.28,8.84,11.3,21.92,11.36,"Indian Ocean, Antarctic"
151297,30.5,-65.5,2091-2100,ssp126,-0.94,10.56,9.49,37.72,11.71,"Indian Ocean, Antarctic"
151301,30.5,-64.5,2091-2100,ssp126,-9.99,7.41,2.45,39.36,14.03,"Indian Ocean, Antarctic"
151305,30.5,-63.5,2091-2100,ssp126,-14.13,3.81,1.22,23.91,12.17,"Indian Ocean, Antarctic"
151309,30.5,-62.5,2091-2100,ssp126,-12.68,2.36,-2.35,26.63,13.01,"Indian Ocean, Antarctic"
151313,30.5,-61.5,2091-2100,ssp126,-16.79,-0.42,-2.2,23.51,12.73,"Indian Ocean, Antarctic"
151317,30.5,-60.5,2091-2100,ssp126,-26.38,-4.55,-4.42,16.39,13.25,"Indian Ocean, Antarctic"
151321,30.5,-59.5,2091-2100,ssp126,-32.82,-3.89,-3.36,14.85,13.17,"Indian Ocean, Antarctic"
151325,30.5,-58.5,2091-2100,ssp126,-40.12,-7.58,-4.07,9.51,13.92,"Indian Ocean, Antarctic"
151329,30.5,-57.5,2091-2100,ssp126,-40.55,-8.27,-3.31,0.79,12.33,"Indian Ocean, Antarctic"
151333,30.5,-56.5,2091-2100,ssp126,-39.22,-9.09,-5.18,0.4,11.2,"Indian Ocean, Antarctic"
151337,30.5,-55.5,2091-2100,ssp126,-37.23,-8.38,-6.37,1.75,10.97,"Indian Ocean, Antarctic"
151341,30.5,-54.5,2091-2100,ssp126,-31.53,-7.65,-6.69,2.48,9.22,"Indian Ocean, Antarctic"
151345,30.5,-53.5,2091-2100,ssp126,-23.25,-6.73,-6.28,2.69,7.33,"Indian Ocean, Antarctic"
151349,30.5,-52.5,2091-2100,ssp126,-14.65,-5.72,-5.92,2.13,5.15,"Indian Ocean, Antarctic"
151353,30.5,-51.5,2091-2100,ssp126,-7.76,-3.75,-4.35,3.29,3.42,"Indian Ocean, Antarctic"
151357,30.5,-50.5,2091-2100,ssp126,-8.23,-4.34,-4.47,-0.65,2.66,"Indian Ocean, Antarctic"
151361,30.5,-49.5,2091-2100,ssp126,-13.68,-4.69,-4.67,9.34,6.6,"Indian Ocean, Antarctic"
151365,30.5,-48.5,2091-2100,ssp126,-16.41,-6.71,-6.37,1.4,5.78,"Indian Ocean, Antarctic"
151369,30.5,-47.5,2091-2100,ssp126,-18.64,-7.6,-6.45,0.68,6.53,"Indian Ocean, Antarctic"
151373,30.5,-46.5,2091-2100,ssp126,-19,-7.41,-5.29,-0.68,6.48,"Indian Ocean, Antarctic"
151377,30.5,-45.5,2091-2100,ssp126,-17.88,-7.48,-6.41,-0.04,5.68,"Indian Ocean, Antarctic"
152001,31.5,-69.5,2091-2100,ssp126,-9.75,4.82,5.85,18.35,14.08,"Indian Ocean, Antarctic"
152005,31.5,-68.5,2091-2100,ssp126,-13.06,5.98,3.96,36.95,17.46,"Indian Ocean, Antarctic"
152009,31.5,-67.5,2091-2100,ssp126,-14.25,6.81,5.44,24.47,13.51,"Indian Ocean, Antarctic"
152013,31.5,-66.5,2091-2100,ssp126,-5.26,10.64,12.89,26.66,11.79,"Indian Ocean, Antarctic"
152017,31.5,-65.5,2091-2100,ssp126,-1.55,12.55,10.94,50.93,15.04,"Indian Ocean, Antarctic"
152021,31.5,-64.5,2091-2100,ssp126,-7.23,9.03,2.03,50.19,16.5,"Indian Ocean, Antarctic"
152025,31.5,-63.5,2091-2100,ssp126,-14.17,4.19,1.45,25.35,12.81,"Indian Ocean, Antarctic"
152029,31.5,-62.5,2091-2100,ssp126,-12.69,2.8,-2.1,27.95,12.64,"Indian Ocean, Antarctic"
152033,31.5,-61.5,2091-2100,ssp126,-16.47,0.31,-2.51,26.22,13.63,"Indian Ocean, Antarctic"
152037,31.5,-60.5,2091-2100,ssp126,-26.92,-3.98,-4.39,16.3,13.16,"Indian Ocean, Antarctic"
152041,31.5,-59.5,2091-2100,ssp126,-33.59,-5.08,-4.31,14.39,13.33,"Indian Ocean, Antarctic"
