year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip
2000,historical,Crozet Islands,-10.87,-1.48,-1.21,10.16,5.69,"Year: 2000
Mean change: -1.5%
SD: ±5.7%"
2000,historical,Heard Island and McDonald Islands,-4.91,1.43,1.58,5.01,2.73,"Year: 2000
Mean change: 1.4%
SD: ±2.7%"
2000,historical,Kerguelen Islands,-6.95,-0.07,-0.04,7.45,3.67,"Year: 2000
Mean change: -0.1%
SD: ±3.7%"
2000,historical,Prince Edward Islands,-10.25,-0.38,-0.06,12.05,5.79,"Year: 2000
Mean change: -0.4%
SD: ±5.8%"
2001,historical,Crozet Islands,-5.37,-0.45,0.71,5.05,3.39,"Year: 2001
Mean change: -0.4%
SD: ±3.4%"
2001,historical,Heard Island and McDonald Islands,-3.51,1.99,1.71,8.02,3.2,"Year: 2001
Mean change: 2%
SD: ±3.2%"
2001,historical,Kerguelen Islands,-4.95,-0.28,-0.18,1.51,1.88,"Year: 2001
Mean change: -0.3%
SD: ±1.9%"
2001,historical,Prince Edward Islands,-4.74,0.24,0.31,5.82,3.3,"Year: 2001
Mean change: 0.2%
SD: ±3.3%"
2002,historical,Crozet Islands,-4.32,0.26,0.57,4.17,2.54,"Year: 2002
Mean change: 0.3%
SD: ±2.5%"
2002,historical,Heard Island and McDonald Islands,-1.88,1.41,1.89,4.02,1.81,"Year: 2002
Mean change: 1.4%
SD: ±1.8%"
2002,historical,Kerguelen Islands,-8.7,-0.68,0.24,2.22,3.26,"Year: 2002
Mean change: -0.7%
SD: ±3.3%"
2002,historical,Prince Edward Islands,-2.4,2.34,1.86,8.05,2.77,"Year: 2002
Mean change: 2.3%
SD: ±2.8%"
2003,historical,Crozet Islands,-6.2,-0.57,0.08,6.42,3.72,"Year: 2003
Mean change: -0.6%
SD: ±3.7%"
2003,historical,Heard Island and McDonald Islands,-9.06,-0.84,0.3,3.86,4.27,"Year: 2003
Mean change: -0.8%
SD: ±4.3%"
2003,historical,Kerguelen Islands,-4.91,-1.38,-0.99,3.49,2.49,"Year: 2003
Mean change: -1.4%
SD: ±2.5%"
2003,historical,Prince Edward Islands,-9.18,1.34,1.5,6.91,4.5,"Year: 2003
Mean change: 1.3%
SD: ±4.5%"
2004,historical,Crozet Islands,-10.09,-1.97,-0.36,1.99,4.15,"Year: 2004
Mean change: -2%
SD: ±4.2%"
2004,historical,Heard Island and McDonald Islands,-7.98,-2.81,-2.93,3.39,4.37,"Year: 2004
Mean change: -2.8%
SD: ±4.4%"
2004,historical,Kerguelen Islands,-7.16,-1.44,-0.65,5.89,3.5,"Year: 2004
Mean change: -1.4%
SD: ±3.5%"
2004,historical,Prince Edward Islands,-11.83,-1.49,0.59,7.74,6.18,"Year: 2004
Mean change: -1.5%
SD: ±6.2%"
2005,historical,Crozet Islands,-6.75,-1.89,-1.11,2.17,2.69,"Year: 2005
Mean change: -1.9%
SD: ±2.7%"
2005,historical,Heard Island and McDonald Islands,-5.98,-1.61,-1.15,1.16,2.16,"Year: 2005
Mean change: -1.6%
SD: ±2.2%"
2005,historical,Kerguelen Islands,-4.23,-1.27,-1.24,1.73,2.04,"Year: 2005
Mean change: -1.3%
SD: ±2%"
2005,historical,Prince Edward Islands,-10.37,-1.48,0.02,4.35,4.26,"Year: 2005
Mean change: -1.5%
SD: ±4.3%"
2006,historical,Crozet Islands,-7.97,-1.85,-0.7,3.01,3.93,"Year: 2006
Mean change: -1.9%
SD: ±3.9%"
2006,historical,Heard Island and McDonald Islands,-5.59,-0.62,-0.58,4.37,2.9,"Year: 2006
Mean change: -0.6%
SD: ±2.9%"
2006,historical,Kerguelen Islands,-5.64,-0.48,-0.36,6.38,3.41,"Year: 2006
Mean change: -0.5%
SD: ±3.4%"
2006,historical,Prince Edward Islands,-9.75,-2.01,-0.23,3.53,4.26,"Year: 2006
Mean change: -2%
SD: ±4.3%"
2007,historical,Crozet Islands,-2.91,2.44,1.55,9.73,3.95,"Year: 2007
Mean change: 2.4%
SD: ±4%"
2007,historical,Heard Island and McDonald Islands,-3.02,-0.83,-0.73,1.45,1.85,"Year: 2007
Mean change: -0.8%
SD: ±1.9%"
2007,historical,Kerguelen Islands,-1.66,0.22,0.19,3.18,1.53,"Year: 2007
Mean change: 0.2%
SD: ±1.5%"
2007,historical,Prince Edward Islands,-2.85,2.43,0.59,12.94,4.44,"Year: 2007
Mean change: 2.4%
SD: ±4.4%"
2008,historical,Crozet Islands,-2.47,0.32,0.38,3.85,2.02,"Year: 2008
Mean change: 0.3%
SD: ±2%"
2008,historical,Heard Island and McDonald Islands,-2.99,-0.87,-0.51,0.66,1.34,"Year: 2008
Mean change: -0.9%
SD: ±1.3%"
2008,historical,Kerguelen Islands,-2.29,-0,-0.05,2.14,1.23,"Year: 2008
Mean change: 0%
SD: ±1.2%"
2008,historical,Prince Edward Islands,-6.62,-0.28,0.37,2.6,2.69,"Year: 2008
Mean change: -0.3%
SD: ±2.7%"
2009,historical,Crozet Islands,-4,0.82,0.37,6.83,2.74,"Year: 2009
Mean change: 0.8%
SD: ±2.7%"
2009,historical,Heard Island and McDonald Islands,-5.77,1.48,0.61,8.48,4.47,"Year: 2009
Mean change: 1.5%
SD: ±4.5%"
2009,historical,Kerguelen Islands,-8.86,0.86,1.16,5.87,4.17,"Year: 2009
Mean change: 0.9%
SD: ±4.2%"
2009,historical,Prince Edward Islands,-4.14,0.5,0.2,4.71,2.32,"Year: 2009
Mean change: 0.5%
SD: ±2.3%"
2010,historical,Crozet Islands,-0.73,3.96,2.59,12.38,4.34,"Year: 2010
Mean change: 4%
SD: ±4.3%"
2010,historical,Heard Island and McDonald Islands,-6.2,0.22,0.81,4.26,3.64,"Year: 2010
Mean change: 0.2%
SD: ±3.6%"
2010,historical,Kerguelen Islands,-4.39,0.11,0.58,3.37,2.41,"Year: 2010
Mean change: 0.1%
SD: ±2.4%"
2010,historical,Prince Edward Islands,-3.71,3.42,2.56,11.4,4.61,"Year: 2010
Mean change: 3.4%
SD: ±4.6%"
2011,historical,Crozet Islands,-1.99,1.23,1.2,5.02,1.8,"Year: 2011
Mean change: 1.2%
SD: ±1.8%"
2011,historical,Heard Island and McDonald Islands,-3.05,1.2,0.94,6.6,2.54,"Year: 2011
Mean change: 1.2%
SD: ±2.5%"
2011,historical,Kerguelen Islands,-3.32,2.27,0.85,11.47,4.18,"Year: 2011
Mean change: 2.3%
SD: ±4.2%"
2011,historical,Prince Edward Islands,-4.12,-0.83,-1.21,3.57,2.01,"Year: 2011
Mean change: -0.8%
SD: ±2%"
2012,historical,Crozet Islands,-12.42,-1.58,0.18,2.84,4.53,"Year: 2012
Mean change: -1.6%
SD: ±4.5%"
2012,historical,Heard Island and McDonald Islands,-4.52,0.53,0.27,5.58,2.55,"Year: 2012
Mean change: 0.5%
SD: ±2.5%"
2012,historical,Kerguelen Islands,-2.04,0.4,0.54,3.7,1.77,"Year: 2012
Mean change: 0.4%
SD: ±1.8%"
2012,historical,Prince Edward Islands,-5.88,-0.86,-0.73,3.27,2.77,"Year: 2012
Mean change: -0.9%
SD: ±2.8%"
2013,historical,Crozet Islands,-4.45,-1.04,-1.04,2.71,2.3,"Year: 2013
Mean change: -1%
SD: ±2.3%"
2013,historical,Heard Island and McDonald Islands,-5.21,0.94,1.2,5.63,3.16,"Year: 2013
Mean change: 0.9%
SD: ±3.2%"
2013,historical,Kerguelen Islands,-7.93,-0.99,-0.27,2.29,2.84,"Year: 2013
Mean change: -1%
SD: ±2.8%"
2013,historical,Prince Edward Islands,-4.78,-0.79,-0.53,2.38,2.14,"Year: 2013
Mean change: -0.8%
SD: ±2.1%"
2014,historical,Crozet Islands,-5.43,-2.41,-2.31,0.29,1.78,"Year: 2014
Mean change: -2.4%
SD: ±1.8%"
2014,historical,Heard Island and McDonald Islands,-5.17,-0.44,-0.17,2.14,2.37,"Year: 2014
Mean change: -0.4%
SD: ±2.4%"
2014,historical,Kerguelen Islands,-4.42,-1.11,-0.64,1.24,1.95,"Year: 2014
Mean change: -1.1%
SD: ±2%"
2014,historical,Prince Edward Islands,-2.8,-0.09,-0.18,2.33,1.71,"Year: 2014
Mean change: -0.1%
SD: ±1.7%"
2015,ssp126,Crozet Islands,-4.6,-1.72,-1.57,1.98,2.55,"Year: 2015
Mean change: -1.7%
SD: ±2.5%"
2015,ssp126,Heard Island and McDonald Islands,-1.1,1.06,0.43,6.86,2.27,"Year: 2015
Mean change: 1.1%
SD: ±2.3%"
2015,ssp126,Kerguelen Islands,-2.41,0.43,-0.21,6.7,2.58,"Year: 2015
Mean change: 0.4%
SD: ±2.6%"
2015,ssp126,Prince Edward Islands,-7.46,-1.46,-0.91,1.89,3.06,"Year: 2015
Mean change: -1.5%
SD: ±3.1%"
2015,ssp585,Crozet Islands,-10.01,-1.89,-0.58,0.64,3.31,"Year: 2015
Mean change: -1.9%
SD: ±3.3%"
2015,ssp585,Heard Island and McDonald Islands,-4,-0.18,-0.28,2.5,2,"Year: 2015
Mean change: -0.2%
SD: ±2%"
2015,ssp585,Kerguelen Islands,-5.42,-0.14,0.36,5.1,2.75,"Year: 2015
Mean change: -0.1%
SD: ±2.8%"
2015,ssp585,Prince Edward Islands,-3.4,-1.08,-0.85,0.34,1.11,"Year: 2015
Mean change: -1.1%
SD: ±1.1%"
2016,ssp126,Crozet Islands,-14.9,-2.7,-0.96,5.74,5.89,"Year: 2016
Mean change: -2.7%
SD: ±5.9%"
2016,ssp126,Heard Island and McDonald Islands,-8.24,-1.6,-0.86,2.65,3.16,"Year: 2016
Mean change: -1.6%
SD: ±3.2%"
2016,ssp126,Kerguelen Islands,-15.72,-2.3,-1.21,5.71,5.71,"Year: 2016
Mean change: -2.3%
SD: ±5.7%"
2016,ssp126,Prince Edward Islands,-9.81,-1.11,-1.44,5.35,4.49,"Year: 2016
Mean change: -1.1%
SD: ±4.5%"
2016,ssp585,Crozet Islands,-11.83,-3.96,-3.18,2.02,3.71,"Year: 2016
Mean change: -4%
SD: ±3.7%"
2016,ssp585,Heard Island and McDonald Islands,-6.02,-1.43,-1.1,3.92,3.01,"Year: 2016
Mean change: -1.4%
SD: ±3%"
2016,ssp585,Kerguelen Islands,-6.44,-2.34,-1.94,0.62,2.5,"Year: 2016
Mean change: -2.3%
SD: ±2.5%"
2016,ssp585,Prince Edward Islands,-10.61,-3.36,-2.1,2.97,3.99,"Year: 2016
Mean change: -3.4%
SD: ±4%"
2017,ssp126,Crozet Islands,-11.95,-6.09,-7.08,-0.52,3.68,"Year: 2017
Mean change: -6.1%
SD: ±3.7%"
2017,ssp126,Heard Island and McDonald Islands,-7.42,-4.03,-4.76,0.21,2.9,"Year: 2017
Mean change: -4%
SD: ±2.9%"
2017,ssp126,Kerguelen Islands,-9.85,-3.1,-1.97,1.5,3.73,"Year: 2017
Mean change: -3.1%
SD: ±3.7%"
2017,ssp126,Prince Edward Islands,-10.98,-4.44,-3.73,-0.76,3.33,"Year: 2017
Mean change: -4.4%
SD: ±3.3%"
2017,ssp585,Crozet Islands,-7.35,-2.75,-1.88,2.89,2.93,"Year: 2017
Mean change: -2.8%
SD: ±2.9%"
2017,ssp585,Heard Island and McDonald Islands,-8.23,-1.61,-1.35,6.24,4.19,"Year: 2017
Mean change: -1.6%
SD: ±4.2%"
2017,ssp585,Kerguelen Islands,-5.49,-2.53,-1.94,-0.47,1.73,"Year: 2017
Mean change: -2.5%
SD: ±1.7%"
2017,ssp585,Prince Edward Islands,-5.62,-1.36,-1.7,8.73,4.06,"Year: 2017
Mean change: -1.4%
SD: ±4.1%"
2018,ssp126,Crozet Islands,-12.49,-7.78,-8.39,-1.79,3.51,"Year: 2018
Mean change: -7.8%
SD: ±3.5%"
2018,ssp126,Heard Island and McDonald Islands,-13.59,-5.47,-4.63,0.86,4.85,"Year: 2018
Mean change: -5.5%
SD: ±4.8%"
2018,ssp126,Kerguelen Islands,-10.33,-5.67,-6.33,0.41,3.4,"Year: 2018
Mean change: -5.7%
SD: ±3.4%"
2018,ssp126,Prince Edward Islands,-9.72,-5.55,-5.7,-1.55,3.29,"Year: 2018
Mean change: -5.6%
SD: ±3.3%"
2018,ssp585,Crozet Islands,-9.1,-3.14,-3.61,3.84,3.63,"Year: 2018
Mean change: -3.1%
SD: ±3.6%"
2018,ssp585,Heard Island and McDonald Islands,-14.96,0.3,0.75,10.28,6.57,"Year: 2018
Mean change: 0.3%
SD: ±6.6%"
2018,ssp585,Kerguelen Islands,-11.14,-1.52,-0.61,3.33,4.1,"Year: 2018
Mean change: -1.5%
SD: ±4.1%"
2018,ssp585,Prince Edward Islands,-5.11,-1.51,-1.27,3.22,2.94,"Year: 2018
Mean change: -1.5%
SD: ±2.9%"
2019,ssp126,Crozet Islands,-13.55,-5.58,-5.96,-1.83,3.64,"Year: 2019
Mean change: -5.6%
SD: ±3.6%"
2019,ssp126,Heard Island and McDonald Islands,-20.05,-5.16,-4.75,5.21,7.53,"Year: 2019
Mean change: -5.2%
SD: ±7.5%"
2019,ssp126,Kerguelen Islands,-14.03,-4.28,-3.94,0.46,4.26,"Year: 2019
Mean change: -4.3%
SD: ±4.3%"
2019,ssp126,Prince Edward Islands,-5.76,-3.93,-4.26,-1.94,1.4,"Year: 2019
Mean change: -3.9%
SD: ±1.4%"
2019,ssp585,Crozet Islands,-10.69,-1.68,-1.32,3.71,4.07,"Year: 2019
Mean change: -1.7%
SD: ±4.1%"
2019,ssp585,Heard Island and McDonald Islands,-17.54,-0.78,0.71,5.11,6.29,"Year: 2019
Mean change: -0.8%
SD: ±6.3%"
2019,ssp585,Kerguelen Islands,-9.34,-3.11,-3.03,2.6,3.41,"Year: 2019
Mean change: -3.1%
SD: ±3.4%"
2019,ssp585,Prince Edward Islands,-5.72,-0.85,-1.08,6.15,3.36,"Year: 2019
Mean change: -0.8%
SD: ±3.4%"
2020,ssp126,Crozet Islands,-19.42,-8.54,-7.36,-1.44,6.47,"Year: 2020
Mean change: -8.5%
SD: ±6.5%"
2020,ssp126,Heard Island and McDonald Islands,-14.57,-3.9,-2.7,0.99,4.65,"Year: 2020
Mean change: -3.9%
SD: ±4.7%"
2020,ssp126,Kerguelen Islands,-10.11,-5.16,-5,0.3,3.23,"Year: 2020
Mean change: -5.2%
SD: ±3.2%"
2020,ssp126,Prince Edward Islands,-11.26,-4.59,-3.81,-2.12,2.87,"Year: 2020
Mean change: -4.6%
SD: ±2.9%"
2020,ssp585,Crozet Islands,-13.75,-4.97,-3.2,-2,4.27,"Year: 2020
Mean change: -5%
SD: ±4.3%"
2020,ssp585,Heard Island and McDonald Islands,-15.06,-2.12,-0.86,4.48,5.62,"Year: 2020
Mean change: -2.1%
SD: ±5.6%"
2020,ssp585,Kerguelen Islands,-8.93,-3.59,-2.58,-0.17,3.22,"Year: 2020
Mean change: -3.6%
SD: ±3.2%"
2020,ssp585,Prince Edward Islands,-15.67,-4.45,-3.91,2.88,5.05,"Year: 2020
Mean change: -4.4%
SD: ±5%"
2021,ssp126,Crozet Islands,-18.23,-5.35,-3.83,-2.15,4.92,"Year: 2021
Mean change: -5.3%
SD: ±4.9%"
2021,ssp126,Heard Island and McDonald Islands,-14.34,-4.46,-3.32,4.1,6.09,"Year: 2021
Mean change: -4.5%
SD: ±6.1%"
2021,ssp126,Kerguelen Islands,-9.07,-4.14,-3.92,0.6,3.06,"Year: 2021
Mean change: -4.1%
SD: ±3.1%"
2021,ssp126,Prince Edward Islands,-8.8,-3.66,-2.61,-0.25,2.83,"Year: 2021
Mean change: -3.7%
SD: ±2.8%"
2021,ssp585,Crozet Islands,-12.39,-0.75,0.05,5.74,4.81,"Year: 2021
Mean change: -0.8%
SD: ±4.8%"
2021,ssp585,Heard Island and McDonald Islands,-12.03,-2.14,-1.85,2.75,4.2,"Year: 2021
Mean change: -2.1%
SD: ±4.2%"
2021,ssp585,Kerguelen Islands,-6.68,-2.74,-2.33,2.11,2.74,"Year: 2021
Mean change: -2.7%
SD: ±2.7%"
2021,ssp585,Prince Edward Islands,-8.83,1.23,0.22,9.62,5.84,"Year: 2021
Mean change: 1.2%
SD: ±5.8%"
2022,ssp126,Crozet Islands,-19.72,-5.14,-4.33,5.54,6.55,"Year: 2022
Mean change: -5.1%
SD: ±6.6%"
2022,ssp126,Heard Island and McDonald Islands,-9.55,-4.73,-5,1.13,3.84,"Year: 2022
Mean change: -4.7%
SD: ±3.8%"
2022,ssp126,Kerguelen Islands,-10.44,-4.68,-4.6,0.04,3.39,"Year: 2022
Mean change: -4.7%
SD: ±3.4%"
2022,ssp126,Prince Edward Islands,-10.99,-3.96,-4.16,8.89,5.84,"Year: 2022
Mean change: -4%
SD: ±5.8%"
2022,ssp585,Crozet Islands,-11.66,-2,-1.37,3.85,4.44,"Year: 2022
Mean change: -2%
SD: ±4.4%"
2022,ssp585,Heard Island and McDonald Islands,-17.32,-2.14,-0.69,5.83,6.13,"Year: 2022
Mean change: -2.1%
SD: ±6.1%"
2022,ssp585,Kerguelen Islands,-7.07,-2.63,-2.47,1.55,2.69,"Year: 2022
Mean change: -2.6%
SD: ±2.7%"
2022,ssp585,Prince Edward Islands,-9.03,0.36,-1.01,10.03,6.52,"Year: 2022
Mean change: 0.4%
SD: ±6.5%"
2023,ssp126,Crozet Islands,-19.66,-4,-2.24,1.08,5.93,"Year: 2023
Mean change: -4%
SD: ±5.9%"
2023,ssp126,Heard Island and McDonald Islands,-11.22,-5.31,-6.89,4.94,5.18,"Year: 2023
Mean change: -5.3%
SD: ±5.2%"
2023,ssp126,Kerguelen Islands,-10.06,-4.3,-3.6,1.57,3.66,"Year: 2023
Mean change: -4.3%
SD: ±3.7%"
2023,ssp126,Prince Edward Islands,-11.35,-3.53,-2.45,-0.51,3.3,"Year: 2023
Mean change: -3.5%
SD: ±3.3%"
2023,ssp585,Crozet Islands,-11.25,-0.75,-0.98,11.46,5.57,"Year: 2023
Mean change: -0.8%
SD: ±5.6%"
2023,ssp585,Heard Island and McDonald Islands,-11.11,-2.89,-2.04,2.32,3.85,"Year: 2023
Mean change: -2.9%
SD: ±3.9%"
2023,ssp585,Kerguelen Islands,-7.62,-1.73,-1.45,2.05,3.01,"Year: 2023
Mean change: -1.7%
SD: ±3%"
2023,ssp585,Prince Edward Islands,-7.56,-1.97,-1.83,7.41,4.33,"Year: 2023
Mean change: -2%
SD: ±4.3%"
2024,ssp126,Crozet Islands,-18.4,-4.41,-2.35,2.83,6.71,"Year: 2024
Mean change: -4.4%
SD: ±6.7%"
2024,ssp126,Heard Island and McDonald Islands,-15.76,-3.5,-2.79,4.78,5.65,"Year: 2024
Mean change: -3.5%
SD: ±5.7%"
2024,ssp126,Kerguelen Islands,-10.53,-2.52,-0.83,0.38,3.93,"Year: 2024
Mean change: -2.5%
SD: ±3.9%"
2024,ssp126,Prince Edward Islands,-16.36,-3.23,-1.59,5.53,6.79,"Year: 2024
Mean change: -3.2%
SD: ±6.8%"
2024,ssp585,Crozet Islands,-11.61,-2.15,-1.55,4.75,4.16,"Year: 2024
Mean change: -2.1%
SD: ±4.2%"
2024,ssp585,Heard Island and McDonald Islands,-7.69,-0.41,0.83,5.7,4.14,"Year: 2024
Mean change: -0.4%
SD: ±4.1%"
2024,ssp585,Kerguelen Islands,-7.38,-0.17,0.34,3.07,3.01,"Year: 2024
Mean change: -0.2%
SD: ±3%"
2024,ssp585,Prince Edward Islands,-7.57,-2.53,-1.61,2.91,3.18,"Year: 2024
Mean change: -2.5%
SD: ±3.2%"
2025,ssp126,Crozet Islands,-17.05,-3.38,-1.86,2.25,5.56,"Year: 2025
Mean change: -3.4%
SD: ±5.6%"
2025,ssp126,Heard Island and McDonald Islands,-12.7,-3.18,-2.65,7.87,6.07,"Year: 2025
Mean change: -3.2%
SD: ±6.1%"
2025,ssp126,Kerguelen Islands,-9.37,-4.19,-3.61,0.63,3.49,"Year: 2025
Mean change: -4.2%
SD: ±3.5%"
2025,ssp126,Prince Edward Islands,-9.69,-3.04,-2.62,1.98,3.5,"Year: 2025
Mean change: -3%
SD: ±3.5%"
2025,ssp585,Crozet Islands,-12.18,-5.05,-4.41,1.41,4.44,"Year: 2025
Mean change: -5%
SD: ±4.4%"
2025,ssp585,Heard Island and McDonald Islands,-10.3,-1.58,-0.84,5.42,5.27,"Year: 2025
Mean change: -1.6%
SD: ±5.3%"
2025,ssp585,Kerguelen Islands,-8.46,-2.77,-1.79,0.48,2.87,"Year: 2025
Mean change: -2.8%
SD: ±2.9%"
2025,ssp585,Prince Edward Islands,-9,-3.18,-2.62,0.23,2.74,"Year: 2025
Mean change: -3.2%
SD: ±2.7%"
2026,ssp126,Crozet Islands,-15.85,-4.45,-2.58,2.84,5.91,"Year: 2026
Mean change: -4.4%
SD: ±5.9%"
2026,ssp126,Heard Island and McDonald Islands,-9.6,-0.99,0.61,2.65,4.06,"Year: 2026
Mean change: -1%
SD: ±4.1%"
2026,ssp126,Kerguelen Islands,-10.23,-3.34,-2.75,0.5,3.4,"Year: 2026
Mean change: -3.3%
SD: ±3.4%"
2026,ssp126,Prince Edward Islands,-10.46,-3.85,-3.27,2.11,3.85,"Year: 2026
Mean change: -3.9%
SD: ±3.9%"
2026,ssp585,Crozet Islands,-14.03,-6.63,-5.86,0.15,5.56,"Year: 2026
Mean change: -6.6%
SD: ±5.6%"
2026,ssp585,Heard Island and McDonald Islands,-9.86,-4.91,-4.92,3.19,3.97,"Year: 2026
Mean change: -4.9%
SD: ±4%"
2026,ssp585,Kerguelen Islands,-13.22,-4.34,-3.78,0.89,3.79,"Year: 2026
Mean change: -4.3%
SD: ±3.8%"
2026,ssp585,Prince Edward Islands,-13.66,-4.81,-3.71,1.7,4.52,"Year: 2026
Mean change: -4.8%
SD: ±4.5%"
2027,ssp126,Crozet Islands,-15.23,-6.34,-5.68,1.45,5.33,"Year: 2027
Mean change: -6.3%
SD: ±5.3%"
2027,ssp126,Heard Island and McDonald Islands,-9.71,-3.98,-4.13,0.72,3.24,"Year: 2027
Mean change: -4%
SD: ±3.2%"
2027,ssp126,Kerguelen Islands,-10.48,-3.8,-2.85,1.14,3.63,"Year: 2027
Mean change: -3.8%
SD: ±3.6%"
2027,ssp126,Prince Edward Islands,-13.53,-5.03,-3.86,1.37,4.18,"Year: 2027
Mean change: -5%
SD: ±4.2%"
2027,ssp585,Crozet Islands,-13.93,-5.39,-4.16,0.29,4.35,"Year: 2027
Mean change: -5.4%
SD: ±4.3%"
2027,ssp585,Heard Island and McDonald Islands,-10.23,-4.35,-4.01,1.78,4.09,"Year: 2027
Mean change: -4.3%
SD: ±4.1%"
2027,ssp585,Kerguelen Islands,-13.16,-4.55,-3.31,-0.26,4.33,"Year: 2027
Mean change: -4.6%
SD: ±4.3%"
2027,ssp585,Prince Edward Islands,-9.01,-3.78,-3.75,2.93,3.18,"Year: 2027
Mean change: -3.8%
SD: ±3.2%"
2028,ssp126,Crozet Islands,-15.59,-6.71,-5.29,-1.35,4.66,"Year: 2028
Mean change: -6.7%
SD: ±4.7%"
2028,ssp126,Heard Island and McDonald Islands,-12.65,-4.77,-3.93,2.22,4.76,"Year: 2028
Mean change: -4.8%
SD: ±4.8%"
2028,ssp126,Kerguelen Islands,-9.58,-4.31,-3.59,0.23,3.09,"Year: 2028
Mean change: -4.3%
SD: ±3.1%"
2028,ssp126,Prince Edward Islands,-8.18,-4.71,-5.14,2.04,3.23,"Year: 2028
Mean change: -4.7%
SD: ±3.2%"
2028,ssp585,Crozet Islands,-14.37,-3.31,-2.59,4.9,4.83,"Year: 2028
Mean change: -3.3%
SD: ±4.8%"
2028,ssp585,Heard Island and McDonald Islands,-12.6,-1.63,-1.5,7.84,6.33,"Year: 2028
Mean change: -1.6%
SD: ±6.3%"
2028,ssp585,Kerguelen Islands,-8.12,-1.03,-0.28,6.4,4.43,"Year: 2028
Mean change: -1%
SD: ±4.4%"
2028,ssp585,Prince Edward Islands,-7.18,-2.39,-2.4,0.37,2.21,"Year: 2028
Mean change: -2.4%
SD: ±2.2%"
2029,ssp126,Crozet Islands,-16.14,-5.16,-3.61,0.68,5.24,"Year: 2029
Mean change: -5.2%
SD: ±5.2%"
2029,ssp126,Heard Island and McDonald Islands,-9.98,-4.34,-4.14,0.8,3.62,"Year: 2029
Mean change: -4.3%
SD: ±3.6%"
2029,ssp126,Kerguelen Islands,-15.41,-5.84,-5.03,-1.22,4.45,"Year: 2029
Mean change: -5.8%
SD: ±4.4%"
2029,ssp126,Prince Edward Islands,-11.75,-3.74,-3.09,0.96,3.64,"Year: 2029
Mean change: -3.7%
SD: ±3.6%"
2029,ssp585,Crozet Islands,-14.62,-5.21,-4.66,4.15,5.18,"Year: 2029
Mean change: -5.2%
SD: ±5.2%"
2029,ssp585,Heard Island and McDonald Islands,-11.17,-3.03,-3,2.58,3.84,"Year: 2029
Mean change: -3%
SD: ±3.8%"
2029,ssp585,Kerguelen Islands,-7.75,-1.43,-1.79,2.97,3.18,"Year: 2029
Mean change: -1.4%
SD: ±3.2%"
2029,ssp585,Prince Edward Islands,-10.34,-3.57,-3.41,3.03,4.24,"Year: 2029
Mean change: -3.6%
SD: ±4.2%"
2030,ssp126,Crozet Islands,-21.41,-7.29,-4.86,-0.33,7.01,"Year: 2030
Mean change: -7.3%
SD: ±7%"
2030,ssp126,Heard Island and McDonald Islands,-10.46,-4.38,-3.66,0.11,3.36,"Year: 2030
Mean change: -4.4%
SD: ±3.4%"
2030,ssp126,Kerguelen Islands,-11.07,-3.97,-3.28,1.21,3.96,"Year: 2030
Mean change: -4%
SD: ±4%"
2030,ssp126,Prince Edward Islands,-13.15,-4.22,-3.3,1.01,3.73,"Year: 2030
Mean change: -4.2%
SD: ±3.7%"
2030,ssp585,Crozet Islands,-15.25,-5.48,-4.34,1.1,5.34,"Year: 2030
Mean change: -5.5%
SD: ±5.3%"
2030,ssp585,Heard Island and McDonald Islands,-10.15,-2.6,-1.59,2.34,3.56,"Year: 2030
Mean change: -2.6%
SD: ±3.6%"
2030,ssp585,Kerguelen Islands,-6.22,-1.88,-1.56,2.75,3.33,"Year: 2030
Mean change: -1.9%
SD: ±3.3%"
2030,ssp585,Prince Edward Islands,-8.66,-2.69,-2.65,1.22,3.06,"Year: 2030
Mean change: -2.7%
SD: ±3.1%"
2031,ssp126,Crozet Islands,-17.71,-6.42,-5.25,2.55,5.44,"Year: 2031
Mean change: -6.4%
SD: ±5.4%"
2031,ssp126,Heard Island and McDonald Islands,-10.58,-4.17,-4.77,0.88,3.2,"Year: 2031
Mean change: -4.2%
SD: ±3.2%"
2031,ssp126,Kerguelen Islands,-12.7,-4.32,-2.4,0.33,4.46,"Year: 2031
Mean change: -4.3%
SD: ±4.5%"
2031,ssp126,Prince Edward Islands,-15.09,-4.65,-4.83,8.75,6.12,"Year: 2031
Mean change: -4.7%
SD: ±6.1%"
2031,ssp585,Crozet Islands,-16.49,-6.83,-5.6,-0.43,5.77,"Year: 2031
Mean change: -6.8%
SD: ±5.8%"
2031,ssp585,Heard Island and McDonald Islands,-13.67,-4.44,-4.36,5.61,5.8,"Year: 2031
Mean change: -4.4%
SD: ±5.8%"
2031,ssp585,Kerguelen Islands,-7.87,-3.9,-4.09,1,3.29,"Year: 2031
Mean change: -3.9%
SD: ±3.3%"
2031,ssp585,Prince Edward Islands,-14.14,-4.38,-3.38,0.66,4.15,"Year: 2031
Mean change: -4.4%
SD: ±4.2%"
2032,ssp126,Crozet Islands,-17.73,-5.27,-4.46,2.35,6.05,"Year: 2032
Mean change: -5.3%
SD: ±6%"
2032,ssp126,Heard Island and McDonald Islands,-10.71,-4.11,-4.16,4.31,4.42,"Year: 2032
Mean change: -4.1%
SD: ±4.4%"
2032,ssp126,Kerguelen Islands,-10.68,-4.34,-4.69,2.78,4.18,"Year: 2032
Mean change: -4.3%
SD: ±4.2%"
