rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
52,-179.5,-77.5,2041-2050,ssp585,-9.1,-0.49,-2.02,14.06,7.1,"Pacific, Antarctic"
56,-179.5,-76.5,2041-2050,ssp585,-7.14,1.35,0.39,12.51,5.96,"Pacific, Antarctic"
60,-179.5,-75.5,2041-2050,ssp585,-11.2,0.83,1.71,16.09,7.97,"Pacific, Antarctic"
64,-179.5,-74.5,2041-2050,ssp585,-15.74,5.58,1.29,26.51,14.2,"Pacific, Antarctic"
68,-179.5,-73.5,2041-2050,ssp585,-23.84,-2.7,-5.33,22.79,14.87,"Pacific, Antarctic"
72,-179.5,-72.5,2041-2050,ssp585,-18.44,-1.54,0.96,18.3,12.46,"Pacific, Antarctic"
76,-179.5,-71.5,2041-2050,ssp585,-25.9,-6.65,-2.89,8.38,12.05,"Pacific, Antarctic"
80,-179.5,-70.5,2041-2050,ssp585,-35.63,-12.41,-9.42,4.86,11.96,"Pacific, Antarctic"
84,-179.5,-69.5,2041-2050,ssp585,-39.69,-11.24,-9.58,5.25,13.6,"Pacific, Antarctic"
88,-179.5,-68.5,2041-2050,ssp585,-40.79,-11.82,-7.86,0.46,12.13,"Pacific, Antarctic"
92,-179.5,-67.5,2041-2050,ssp585,-36.83,-14.12,-14.55,2.16,11.25,"Pacific, Antarctic"
96,-179.5,-66.5,2041-2050,ssp585,-45.5,-12.07,-14.93,9.13,15.98,"Pacific, Antarctic"
100,-179.5,-65.5,2041-2050,ssp585,-31.18,-7.52,-8.35,17.12,14.04,"Pacific, Antarctic"
104,-179.5,-64.5,2041-2050,ssp585,-27.2,-6.5,-4.69,9,10.41,"Pacific, Antarctic"
108,-179.5,-63.5,2041-2050,ssp585,-21.15,-3.94,-3.65,13.88,10.44,"Pacific, Antarctic"
112,-179.5,-62.5,2041-2050,ssp585,-19.49,-0.05,-2.61,29.17,13.46,"Pacific, Antarctic"
116,-179.5,-61.5,2041-2050,ssp585,-20.55,-1.26,-1.81,20.79,10.75,"Pacific, Antarctic"
120,-179.5,-60.5,2041-2050,ssp585,-20.93,-1.2,-2.69,10.43,9.35,"Pacific, Antarctic"
772,-178.5,-77.5,2041-2050,ssp585,-9.18,0.2,-0.06,12.49,6.86,"Pacific, Antarctic"
776,-178.5,-76.5,2041-2050,ssp585,-7.48,1.42,0.03,11.8,6.95,"Pacific, Antarctic"
780,-178.5,-75.5,2041-2050,ssp585,-13.03,0.81,1.05,19.29,9.96,"Pacific, Antarctic"
784,-178.5,-74.5,2041-2050,ssp585,-14.43,3.89,1.06,27.79,12.72,"Pacific, Antarctic"
788,-178.5,-73.5,2041-2050,ssp585,-33.09,-1.57,-1.49,19.72,16.84,"Pacific, Antarctic"
792,-178.5,-72.5,2041-2050,ssp585,-17.09,-0.52,-0.56,18.3,11.71,"Pacific, Antarctic"
796,-178.5,-71.5,2041-2050,ssp585,-29.67,-6.33,-3.22,13.32,13.59,"Pacific, Antarctic"
800,-178.5,-70.5,2041-2050,ssp585,-35.1,-13.68,-11.49,2.43,10.78,"Pacific, Antarctic"
804,-178.5,-69.5,2041-2050,ssp585,-35.72,-11.1,-8.02,3.51,12.08,"Pacific, Antarctic"
808,-178.5,-68.5,2041-2050,ssp585,-36.88,-12.06,-9.31,0.4,10.77,"Pacific, Antarctic"
812,-178.5,-67.5,2041-2050,ssp585,-37.88,-12.61,-11.78,0.7,11.38,"Pacific, Antarctic"
816,-178.5,-66.5,2041-2050,ssp585,-41.68,-11.58,-12.68,7.09,13.75,"Pacific, Antarctic"
820,-178.5,-65.5,2041-2050,ssp585,-29.43,-6.89,-6.52,15.67,12.79,"Pacific, Antarctic"
824,-178.5,-64.5,2041-2050,ssp585,-28.08,-5.73,-4.31,13,11.48,"Pacific, Antarctic"
828,-178.5,-63.5,2041-2050,ssp585,-20.86,-3.6,-3.91,20.8,12.02,"Pacific, Antarctic"
832,-178.5,-62.5,2041-2050,ssp585,-20.5,-1.67,-3.91,21.03,11.75,"Pacific, Antarctic"
836,-178.5,-61.5,2041-2050,ssp585,-21.15,-0.35,-2.37,25.2,12.31,"Pacific, Antarctic"
840,-178.5,-60.5,2041-2050,ssp585,-21.28,-0.7,-2.29,11.94,9.97,"Pacific, Antarctic"
1492,-177.5,-77.5,2041-2050,ssp585,-8.25,1.14,1.76,11.97,6.3,"Pacific, Antarctic"
1496,-177.5,-76.5,2041-2050,ssp585,-9.09,1.37,0.02,12.84,7.44,"Pacific, Antarctic"
1500,-177.5,-75.5,2041-2050,ssp585,-12.01,3.93,5.22,21.89,11.15,"Pacific, Antarctic"
1504,-177.5,-74.5,2041-2050,ssp585,-10.5,6.04,4.02,28.75,12.7,"Pacific, Antarctic"
1508,-177.5,-73.5,2041-2050,ssp585,-16.67,1.69,-1.63,29.17,14.42,"Pacific, Antarctic"
1512,-177.5,-72.5,2041-2050,ssp585,-17.82,1.67,1.94,28.75,15.27,"Pacific, Antarctic"
1516,-177.5,-71.5,2041-2050,ssp585,-32.51,-9.56,-7.74,5.54,11.62,"Pacific, Antarctic"
1520,-177.5,-70.5,2041-2050,ssp585,-37.14,-15.4,-14.94,0.18,11.15,"Pacific, Antarctic"
1524,-177.5,-69.5,2041-2050,ssp585,-35.4,-11,-7.53,3.3,12.4,"Pacific, Antarctic"
1528,-177.5,-68.5,2041-2050,ssp585,-38.03,-12.43,-8.51,-2.38,10.71,"Pacific, Antarctic"
1532,-177.5,-67.5,2041-2050,ssp585,-46.53,-13.31,-11.09,1.19,13.42,"Pacific, Antarctic"
1536,-177.5,-66.5,2041-2050,ssp585,-36.76,-11.34,-11.5,1.61,11.5,"Pacific, Antarctic"
1540,-177.5,-65.5,2041-2050,ssp585,-29.23,-6.66,-6.71,17.79,13.15,"Pacific, Antarctic"
1544,-177.5,-64.5,2041-2050,ssp585,-28.67,-5.15,-4.4,14.37,12.26,"Pacific, Antarctic"
1548,-177.5,-63.5,2041-2050,ssp585,-21.3,-3.46,-4.08,18.91,12.07,"Pacific, Antarctic"
1552,-177.5,-62.5,2041-2050,ssp585,-21.4,-1.3,-4.02,27.07,13.5,"Pacific, Antarctic"
1556,-177.5,-61.5,2041-2050,ssp585,-21.63,0.16,-2.19,31.36,14.28,"Pacific, Antarctic"
1560,-177.5,-60.5,2041-2050,ssp585,-21.52,-0.29,-1.62,15.47,11.04,"Pacific, Antarctic"
2212,-176.5,-77.5,2041-2050,ssp585,-6.31,2.71,2.58,13.24,7.01,"Pacific, Antarctic"
2216,-176.5,-76.5,2041-2050,ssp585,-9.07,3.48,3.19,17.28,8.16,"Pacific, Antarctic"
2220,-176.5,-75.5,2041-2050,ssp585,-11.6,4.79,7.38,24.14,11.68,"Pacific, Antarctic"
2224,-176.5,-74.5,2041-2050,ssp585,-20.44,1.77,1.09,25.74,12.48,"Pacific, Antarctic"
2228,-176.5,-73.5,2041-2050,ssp585,-29.2,0.77,1.63,16.05,13.24,"Pacific, Antarctic"
2232,-176.5,-72.5,2041-2050,ssp585,-21.99,1.22,1.9,24.66,14.51,"Pacific, Antarctic"
2236,-176.5,-71.5,2041-2050,ssp585,-33.94,-11.62,-7.42,-0.82,10.82,"Pacific, Antarctic"
2240,-176.5,-70.5,2041-2050,ssp585,-41.73,-15.11,-12.6,-1.28,11.5,"Pacific, Antarctic"
2244,-176.5,-69.5,2041-2050,ssp585,-36.73,-11.43,-6.53,0.18,12.3,"Pacific, Antarctic"
2248,-176.5,-68.5,2041-2050,ssp585,-44.14,-13.06,-9.05,-3.44,12.45,"Pacific, Antarctic"
2252,-176.5,-67.5,2041-2050,ssp585,-49.23,-13.41,-11.04,1.97,14.47,"Pacific, Antarctic"
2256,-176.5,-66.5,2041-2050,ssp585,-36.92,-10.85,-10.6,4.34,11.92,"Pacific, Antarctic"
2260,-176.5,-65.5,2041-2050,ssp585,-30.06,-6.56,-5.4,15.17,12.93,"Pacific, Antarctic"
2264,-176.5,-64.5,2041-2050,ssp585,-28.81,-5.24,-4.54,11.87,12.44,"Pacific, Antarctic"
2268,-176.5,-63.5,2041-2050,ssp585,-22.37,-3.32,-3.84,20.88,12.68,"Pacific, Antarctic"
2272,-176.5,-62.5,2041-2050,ssp585,-22.2,-2.31,-3.86,24.97,12.75,"Pacific, Antarctic"
2276,-176.5,-61.5,2041-2050,ssp585,-22.02,-0.76,-2.81,28.64,13.97,"Pacific, Antarctic"
