rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
175117,63.5,-50.5,2091-2100,ssp126,-20.5,-9.36,-7.85,4.14,7.42,Kerguelen Islands,NA
175121,63.5,-49.5,2091-2100,ssp126,-17.41,-8.73,-7.47,0.02,6.55,Kerguelen Islands,NA
175833,64.5,-51.5,2091-2100,ssp126,-22.87,-8.21,-7.44,4.88,7.42,Kerguelen Islands,NA
175837,64.5,-50.5,2091-2100,ssp126,-19.77,-8.29,-6.15,1.87,7.29,Kerguelen Islands,NA
175841,64.5,-49.5,2091-2100,ssp126,-17.87,-8.86,-7.28,2.05,6.89,Kerguelen Islands,NA
175845,64.5,-48.5,2091-2100,ssp126,-20.16,-9.72,-7.18,-2.14,6.84,Kerguelen Islands,NA
175849,64.5,-47.5,2091-2100,ssp126,-26.29,-11.07,-9.31,-2.35,7.28,Kerguelen Islands,NA
176549,65.5,-52.5,2091-2100,ssp126,-23.42,-6.92,-5.37,4.07,7.01,Kerguelen Islands,NA
176553,65.5,-51.5,2091-2100,ssp126,-22.28,-7.62,-5.53,8.48,8.33,Kerguelen Islands,NA
176557,65.5,-50.5,2091-2100,ssp126,-17.89,-8.49,-6.76,2.49,7.26,Kerguelen Islands,NA
176561,65.5,-49.5,2091-2100,ssp126,-22.38,-9.85,-8.19,-0.48,7.41,Kerguelen Islands,NA
176565,65.5,-48.5,2091-2100,ssp126,-25.53,-11.04,-10.06,-0.91,7.4,Kerguelen Islands,NA
176569,65.5,-47.5,2091-2100,ssp126,-24.33,-10.2,-8.67,-2.37,7.06,Kerguelen Islands,NA
176573,65.5,-46.5,2091-2100,ssp126,-26.04,-9.41,-6.9,-0.37,7.86,Kerguelen Islands,NA
177269,66.5,-52.5,2091-2100,ssp126,-23.08,-6.13,-5.83,9.2,8.67,Kerguelen Islands,NA
177273,66.5,-51.5,2091-2100,ssp126,-21.58,-8.7,-6.74,5.86,8.02,Kerguelen Islands,NA
177277,66.5,-50.5,2091-2100,ssp126,-18.99,-8.9,-7.47,0.1,6.33,Kerguelen Islands,NA
177281,66.5,-49.5,2091-2100,ssp126,-28.05,-10.44,-8.11,0.93,8.83,Kerguelen Islands,NA
