year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2087,ssp585,-18.73,-1.86,-2.37,10.94,8.01,Atlantic,"Year: 2087
Mean change: -1.9%
SD: ±8%"
2088,ssp126,-16.93,-3.8,-2.56,5.63,5.88,Atlantic,"Year: 2088
Mean change: -3.8%
SD: ±5.9%"
2088,ssp585,-18.85,-1.8,-1.31,12.23,9,Atlantic,"Year: 2088
Mean change: -1.8%
SD: ±9%"
2089,ssp126,-17.73,-4.58,-3.14,5.06,6.06,Atlantic,"Year: 2089
Mean change: -4.6%
SD: ±6.1%"
2089,ssp585,-18.79,-3.18,-2.66,13.56,8.32,Atlantic,"Year: 2089
Mean change: -3.2%
SD: ±8.3%"
2090,ssp126,-18.41,-5.02,-4.33,2.55,5.96,Atlantic,"Year: 2090
Mean change: -5%
SD: ±6%"
2090,ssp585,-18.67,-2.25,-2.75,14.18,8.78,Atlantic,"Year: 2090
Mean change: -2.2%
SD: ±8.8%"
2091,ssp126,-19.12,-3.05,-1.88,5.42,6.82,Atlantic,"Year: 2091
Mean change: -3%
SD: ±6.8%"
2091,ssp585,-18.77,-2.61,-2.78,15.73,9.67,Atlantic,"Year: 2091
Mean change: -2.6%
SD: ±9.7%"
2092,ssp126,-19.62,-3.45,-2.13,1.58,6.09,Atlantic,"Year: 2092
Mean change: -3.5%
SD: ±6.1%"
2092,ssp585,-19.21,-2.17,-2.12,16.36,9.73,Atlantic,"Year: 2092
Mean change: -2.2%
SD: ±9.7%"
2093,ssp126,-19.52,-1.21,-0.66,7.44,7.32,Atlantic,"Year: 2093
Mean change: -1.2%
SD: ±7.3%"
2093,ssp585,-19.7,-1.6,-1.23,15.83,9.46,Atlantic,"Year: 2093
Mean change: -1.6%
SD: ±9.5%"
2094,ssp126,-19.1,-3.28,-2.85,2.92,6.8,Atlantic,"Year: 2094
Mean change: -3.3%
SD: ±6.8%"
2094,ssp585,-20.04,-1.56,-0.65,13.98,9.17,Atlantic,"Year: 2094
Mean change: -1.6%
SD: ±9.2%"
2095,ssp126,-18.88,-1.48,-2.41,7.7,7.7,Atlantic,"Year: 2095
Mean change: -1.5%
SD: ±7.7%"
2095,ssp585,-20.33,-3.11,-2.94,12.59,9.09,Atlantic,"Year: 2095
Mean change: -3.1%
SD: ±9.1%"
2096,ssp126,-18.78,-3.43,-2.61,6.09,6.78,Atlantic,"Year: 2096
Mean change: -3.4%
SD: ±6.8%"
2096,ssp585,-20.82,-3.94,-3,12.71,9.04,Atlantic,"Year: 2096
Mean change: -3.9%
SD: ±9%"
2097,ssp126,-18.69,-5.39,-5.02,6.45,6.18,Atlantic,"Year: 2097
Mean change: -5.4%
SD: ±6.2%"
2097,ssp585,-21.33,-1.3,-1.27,12.64,11,Atlantic,"Year: 2097
Mean change: -1.3%
SD: ±11%"
2098,ssp126,-18.81,-5.06,-3.84,5.34,6.04,Atlantic,"Year: 2098
Mean change: -5.1%
SD: ±6%"
2098,ssp585,-21.77,-2.52,-2.82,13.34,10.71,Atlantic,"Year: 2098
Mean change: -2.5%
SD: ±10.7%"
2099,ssp126,-18.97,-1.57,-2.18,9.28,7.5,Atlantic,"Year: 2099
Mean change: -1.6%
SD: ±7.5%"
2099,ssp585,-22.09,-3.82,-2.79,15.8,10.04,Atlantic,"Year: 2099
Mean change: -3.8%
SD: ±10%"
2100,ssp126,-18.98,-4.05,-4.25,8.29,7.33,Atlantic,"Year: 2100
Mean change: -4%
SD: ±7.3%"
2100,ssp585,-22.29,-3.09,-3.26,18.39,10.32,Atlantic,"Year: 2100
Mean change: -3.1%
SD: ±10.3%"
1950,historical,-19.13,-4.78,-1.71,4.51,7.72,Heard Island and McDonald Islands,"Year: 1950
Mean change: -4.8%
SD: ±7.7%"
1951,historical,-20.52,-4.32,-2.59,5.43,8.11,Heard Island and McDonald Islands,"Year: 1951
Mean change: -4.3%
SD: ±8.1%"
1952,historical,-23.27,-4.33,-0.33,4.76,8.89,Heard Island and McDonald Islands,"Year: 1952
Mean change: -4.3%
SD: ±8.9%"
1953,historical,-21.71,-3.12,1.3,6.43,8.78,Heard Island and McDonald Islands,"Year: 1953
Mean change: -3.1%
SD: ±8.8%"
1954,historical,-18.3,-2.75,-0.57,6.24,7.6,Heard Island and McDonald Islands,"Year: 1954
Mean change: -2.8%
SD: ±7.6%"
1955,historical,-16.33,-2.32,0.62,5.78,7.74,Heard Island and McDonald Islands,"Year: 1955
Mean change: -2.3%
SD: ±7.7%"
1956,historical,-17.9,-2.06,0.57,6.8,7.88,Heard Island and McDonald Islands,"Year: 1956
Mean change: -2.1%
SD: ±7.9%"
1957,historical,-17.85,-3.16,-0.82,4.25,6.9,Heard Island and McDonald Islands,"Year: 1957
Mean change: -3.2%
SD: ±6.9%"
1958,historical,-13.86,-2.01,2.35,4.51,7.23,Heard Island and McDonald Islands,"Year: 1958
Mean change: -2%
SD: ±7.2%"
1959,historical,-15.32,-3.27,-1.09,4.39,6.91,Heard Island and McDonald Islands,"Year: 1959
Mean change: -3.3%
SD: ±6.9%"
1960,historical,-15.92,-2.6,0.42,7.4,7.76,Heard Island and McDonald Islands,"Year: 1960
Mean change: -2.6%
SD: ±7.8%"
1961,historical,-12.45,-2.1,0.9,3.84,5.99,Heard Island and McDonald Islands,"Year: 1961
Mean change: -2.1%
SD: ±6%"
1962,historical,-9.75,-1.61,0.78,5.59,6.03,Heard Island and McDonald Islands,"Year: 1962
Mean change: -1.6%
SD: ±6%"
1963,historical,-10.57,-1.82,-0.77,4,4.59,Heard Island and McDonald Islands,"Year: 1963
Mean change: -1.8%
SD: ±4.6%"
1964,historical,-8.91,-3.35,-2.64,3.39,4.19,Heard Island and McDonald Islands,"Year: 1964
Mean change: -3.4%
SD: ±4.2%"
1965,historical,-12.12,-2.09,-1.03,3.96,4.88,Heard Island and McDonald Islands,"Year: 1965
Mean change: -2.1%
SD: ±4.9%"
1966,historical,-10.98,-1.96,-1.68,8,5.75,Heard Island and McDonald Islands,"Year: 1966
Mean change: -2%
SD: ±5.8%"
1967,historical,-11.72,-4.11,-4.08,2.72,5.17,Heard Island and McDonald Islands,"Year: 1967
Mean change: -4.1%
SD: ±5.2%"
1968,historical,-9.37,-2.69,-2.56,3.59,4.23,Heard Island and McDonald Islands,"Year: 1968
Mean change: -2.7%
SD: ±4.2%"
1969,historical,-9,-3.19,-3.65,2.84,4.29,Heard Island and McDonald Islands,"Year: 1969
Mean change: -3.2%
SD: ±4.3%"
1970,historical,-9.45,-3.21,-3.09,2.58,3.28,Heard Island and McDonald Islands,"Year: 1970
Mean change: -3.2%
SD: ±3.3%"
1971,historical,-9.46,-1.7,-1,3.42,4.21,Heard Island and McDonald Islands,"Year: 1971
Mean change: -1.7%
SD: ±4.2%"
1972,historical,-9.07,-1.14,-2.12,6.71,5.12,Heard Island and McDonald Islands,"Year: 1972
Mean change: -1.1%
SD: ±5.1%"
1973,historical,-12.26,-1.95,-0.91,6.13,6.02,Heard Island and McDonald Islands,"Year: 1973
Mean change: -2%
SD: ±6%"
1974,historical,-11.6,-3.01,-1.02,1.77,5,Heard Island and McDonald Islands,"Year: 1974
Mean change: -3%
SD: ±5%"
1975,historical,-8.84,-1.77,-0.23,3.58,4.36,Heard Island and McDonald Islands,"Year: 1975
Mean change: -1.8%
SD: ±4.4%"
1976,historical,-11.57,-2.48,-2.38,3.98,5.11,Heard Island and McDonald Islands,"Year: 1976
Mean change: -2.5%
SD: ±5.1%"
1977,historical,-8.83,-1,1.44,3.91,4.77,Heard Island and McDonald Islands,"Year: 1977
Mean change: -1%
SD: ±4.8%"
1978,historical,-11.05,-1.83,-1.24,5.84,5.57,Heard Island and McDonald Islands,"Year: 1978
Mean change: -1.8%
SD: ±5.6%"
1979,historical,-12.46,-0.7,0.24,7.1,5.85,Heard Island and McDonald Islands,"Year: 1979
Mean change: -0.7%
SD: ±5.8%"
1980,historical,-5.99,-1.07,-0.12,2.19,2.89,Heard Island and McDonald Islands,"Year: 1980
Mean change: -1.1%
SD: ±2.9%"
1981,historical,-8.01,-2.41,-2.68,1.78,3.36,Heard Island and McDonald Islands,"Year: 1981
Mean change: -2.4%
SD: ±3.4%"
1982,historical,-7.33,-3.48,-5.2,3.37,3.67,Heard Island and McDonald Islands,"Year: 1982
Mean change: -3.5%
SD: ±3.7%"
1983,historical,-13.12,-1.36,-0.17,3.11,4.62,Heard Island and McDonald Islands,"Year: 1983
Mean change: -1.4%
SD: ±4.6%"
1984,historical,-10.57,-0.87,0.21,4.6,4.95,Heard Island and McDonald Islands,"Year: 1984
Mean change: -0.9%
SD: ±5%"
1985,historical,-7.38,-1.56,-1.29,3.01,3.54,Heard Island and McDonald Islands,"Year: 1985
Mean change: -1.6%
SD: ±3.5%"
1986,historical,-6.1,-1.08,-1.89,4.18,3.52,Heard Island and McDonald Islands,"Year: 1986
Mean change: -1.1%
SD: ±3.5%"
1987,historical,-6.63,-0.49,-0.57,5.33,4.64,Heard Island and McDonald Islands,"Year: 1987
Mean change: -0.5%
SD: ±4.6%"
1988,historical,-7.08,-0.58,-0.2,5.93,4.65,Heard Island and McDonald Islands,"Year: 1988
Mean change: -0.6%
SD: ±4.7%"
1989,historical,-7.75,-1.22,-2.15,5.2,4.75,Heard Island and McDonald Islands,"Year: 1989
Mean change: -1.2%
SD: ±4.8%"
1990,historical,-4.08,-0.9,-2.47,5.48,3.68,Heard Island and McDonald Islands,"Year: 1990
Mean change: -0.9%
SD: ±3.7%"
1991,historical,-7.92,-0.51,-0.76,5.91,3.99,Heard Island and McDonald Islands,"Year: 1991
Mean change: -0.5%
SD: ±4%"
1992,historical,-7.14,-1.61,-2.89,5.85,5.12,Heard Island and McDonald Islands,"Year: 1992
Mean change: -1.6%
SD: ±5.1%"
1993,historical,-6.98,0.06,-0.3,6.2,4.03,Heard Island and McDonald Islands,"Year: 1993
Mean change: 0.1%
SD: ±4%"
1994,historical,-7.23,-0.41,0.17,3.59,3.24,Heard Island and McDonald Islands,"Year: 1994
Mean change: -0.4%
SD: ±3.2%"
1995,historical,-7.94,-0.28,0.39,3.5,3.74,Heard Island and McDonald Islands,"Year: 1995
Mean change: -0.3%
SD: ±3.7%"
1996,historical,-8.26,-2.62,-2.98,2.66,3.64,Heard Island and McDonald Islands,"Year: 1996
Mean change: -2.6%
SD: ±3.6%"
1997,historical,-2.92,2.3,1.41,11.26,4.09,Heard Island and McDonald Islands,"Year: 1997
Mean change: 2.3%
SD: ±4.1%"
1998,historical,-4.48,0.01,-0.3,4.38,3.07,Heard Island and McDonald Islands,"Year: 1998
Mean change: 0%
SD: ±3.1%"
1999,historical,-2.61,1.06,0.93,5.23,2.15,Heard Island and McDonald Islands,"Year: 1999
Mean change: 1.1%
SD: ±2.1%"
2000,historical,-4.91,1.43,1.58,5.01,2.73,Heard Island and McDonald Islands,"Year: 2000
Mean change: 1.4%
SD: ±2.7%"
2001,historical,-3.51,1.99,1.71,8.02,3.2,Heard Island and McDonald Islands,"Year: 2001
Mean change: 2%
SD: ±3.2%"
2002,historical,-1.88,1.41,1.89,4.02,1.81,Heard Island and McDonald Islands,"Year: 2002
Mean change: 1.4%
SD: ±1.8%"
2003,historical,-9.06,-0.84,0.3,3.86,4.27,Heard Island and McDonald Islands,"Year: 2003
Mean change: -0.8%
SD: ±4.3%"
2004,historical,-7.98,-2.81,-2.93,3.39,4.37,Heard Island and McDonald Islands,"Year: 2004
Mean change: -2.8%
SD: ±4.4%"
2005,historical,-5.98,-1.61,-1.15,1.16,2.16,Heard Island and McDonald Islands,"Year: 2005
Mean change: -1.6%
SD: ±2.2%"
2006,historical,-5.59,-0.62,-0.58,4.37,2.9,Heard Island and McDonald Islands,"Year: 2006
Mean change: -0.6%
SD: ±2.9%"
2007,historical,-3.02,-0.83,-0.73,1.45,1.85,Heard Island and McDonald Islands,"Year: 2007
Mean change: -0.8%
SD: ±1.9%"
2008,historical,-2.99,-0.87,-0.51,0.66,1.34,Heard Island and McDonald Islands,"Year: 2008
Mean change: -0.9%
SD: ±1.3%"
2009,historical,-5.77,1.48,0.61,8.48,4.47,Heard Island and McDonald Islands,"Year: 2009
Mean change: 1.5%
SD: ±4.5%"
2010,historical,-6.2,0.22,0.81,4.26,3.64,Heard Island and McDonald Islands,"Year: 2010
Mean change: 0.2%
SD: ±3.6%"
2011,historical,-3.05,1.2,0.94,6.6,2.54,Heard Island and McDonald Islands,"Year: 2011
Mean change: 1.2%
SD: ±2.5%"
2012,historical,-4.52,0.53,0.27,5.58,2.55,Heard Island and McDonald Islands,"Year: 2012
Mean change: 0.5%
SD: ±2.5%"
2013,historical,-5.21,0.94,1.2,5.63,3.16,Heard Island and McDonald Islands,"Year: 2013
Mean change: 0.9%
SD: ±3.2%"
2014,historical,-5.17,-0.44,-0.17,2.14,2.37,Heard Island and McDonald Islands,"Year: 2014
Mean change: -0.4%
SD: ±2.4%"
2015,ssp126,-1.1,1.06,0.43,6.86,2.27,Heard Island and McDonald Islands,"Year: 2015
Mean change: 1.1%
SD: ±2.3%"
2015,ssp585,-4,-0.18,-0.28,2.5,2,Heard Island and McDonald Islands,"Year: 2015
Mean change: -0.2%
SD: ±2%"
2016,ssp126,-8.24,-1.6,-0.86,2.65,3.16,Heard Island and McDonald Islands,"Year: 2016
Mean change: -1.6%
SD: ±3.2%"
2016,ssp585,-6.02,-1.43,-1.1,3.92,3.01,Heard Island and McDonald Islands,"Year: 2016
Mean change: -1.4%
SD: ±3%"
2017,ssp126,-7.42,-4.03,-4.76,0.21,2.9,Heard Island and McDonald Islands,"Year: 2017
Mean change: -4%
SD: ±2.9%"
2017,ssp585,-8.23,-1.61,-1.35,6.24,4.19,Heard Island and McDonald Islands,"Year: 2017
Mean change: -1.6%
SD: ±4.2%"
2018,ssp126,-13.59,-5.47,-4.63,0.86,4.85,Heard Island and McDonald Islands,"Year: 2018
Mean change: -5.5%
SD: ±4.8%"
2018,ssp585,-14.96,0.3,0.75,10.28,6.57,Heard Island and McDonald Islands,"Year: 2018
Mean change: 0.3%
SD: ±6.6%"
2019,ssp126,-20.05,-5.16,-4.75,5.21,7.53,Heard Island and McDonald Islands,"Year: 2019
Mean change: -5.2%
SD: ±7.5%"
2019,ssp585,-17.54,-0.78,0.71,5.11,6.29,Heard Island and McDonald Islands,"Year: 2019
Mean change: -0.8%
SD: ±6.3%"
2020,ssp126,-14.57,-3.9,-2.7,0.99,4.65,Heard Island and McDonald Islands,"Year: 2020
Mean change: -3.9%
SD: ±4.7%"
2020,ssp585,-15.06,-2.12,-0.86,4.48,5.62,Heard Island and McDonald Islands,"Year: 2020
Mean change: -2.1%
SD: ±5.6%"
2021,ssp126,-14.34,-4.46,-3.32,4.1,6.09,Heard Island and McDonald Islands,"Year: 2021
Mean change: -4.5%
SD: ±6.1%"
2021,ssp585,-12.03,-2.14,-1.85,2.75,4.2,Heard Island and McDonald Islands,"Year: 2021
Mean change: -2.1%
SD: ±4.2%"
2022,ssp126,-9.55,-4.73,-5,1.13,3.84,Heard Island and McDonald Islands,"Year: 2022
Mean change: -4.7%
SD: ±3.8%"
2022,ssp585,-17.32,-2.14,-0.69,5.83,6.13,Heard Island and McDonald Islands,"Year: 2022
Mean change: -2.1%
SD: ±6.1%"
2023,ssp126,-11.22,-5.31,-6.89,4.94,5.18,Heard Island and McDonald Islands,"Year: 2023
Mean change: -5.3%
SD: ±5.2%"
2023,ssp585,-11.11,-2.89,-2.04,2.32,3.85,Heard Island and McDonald Islands,"Year: 2023
Mean change: -2.9%
SD: ±3.9%"
2024,ssp126,-15.76,-3.5,-2.79,4.78,5.65,Heard Island and McDonald Islands,"Year: 2024
Mean change: -3.5%
SD: ±5.7%"
2024,ssp585,-7.69,-0.41,0.83,5.7,4.14,Heard Island and McDonald Islands,"Year: 2024
Mean change: -0.4%
SD: ±4.1%"
2025,ssp126,-12.7,-3.18,-2.65,7.87,6.07,Heard Island and McDonald Islands,"Year: 2025
Mean change: -3.2%
SD: ±6.1%"
2025,ssp585,-10.3,-1.58,-0.84,5.42,5.27,Heard Island and McDonald Islands,"Year: 2025
Mean change: -1.6%
SD: ±5.3%"
2026,ssp126,-9.6,-0.99,0.61,2.65,4.06,Heard Island and McDonald Islands,"Year: 2026
Mean change: -1%
SD: ±4.1%"
2026,ssp585,-9.86,-4.91,-4.92,3.19,3.97,Heard Island and McDonald Islands,"Year: 2026
Mean change: -4.9%
SD: ±4%"
2027,ssp126,-9.71,-3.98,-4.13,0.72,3.24,Heard Island and McDonald Islands,"Year: 2027
Mean change: -4%
SD: ±3.2%"
2027,ssp585,-10.23,-4.35,-4.01,1.78,4.09,Heard Island and McDonald Islands,"Year: 2027
Mean change: -4.3%
SD: ±4.1%"
2028,ssp126,-12.65,-4.77,-3.93,2.22,4.76,Heard Island and McDonald Islands,"Year: 2028
Mean change: -4.8%
SD: ±4.8%"
2028,ssp585,-12.6,-1.63,-1.5,7.84,6.33,Heard Island and McDonald Islands,"Year: 2028
Mean change: -1.6%
SD: ±6.3%"
2029,ssp126,-9.98,-4.34,-4.14,0.8,3.62,Heard Island and McDonald Islands,"Year: 2029
Mean change: -4.3%
SD: ±3.6%"
2029,ssp585,-11.17,-3.03,-3,2.58,3.84,Heard Island and McDonald Islands,"Year: 2029
Mean change: -3%
SD: ±3.8%"
2030,ssp126,-10.46,-4.38,-3.66,0.11,3.36,Heard Island and McDonald Islands,"Year: 2030
Mean change: -4.4%
SD: ±3.4%"
2030,ssp585,-10.15,-2.6,-1.59,2.34,3.56,Heard Island and McDonald Islands,"Year: 2030
Mean change: -2.6%
SD: ±3.6%"
2031,ssp126,-10.58,-4.17,-4.77,0.88,3.2,Heard Island and McDonald Islands,"Year: 2031
Mean change: -4.2%
SD: ±3.2%"
2031,ssp585,-13.67,-4.44,-4.36,5.61,5.8,Heard Island and McDonald Islands,"Year: 2031
Mean change: -4.4%
SD: ±5.8%"
2032,ssp126,-10.71,-4.11,-4.16,4.31,4.42,Heard Island and McDonald Islands,"Year: 2032
Mean change: -4.1%
SD: ±4.4%"
2032,ssp585,-14.77,-3.82,-3.85,6.46,5.95,Heard Island and McDonald Islands,"Year: 2032
Mean change: -3.8%
SD: ±6%"
2033,ssp126,-15.21,-4.74,-3.52,3.92,5.19,Heard Island and McDonald Islands,"Year: 2033
Mean change: -4.7%
SD: ±5.2%"
2033,ssp585,-11.51,-4.56,-4.16,2.36,3.91,Heard Island and McDonald Islands,"Year: 2033
Mean change: -4.6%
SD: ±3.9%"
2034,ssp126,-9.3,-4.78,-4.23,-1.53,2.76,Heard Island and McDonald Islands,"Year: 2034
Mean change: -4.8%
SD: ±2.8%"
2034,ssp585,-9.64,-3.84,-3.25,1.24,3.71,Heard Island and McDonald Islands,"Year: 2034
Mean change: -3.8%
SD: ±3.7%"
2035,ssp126,-8.65,-3.85,-4.16,6.68,4.6,Heard Island and McDonald Islands,"Year: 2035
Mean change: -3.9%
SD: ±4.6%"
2035,ssp585,-12.32,-2.95,-2.71,3.82,5.2,Heard Island and McDonald Islands,"Year: 2035
Mean change: -3%
SD: ±5.2%"
2036,ssp126,-7.82,-3.67,-4.26,2.22,3.29,Heard Island and McDonald Islands,"Year: 2036
Mean change: -3.7%
SD: ±3.3%"
2036,ssp585,-10.36,-3.62,-3.1,1.35,4.12,Heard Island and McDonald Islands,"Year: 2036
Mean change: -3.6%
SD: ±4.1%"
2037,ssp126,-8.7,-4.17,-4.12,0.12,2.95,Heard Island and McDonald Islands,"Year: 2037
Mean change: -4.2%
SD: ±3%"
2037,ssp585,-10,-2.35,-2.76,3.78,4.26,Heard Island and McDonald Islands,"Year: 2037
Mean change: -2.4%
SD: ±4.3%"
2038,ssp126,-8.02,-2.73,-1.98,1.23,3.12,Heard Island and McDonald Islands,"Year: 2038
Mean change: -2.7%
SD: ±3.1%"
2038,ssp585,-9.5,-3.35,-3.9,3.27,3.58,Heard Island and McDonald Islands,"Year: 2038
Mean change: -3.4%
SD: ±3.6%"
2039,ssp126,-7.07,-4.2,-4.38,0.24,2.29,Heard Island and McDonald Islands,"Year: 2039
Mean change: -4.2%
SD: ±2.3%"
2039,ssp585,-10.89,-4,-2.62,1.03,4.35,Heard Island and McDonald Islands,"Year: 2039
Mean change: -4%
SD: ±4.3%"
2040,ssp126,-8.26,-3.11,-3.08,4.75,3.71,Heard Island and McDonald Islands,"Year: 2040
Mean change: -3.1%
SD: ±3.7%"
2040,ssp585,-16.17,-4.85,-3.29,6.4,6.93,Heard Island and McDonald Islands,"Year: 2040
Mean change: -4.8%
SD: ±6.9%"
2041,ssp126,-10.82,-5.18,-6.28,3.84,4.67,Heard Island and McDonald Islands,"Year: 2041
Mean change: -5.2%
SD: ±4.7%"
2041,ssp585,-19.08,-4.31,-4.29,7.48,7.56,Heard Island and McDonald Islands,"Year: 2041
Mean change: -4.3%
SD: ±7.6%"
2042,ssp126,-9.5,-4.38,-5.88,8.8,5.06,Heard Island and McDonald Islands,"Year: 2042
Mean change: -4.4%
SD: ±5.1%"
2042,ssp585,-10.89,-3.43,-3.03,8.54,5.51,Heard Island and McDonald Islands,"Year: 2042
Mean change: -3.4%
SD: ±5.5%"
2043,ssp126,-9.07,-2.92,-2.04,1.47,3.41,Heard Island and McDonald Islands,"Year: 2043
Mean change: -2.9%
SD: ±3.4%"
2043,ssp585,-10.65,-4.48,-4.19,2.79,4.34,Heard Island and McDonald Islands,"Year: 2043
Mean change: -4.5%
SD: ±4.3%"
2044,ssp126,-8.94,-3.44,-3.3,3.6,4.26,Heard Island and McDonald Islands,"Year: 2044
Mean change: -3.4%
SD: ±4.3%"
2044,ssp585,-10.17,-3.52,-2.97,1.23,3.45,Heard Island and McDonald Islands,"Year: 2044
Mean change: -3.5%
SD: ±3.5%"
2045,ssp126,-12.8,-5.64,-5.52,1.22,4.82,Heard Island and McDonald Islands,"Year: 2045
Mean change: -5.6%
SD: ±4.8%"
2045,ssp585,-7.23,-4.42,-5.16,2.05,2.81,Heard Island and McDonald Islands,"Year: 2045
Mean change: -4.4%
SD: ±2.8%"
2046,ssp126,-10.58,-3.77,-4,6.8,5.21,Heard Island and McDonald Islands,"Year: 2046
Mean change: -3.8%
SD: ±5.2%"
2046,ssp585,-7.49,-4.07,-4.14,0.23,2.44,Heard Island and McDonald Islands,"Year: 2046
Mean change: -4.1%
SD: ±2.4%"
2047,ssp126,-10.24,-3.09,-2.95,1.75,3.79,Heard Island and McDonald Islands,"Year: 2047
Mean change: -3.1%
SD: ±3.8%"
2047,ssp585,-9.51,-2.83,-5.04,9.34,5.73,Heard Island and McDonald Islands,"Year: 2047
Mean change: -2.8%
SD: ±5.7%"
2048,ssp126,-9.19,-2.5,-2.25,3.58,4.1,Heard Island and McDonald Islands,"Year: 2048
Mean change: -2.5%
SD: ±4.1%"
2048,ssp585,-9.82,-3.56,-2.8,0.39,3.51,Heard Island and McDonald Islands,"Year: 2048
Mean change: -3.6%
SD: ±3.5%"
2049,ssp126,-9.57,-3.26,-3.7,4.79,4.17,Heard Island and McDonald Islands,"Year: 2049
Mean change: -3.3%
SD: ±4.2%"
2049,ssp585,-13.65,-4.51,-4.38,2.45,4.68,Heard Island and McDonald Islands,"Year: 2049
Mean change: -4.5%
SD: ±4.7%"
2050,ssp126,-8.76,-2.86,-2.8,2.33,2.91,Heard Island and McDonald Islands,"Year: 2050
Mean change: -2.9%
SD: ±2.9%"
2050,ssp585,-16.93,-4.57,-4.31,6.07,6.5,Heard Island and McDonald Islands,"Year: 2050
Mean change: -4.6%
SD: ±6.5%"
2051,ssp126,-9.52,-5.7,-5.97,-2,2.49,Heard Island and McDonald Islands,"Year: 2051
Mean change: -5.7%
SD: ±2.5%"
2051,ssp585,-8.36,-3.37,-3.76,2.67,3.5,Heard Island and McDonald Islands,"Year: 2051
Mean change: -3.4%
SD: ±3.5%"
2052,ssp126,-10.6,-4.53,-4.41,5.74,4.29,Heard Island and McDonald Islands,"Year: 2052
Mean change: -4.5%
SD: ±4.3%"
2052,ssp585,-8.74,-3.95,-5.62,3.92,4.54,Heard Island and McDonald Islands,"Year: 2052
Mean change: -4%
SD: ±4.5%"
2053,ssp126,-11.44,-3.86,-3.1,3.11,4.04,Heard Island and McDonald Islands,"Year: 2053
Mean change: -3.9%
SD: ±4%"
2053,ssp585,-11.92,-4.86,-3.87,-1.43,3.17,Heard Island and McDonald Islands,"Year: 2053
Mean change: -4.9%
SD: ±3.2%"
2054,ssp126,-12.07,-4.11,-4.34,4.39,4.74,Heard Island and McDonald Islands,"Year: 2054
Mean change: -4.1%
SD: ±4.7%"
2054,ssp585,-10.92,-3.35,-2.39,3.38,4.43,Heard Island and McDonald Islands,"Year: 2054
Mean change: -3.4%
SD: ±4.4%"
2055,ssp126,-12.69,-3.16,-3.42,3.38,5.28,Heard Island and McDonald Islands,"Year: 2055
Mean change: -3.2%
SD: ±5.3%"
2055,ssp585,-11.2,-6.04,-7.17,1.29,3.31,Heard Island and McDonald Islands,"Year: 2055
Mean change: -6%
SD: ±3.3%"
2056,ssp126,-13.29,-4.65,-4.62,1.23,4.19,Heard Island and McDonald Islands,"Year: 2056
Mean change: -4.7%
SD: ±4.2%"
2056,ssp585,-11.79,-5.05,-5.54,5.71,4.7,Heard Island and McDonald Islands,"Year: 2056
Mean change: -5%
SD: ±4.7%"
2057,ssp126,-13.66,-6.06,-5.22,-0.23,3.64,Heard Island and McDonald Islands,"Year: 2057
Mean change: -6.1%
SD: ±3.6%"
2057,ssp585,-11.15,-6.03,-6.76,2.78,3.61,Heard Island and McDonald Islands,"Year: 2057
Mean change: -6%
SD: ±3.6%"
2058,ssp126,-14.16,-5,-5,1.23,4.02,Heard Island and McDonald Islands,"Year: 2058
Mean change: -5%
SD: ±4%"
2058,ssp585,-9.31,-5.48,-5.96,4.29,3.82,Heard Island and McDonald Islands,"Year: 2058
Mean change: -5.5%
SD: ±3.8%"
2059,ssp126,-14.6,-4.29,-3.74,2.12,5.05,Heard Island and McDonald Islands,"Year: 2059
Mean change: -4.3%
SD: ±5%"
2059,ssp585,-8.63,-5.27,-6.69,2.62,3.68,Heard Island and McDonald Islands,"Year: 2059
Mean change: -5.3%
SD: ±3.7%"
2060,ssp126,-14.6,-3.96,-2.68,4.06,5.04,Heard Island and McDonald Islands,"Year: 2060
Mean change: -4%
SD: ±5%"
2060,ssp585,-8.98,-4.4,-5.15,2.65,3.6,Heard Island and McDonald Islands,"Year: 2060
Mean change: -4.4%
SD: ±3.6%"
2061,ssp126,-13.69,-3.92,-1.68,0.98,4.61,Heard Island and McDonald Islands,"Year: 2061
Mean change: -3.9%
SD: ±4.6%"
2061,ssp585,-15.02,-6.89,-7.68,0.45,4.43,Heard Island and McDonald Islands,"Year: 2061
Mean change: -6.9%
SD: ±4.4%"
2062,ssp126,-12.02,-3.18,-5.71,9.62,6.76,Heard Island and McDonald Islands,"Year: 2062
Mean change: -3.2%
SD: ±6.8%"
2062,ssp585,-15.53,-7.1,-8.45,-0.15,4.65,Heard Island and McDonald Islands,"Year: 2062
Mean change: -7.1%
SD: ±4.7%"
2063,ssp126,-14.75,-6.61,-5.77,1.16,4.45,Heard Island and McDonald Islands,"Year: 2063
Mean change: -6.6%
SD: ±4.4%"
2063,ssp585,-15.53,-6.53,-6.85,4.23,5.31,Heard Island and McDonald Islands,"Year: 2063
Mean change: -6.5%
SD: ±5.3%"
2064,ssp126,-11.3,-5.68,-5.58,0.48,3.66,Heard Island and McDonald Islands,"Year: 2064
Mean change: -5.7%
SD: ±3.7%"
2064,ssp585,-18.45,-8.21,-8.33,-0.07,5.33,Heard Island and McDonald Islands,"Year: 2064
Mean change: -8.2%
SD: ±5.3%"
